Trial,Behavior,Start,End
1.0,Spout movement,92.59,97.59
,Cont reach,96.59,101.59
,Cont in vain,102.59,107.59
,Cont in vain,108.59,115.59
,Cont in vain,116.59,121.59
,Cont in vain,122.59,129.59
,Cont in vain,130.59,136.59
,Cont in vain,137.59,142.59
2.0,Spout movement,211.59,216.59
,Cont reach,214.59,223.59
,Cont in vain,224.59,241.59
,Cont in vain,242.59,248.59
,Cont in vain,249.59,256.59
,Walk,270.59,283.59
,Walk,306.59,310.59
,Walk,324.59,331.59
3.0,Spout movement,329.59,334.59
,Cont missed,332.59,335.59
,Cont reach,336.59,346.59
,Cont in vain,347.59,350.59
,Cont in vain,351.59,363.59
,Ipsi moved,364.59,375.59
,Cont paw licking,364.59,375.59
,Both in vain,408.59,413.59
,Walk,414.59,423.59
,Walk,433.59,444.59
4.0,Spout movement,450.59,455.59
,Cont reach,453.59,461.59
,Cont in vain,462.59,470.59
,Cont in vain,471.59,478.59
,Cont in vain,479.59,485.59
,Cont in vain,488.59,494.59
,Both in vain (8),512.59,571.59
5.0,Spout movement,569.59,574.59
,Cont reach,572.59,579.59
,Cont in vain,580.59,597.59
,Ipsi moved,585.59,599.59
,Cont in vain,598.59,602.59
,Cont in vain,603.59,608.59
,Both in vain (3),614.59,642.59
,Walk,643.59,652.59
6.0,Spout movement,687.59,692.59
,Cont reach,690.59,694.59
,Cont in vain,695.59,706.59
,Cont in vain,707.59,724.59
,Cont in vain,761.59,769.59
,Walk,788.59,796.59
7.0,Spout movement,806.59,811.59
,Cont reach,809.59,816.59
,Cont in vain,817.59,830.59
,Cont in vain,831.59,853.59
,Walk,854.59,865.59
,Walk,870.59,877.59
,Walk,897.59,911.59
8.0,Spout movement,925.59,930.59
,Cont reach,928.59,935.59
,Cont in vain,936.59,943.59
,Cont in vain,944.59,954.59
,Walk,967.59,974.59
,Walk,997.59,1006.59
,Walk,1020.59,1027.59
9.0,Spout movement,1043.59,1048.59
,Cont reach,1047.59,1053.59
,Cont in vain,1054.59,1062.59
,Cont in vain,1063.59,1067.59
,Cont in vain,1068.59,1074.59
,Walk,1075.59,1079.59
,Cont in vain,1080.59,1086.59
,Walk,1150.59,1155.59
10.0,Spout movement,1162.59,1167.59
,Cont reach,1165.59,1167.59
,Cont in vain,1168.59,1182.59
,Cont in vain,1186.59,1190.59
,Walk,1212.59,1217.59
,Walk,1241.59,1257.59
,Walk,1273.59,1283.59
11.0,Spout movement,1282.59,1287.59
,Cont reach,1285.59,1293.59
,Cont in vain,1294.59,1300.59
,Cont in vain,1301.59,1311.59
,Ipsi moved,1310.59,1318.59
,Cont in vain,1318.59,1323.59
,Walk,1331.59,1345.59
,Walk,1383.59,1389.59
12.0,Spout movement,1400.59,1405.59
,Cont reach,1403.59,1411.59
,Cont in vain,1412.59,1430.59
,Cont in vain,1441.59,1455.59
,Ipsi moved,1448.59,1457.59
,Both paw licking,1458.59,1467.59
,Both in vain (3),1468.59,1487.59
,Both in vain,1515.59,1523.59
,Cont in vain,1524.59,1529.59
13.0,Spout movement,1526.59,1531.59
