roi,ROI,Classification,x,Y
0,0,na,133,114.2222222
1,1,na,29.78125,207.5
2,2,na,85.26174497,309.1543624
3,3,na,252.7272727,171.7575758
6,6,na,274.68,366.7333333
7,7,na,224.8481013,416.3037975
8,8,na,340.8488372,433
9,9,na,432,212
13,11,na,230,467
14,12,na,403,460
18,13,na,436,403
19,14,na,396,401
23,16,na,372,376
25,17,na,431,350
26,18,na,312,350
27,19,na,378,343
29,20,na,438,312
30,21,na,384,311
31,22,na,294,311
32,23,na,348,302
33,24,na,254,290
36,26,na,376,265
37,27,na,336,261
38,28,na,221,260
39,29,na,79,235
41,30,na,365,217
44,31,na,98,191
45,32,na,214,180
52,34,na,471,69
