roi,ROI,Classification,x,Y
39,30,1,324,240
15,12,1,236,441
3,2,1,292.966443,317.8255034
14,11,1,250,465
16,13,1,406,438
17,14,1,92,427
20,16,1,180,402
0,0,1,250,382
22,18,1,268,382
24,20,1,141,377
23,19,1,423,376
27,22,1,62,355
26,21,,486,363
2,1,1,320.3028571,346.1542857
4,3,1,169,330
31,24,1,256,330
32,25,1,396,311
35,26,1,192,290
36,27,1,275,268
37,28,,42,258
38,29,1,349,252
40,31,1,468,237
41,32,1,209,226
8,7,1,389,210
45,34,1,218,179
46,35,,84,151
48,37,1,343,123
47,36,1,448,124
49,38,1,298,87
51,40,1,153,81
52,41,1,42,78
50,39,1,370,85
53,42,1,320,73
55,44,1,459,67
54,43,1,414,63
56,45,1,294,39
6,5,,63.14792899,26.16568047
