x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0.6575941,0,1.2077645,0,0,1.2606604,0.59703946,0.19962281,0,0.130423,0.3818212,2.1289814,0,0,0,0,0,0,0,0.29674193,0,2.1128561,0,5.2881675,1.6155927,2.7720618,2.444913
2,0.3546118,0,2.538303,5.1359653,0,0,0.273793,0.8513237,1.641413,1.3821292,0,0,0,0,0,0.15803075,1.3467335,6.145279,0,0,0,0,0,0,0,0.35296708,0,0,3.0500624,5.4198895,0
3,0.58208776,0,1.2296858,0,0.2017596,0,0,0,3.6601243,1.5960734,0,0,0.7265388,0,0.45645517,0,3.837242,0,0,0,2.2806993,0,0,0,5.4396577,4.61133,0,0,5.601191,0,0
4,0,3.410137,0.014847647,0,1.1295512,0.75036794,0.72797227,0,1.8216082,1.9939309,0,1.5529337,0.40070614,0,0,0,0.29853845,1.6561544,0,0,0,0,0.2531846,1.2461134,0,2.3366172,0,0.7419867,1.4589384,0,0
5,0,0.587773,0,1.0656167,0.5231907,0,0,0,0,0.13291211,0,0,0,0,0,1.5684569,0.29027447,0,1.5748644,0,0,0,0,0,0,0,0,0,1.1974028,1.6600372,0
6,0,0,0,0,0,0.3216798,0,1.60299,0,0,4.6145015,0.57539564,0,2.3054836,0,0,0.9264233,3.8263702,0,0,1.0013397,3.1619005,0,0.5232085,4.4178705,0,0,0,1.91972,1.6836016,3.7261
7,0,1.0131397,0,3.092282,0,0.16940558,0.12220062,0,0.76248014,0,0,1.7880464,0,0,0.5618578,0,0,0,0,0,0,3.1933267,0.76530087,0,3.26923,3.2075088,0,0,0,0,0
8,1.4864631,0.06608855,0,0,0,0,0,0,0,0,2.127619,0,1.835349,0,1.4629143,0,2.3432415,0,0,0,0,0,0,0,0,0,0.03189748,1.7156291,0,1.3617644,0.055172343
9,0.31409213,0.21238305,0,0,0,1.750916,0,1.0507143,0.41588014,0,0,1.6142578,1.1829469,1.1970655,1.4879583,2.6043108,0,0,0,0,0,0,0,0.46583173,0,0,0.92742383,0,0,7.188897,0
10,0,0.35801777,1.7173693,0.2895276,1.5238711,0.023261288,0,0.44975662,0,0,0.88382906,1.304337,0,0.39021093,0,0,0,0,0,0,0,0,1.8061093,0,0.34947014,0,0,0,2.316516,4.8762455,5.676894
11,0,0,2.9199507,0,0.47699,1.2772099,0,1.6227775,0,0,0.90538895,0,0,4.6698155,1.4438326,1.6432314,0,0,0,0,2.2214754,0,0.4665258,0,2.6981936,0,0,0,0,0,0
