x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050
933,3.355268,1.8901213,2.0415184,1.708178,0.79544294,4.684183,0.6577079,0,0,0,0,0,1.9084911,0,0,12.584198,0,0,0.3738998,3.2205493,5.988387,0.37221602,0,0,1.8318933,0,0,1.0187267,1.0487058,0,0,1.5947193,0,1.2160408,8.240178,0.842255,0.8605926,0,2.7941086,0,3.9594882,0,0,0,5.1840687,0,0,0,0.29106647,0,0
934,0,0,5.7931476,2.9780362,0,0,4.732964,1.9974389,0,0.7231132,2.590882,0,0,0,1.5909141,0,1.9010738,0,0,0.39929718,0,0,0,0,1.4524307,0,2.8658347,0,1.3771538,4.6336956,0,0.7700051,0,0,0,1.0771601,2.7060235,0,0,0,0,0,2.5042205,0,0,4.365933,0,3.3203702,4.8995414,0.32529226,0
935,0,0,0,0,0,0,11.425286,0.83563673,0,0,0,0,0,0,0.43023592,0,0,0,0,0.11917204,0,0,0,0,0,0.1823853,0,0,0,0,1.1861018,0,0,0,0.15002185,0,0,0,2.8911288,1.3934511,3.7051437,1.2456422,0,0,1.6010894,0,1.6215684,0,1.049318,0,0
936,0,0,4.1835446,0.4751807,0,0,0,5.562862,0,0,1.2934763,1.436902,0,11.895621,1.645732,0,0,7.244353,1.7999161,1.1977844,4.793649,0,0.24554965,4.6753693,0.5669613,3.0107777,0,1.560037,0,2.5708482,0,1.6826313,0,1.2873409,0,0,0,1.3462145,0.18554583,0,0.7325298,0,0,0,0,0,0,1.7647427,0,0,2.637497
937,2.0055406,1.7066088,0,0.3161372,0,0.13385198,0,0,0,1.1689843,0,1.1977544,2.5318606,0,0,0,0,0,2.6769443,0,7.7468886,0,0.5944812,3.1937208,0.9028497,0,0,0,0,0,0,0,1.137921,0,3.8432276,1.699943,0.7671684,0,1.002004,0,5.752258,1.0176603,3.5382843,0.38314864,0,0,0,0,0,0,0
938,0,0,1.0993748,1.7625939,0,0,0,0,0,0.540879,4.0345817,0,3.0668094,0,0,4.3628597,0,0,0,0,0,0,0,0,0.6487648,4.60395,1.2305343,0,2.3383603,0,0,0.8936619,2.1198344,0,0.582388,0.08018994,1.8339951,0.87949675,0,0,0,0,0,0.684023,1.5905509,0,0,10.804469,0.9955745,0,0
939,0,0.28029868,0,3.7040539,0.908564,0.6798657,0,0,0,0.4995793,0,0,0,3.9378328,0,0,2.7636046,0,0,1.6829957,5.4623547,1.2011384,0,1.5520132,0.96943027,0,2.1270893,0,0,0,0,0.5196658,0,0,0,0.1937766,0.66474426,0,0,0,4.2621446,0.117907025,0.5114082,0.32035854,2.436007,1.4904658,0,0,0,0,0.26630598
940,0,0,0.13004999,1.2029791,1.1682615,1.9333491,1.2663419,0,0,0.32701972,1.5347896,0,0,0,0,0,0,0,0,2.663215,0,0,0,0,0,0,0.94649184,0.65806395,1.1956276,2.0746257,0,0.42892092,1.3835577,0,0,0,0,0,0,0,0,0,0,0,0.5403665,0.96669453,0,0,0,0,0
941,0,2.1517136,0,0,0,0,5.6618557,3.0332007,0,2.3882968,0,2.5688255,0,1.7796482,0,0,0,5.518694,1.7336415,0,1.5388843,0,0,0,0.78754926,0,0,0,1.7051172,2.2729926,0,2.7799327,2.0296273,0.61297333,4.7877526,0.70024264,0,0.1797166,0.2619065,0,0,0,7.8659973,0,1.5016838,0.45789874,0.397145,0,1.2510904,0.48920026,0
942,0,3.3633401,0.7818882,0.98791045,0.5959962,0,0,0,0,0,6.0628777,1.8794774,2.8059754,0.15471172,0.9074745,0,7.884991,6.217428,0,0.29984292,0,0,0.776821,5.3680377,1.3474374,3.4011161,0,4.707505,0,4.292637,0,0.71397,0,0,3.9888887,0.87179095,0.31454352,0,1.5732015,0,0,0,0,0,0,2.0220232,1.8768969,5.2305546,0,0.21027629,0
