roi,ROI,Classification,x,Y
25,19,1,81,297
2,2,1,170.409396,385.1946309
5,5,,188.8382353,199.25
4,4,,245.766129,176
7,7,,231.047619,59.95238095
10,10,,451.9431818,254
14,14,1,94,482
15,15,,188,457
9,9,1,377,441.3135135
12,12,,139.766129,445
18,17,1,273,396
26,20,1,316,294
22,18,1,136,329
30,22,1,264,230
33,23,,368,185
34,24,1,157,157
