x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038
420,0,0,3.0195787,0,0.20253694,0,0.66317815,0,1.9214749,0,0,0.94450825,0,3.161855,0,0,0,0,0,0.5442614,0,0,0,0.5316742,0,0,2.3071837,0,0,0,0.8035048,0,0,0,0,0,0,0,0
421,0,0,0,0,0,0.5633785,0.10023392,0,0,0,0,0,0,0,0,0,0,2.3999176,0,0.47430563,0,0,0,0,0,1.0324754,0,1.4455817,0,0,0,0,0.028803976,0.08960921,1.9087954,0,1.9109992,0,0
422,0,2.6735802,0,0.97935337,0,1.1730796,0.6126078,0,0,0.005297341,0,0,0,0,0.7071176,0,0,1.0639795,0.6505517,0,1.6667275,1.0407943,0,0,0.10430573,0,0,1.4829309,0.6685475,0.78541106,0,0,0.24731989,0,0,0.11290397,0,0.079272784,2.6266057
423,0,7.9037924,0,0,0.12436907,0,2.5809321,0.7555224,0,0.6753752,0,0,0.7088756,0,0.09880429,0,2.2551095,0.6809306,0,2.3468988,1.3275578,0,1.6708596,0,0,0,0.6180315,1.1573033,0.27177855,0,0,0,0,0,1.8972377,1.0536772,0,0,0
424,0,5.136052,4.5432806,0.64245576,0,0,0,0,0,0,2.106162,0,0,8.001043,0,0,0,0,5.9508557,0.32273608,0,4.117928,0,0.8484339,1.0936657,0,0,2.4757535,1.0589637,0.85014695,0.10388849,0,0,0.08485777,0.085396074,0.38467616,0,0.76632094,0
425,1.4756342,0,0,0,0,0,0,0.5077959,4.7499833,0.26149195,0.24681945,1.6222436,0,0.58508563,1.5645802,0.28811735,0,0.6712632,0,0,0,0,0,0,0.30919525,0,0,0.4554535,0,0,0,0,1.3083153,0,3.7579958,1.0176525,1.5080504,1.4399117,0
426,1.6041522,0,0,0.8870058,0,0,0,0,0,0,0.61399484,0,0,0,0,0.058089763,0,0,0.056043237,0,1.0574976,0,2.7714515,0.18601936,0.25882995,0,0,1.2903523,0,0,0,0.3905142,1.3747416,0,0.0366163,0.6611662,1.9102786,0,0
427,0,1.6863908,5.7997937,0,2.168306,0,0,0,0.013513312,0,0,0,1.9667137,3.919002,1.3837967,0.69530874,0,0.47694188,1.5203813,0,0.41637322,0.363515,0,0,0,1.2275431,0,1.1577251,0,0.07582891,0,0,0,1.5473869,0,0,0,0.6132359,0.54301697
428,0.46088076,0.65883726,1.2840918,3.0473945,0,1.592891,0,0.9979171,0,0,0,0,1.1856351,0.15077816,0,0,0,0,0,2.1931121,0,1.791334,0,0.22918284,1.415147,0,0,0,0,1.7539291,0,1.924573,1.0127622,0.63108724,0,0,0,0.09477969,0
429,2.6596975,0,0,0,1.5090436,2.002909,0,0.99642885,0,0.24442644,0,2.8282602,0,1.6203588,0,0,0,0,0,0,0,0,0,0,0,0,0.24804479,0,0,0.405606,0,0.5680214,0,0.26928368,0,0,0,1.1389927,0
430,0.000723492,0,0.73115945,0,0.40473163,0,0,0,1.0989296,0,1.3061004,2.4951425,0,1.057387,0,0.550855,1.7142742,0,0,0,0.21887077,0,0,0,0,0,0,0.89749354,0,0,0,0,1.0654751,0,0,2.2876503,0,0.42529196,0
431,0,4.440367,0,0,2.5295498,0,0,0.73781073,0,0.98383904,0,0,0,0,0.9119586,0,1.0507135,0,0,0.051204555,1.5696133,0.13374647,0.9525073,0,1.2100042,1.3607324,0,0.8787991,0,1.0534219,2.8459036,2.3384287,2.2714486,0,0.18359923,0,0,0.6761681,0
432,0,6.055801,0,0,0,2.1638606,1.2843944,0.3099373,0,0,0,0,0,0,2.109751,0.44980896,1.0321549,0.36460504,0,0,0.34742627,0,0.23377739,0,0,0,0,1.7158252,0,0,0,0.23852475,1.0034214,0,0.12901805,0.27676663,0,0,0.6374267
433,2.0602684,0,0,0,0.9900913,0,0,0,2.7309039,0,1.0386176,1.64408,5.1459446,3.247642,0,0,0,0.5551138,0,0.8701143,0,0,0,0.5945812,0.6793337,0,0,0,1.9683915,0,0,0,0,1.6703696,0.31133512,0.3073168,0,0,0
434,2.395755,0,17.327585,4.1712847,0,2.192937,0,0,0,1.0389577,0,0,9.67475,2.627966,2.4759848,0,0,0,0,0,0,2.433311,1.1524787,2.0440333,0.26663187,1.1151047,2.1129987,1.5814729,0,1.209726,0.35498855,0,0.68780446,0.18812461,0,0,1.710604,1.4549546,0.23481469
