roi,ROI,Classification,x,Y
42,30,,258,98
1,1,,248,25.765
3,3,,351,198
39,29,,427,172
36,27,,245,231
32,23,,258,279
26,19,,278,336
16,14,,242,431
30,21,,472,314
5,5,1,366.3939394,149.8181818
17,15,1,287,425
19,16,1,237,377
22,17,,278,366
25,18,,329,344
31,22,,298,309
33,24,,448,263
34,25,,330,257
35,26,,286,247
38,28,,185,213
9,9,1,128.1654135,171
