x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1.1315717,0.016681833,9.596432,1.6853577,0,0,7.968169,5.405193,0,0,0,0.12069956,0,0,0,0,0,0
2,1.2302128,0,0.72497666,0,0,0,0,0.28014323,1.6504444,0,0,0,0,0,7.238118,0,0,4.0405636,0,0.17222676,0,4.806863,0
3,4.5015254,3.6586292,2.9758446,0,0,0,3.8480868,10.032998,0,0,0,0,0.6810908,0.5099573,0,6.3622327,0,1.4181049,9.879853,0.46824136,0.99148226,11.774429,7.224483
4,9.905176,0,0,8.2524185,7.20278,4.0538907,0.8191031,3.68566,0,0,0.6868529,0,0,2.6394107,0,6.0266957,2.9260287,0,11.671646,5.382571,1.7286696,15.180314,17.861122
5,0,0,15.03032,0.6600371,0,4.121596,3.2266912,9.404147,0,0.11954089,0.3720253,0,0,1.9138677,0,5.4343653,2.8982666,0,0.9444791,1.821464,0.040107075,2.5007389,5.261335
6,10.436892,1.0836462,0,4.1403065,0,0,2.3749409,5.806083,0,0,1.7663397,0,2.409957,4.5187697,2.846108,4.2445097,3.8040602,5.616248,16.546833,1.2825594,0.3911183,13.421009,13.001452
7,0.70441145,0,2.75111,3.3673575,0,0,0,12.147612,0,5.8221903,3.4411335,0,5.0898705,4.032207,0,9.478341,0,0,3.3493333,2.8815055,2.4145038,6.4034166,6.143497
8,0,0,0,2.339212,4.6680727,1.525079,1.8094083,8.940272,0,0.49645105,0,6.919432,0,0,0,0,0,0,0,0,0,0,5.480563
9,0,0,0,0,8.905648,0,0,0,2.0747938,0,0,0,0,0,0,0,0,1.869559,0,0,0,0,0
10,0,0,0,0,0,0,0,0,1.6732363,0,0,1.1712121,0,0,0.20418327,0,0,0,0,0,0,0,0
11,0,0,0,0,0.5433651,0,0,0,0,0,1.3922801,7.0084853,0,0,1.3043067,0,0,0,0,0,0.21625908,0,0.08491722
12,0,0,0,0,0,4.175771,0,0,1.538821,0,0,7.624413,0,0,0,0,0,5.6640577,8.457355,0.13832669,0,0,0
13,1.0431733,0.2063884,12.837167,0,0,1.3505756,1.6294016,0,0,0,0,0,0,0,0,4.428803,0,0,20.64681,3.5279632,0.13551942,2.8140001,2.4649663
14,0,3.3600254,3.4577181,3.512725,0,3.220051,2.4139655,0,0,1.370661,1.8153343,0,0,0.46482435,4.152638,0,1.5009159,1.6862481,7.330793,2.3395596,3.790299,9.950198,8.126588
15,0,0,0,0,0,0,0,1.4482538,0.8934087,0,0,0,11.109168,0.39681035,5.198406,0,0,0,4.833116,4.7285686,0,0,0
16,0,0,0,0,0,0,0,0.13267832,1.1006814,3.302811,0,3.6216047,4.343864,1.1443689,0,0,0,0,0,0.37353596,1.4532176,0,0
17,0.3828559,0,0,0,5.4779816,0,0.9177773,0,0.5735855,0,0,0,0,0,3.5720792,0,0,0,0,0,0,0,0
18,7.093125,0.7987051,0,0,2.4280958,0,0,0,1.686479,0,0,0,1.0644352,0,0,0,6.501327,0,0,0,1.8257169,0,0
19,0,0,0,0,0,0,0,0,0.45514128,0,0,0,0,0,0.7739265,0,15.817564,0,7.90139,0,1.7515875,7.5781336,0
20,1.7569607,7.4846973,0,0,10.929585,0,0.66928107,0,0.5908595,0,0,6.341887,0,0,1.1191317,0,8.719039,1.3787838,2.1332028,0,0.3027047,0,0
21,0,1.2044756,0,0.3288801,0,0,0,0,1.2633896,4.7567096,0,4.524766,7.2410564,7.1272483,0,0,15.963489,0,0,0,0,0,0
22,0,8.748928,0,0,1.8891358,0,0,0,1.3694526,0,3.67535,7.111885,0,0,0,0,21.953333,0,0,0,0,0,0
23,0,5.6065526,0,0,0,0,0,2.398568,1.2967172,0,2.449673,0,0,0,4.3675246,6.0917163,4.6186924,0.07097263,0,2.7940118,0,0,2.404742
24,4.986296,1.4611663,2.7022297,0,3.3644035,0,0,7.3957686,0.89081895,0,0,6.582715,0,0,0,3.4065185,2.4131253,0,0,0,0,0.27623424,0
25,0,4.7190175,0,7.3556037,0,0,0,0,0.76576436,0,1.0169597,0,3.9654539,0,7.316744,18.403444,0,0,0,4.5987263,0,0,0
26,0,6.088953,0.6980066,8.622888,1.0260686,0,1.609617,0,1.6291784,0,0,5.2492347,0,0.8613155,0,10.828255,0,0,0,0,0,0,0
27,1.2335397,4.56653,0.64877194,0,5.0130243,0.7821153,0.33259505,0,0.7503696,0,0.9438776,0.11750833,3.0388355,1.5472854,0.27661142,20.058043,0,0,0,0.25233477,1.6021895,8.371241,2.9515018
28,0,11.667393,3.6491475,0,4.6019187,0,0.018617366,0,0,2.6776721,8.715059,0,7.853732,0.9484577,0,53.75684,0,0.21118394,8.0119705,7.2904167,0,0,16.36678
29,0,3.8551342,0,0,0,0.16317703,0,0,0,0.7290012,0,0,0,2.2233996,0,10.499959,0,1.0726912,0,2.3537383,1.0366517,0,6.500482
30,4.8553486,0,0.18277782,0,4.5872326,0,2.528525,0.4992087,0,2.5883076,0.42386413,0,0,0,0,23.93424,2.6945946,0.94389355,0,0,0.3083299,0,5.1987453
