x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5650424,0,3.5061688,0,3.8363883,0.012206033,0,0.645717,0.15826531,0,0,0,8.988509,0,5.276797,3.5978506,0,0,0,8.464783,2.5030317,4.6214437,0,3.930695,0.823032,1.9409249,0,0,0.61469454,0,2.3006673,0,0,0,0,0,0,3.8114185,0,0,1.4768348,5.5190554,2.1146784,0,0,0,0,6.9384212,4.385761,0,0
2,1.185267,0,0,1.1021565,0,4.120334,0,0,0,4.8765435,11.009334,0,0,12.825699,0,0,4.40838,11.120114,0,0,0,3.2426057,0,0.23748323,0,0,0,0,0,2.958849,0,0,0,0,1.970234,0,0,1.1404575,1.9336861,0.9200884,0,0,0,0,0,0,3.8893764,10.8263035,0,12.799294,2.8242443
3,0,0,0,0,0,0,0,1.6308485,0,0,0,1.4026921,0,0,1.0500233,9.174954,0,5.7426195,13.902614,0,1.2052333,0,0,0,0.5320896,0,0,0,0,0,7.6574807,0,0,0.5946225,0,0,0,0,0.46573067,0,0,0,5.6454844,7.342994,0,2.0932,0,0,0,0,0
4,0,0.6813559,5.364122,0,0,1.9206108,1.8274045,0,0,10.253999,6.4381895,0.382947,0,0,0.7589705,0.38035852,0,0,0,0,0,0,6.2024736,0,6.7490544,20.535667,20.369213,9.567609,2.3460844,2.4335756,0,3.074157,11.95434,0,0.26688176,5.378885,2.6683874,7.0297747,2.7683494,0,0,17.258318,0,0,0,0,0,6.8028545,0,0.25984448,0
5,1.1310806,7.203559,0,0,0,0,0,0.04369468,0.116940856,0,0,2.1888201,0,16.272888,3.5211887,3.4028769,0,12.394127,0,0,2.9235651,0,0,0,0,0,0.4137741,0,0,0,0,0,0,0,2.397582,0,0,0,0,0.14078827,0,0,0,0,0,0,0,0,0,0,0
6,0,0,2.8875387,0,0,0,0,3.4511254,3.9961216,10.253897,0,0,4.170092,0,1.3400126,0,2.432512,0,0,0.20886594,0,11.902344,0,1.9743253,0,0,0,0,0,2.1291108,0,0,2.6832008,0,0.24923179,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6078672,0,0
7,0.6485237,2.4178376,0,0,0,0,0,10.76429,0,2.701871,0,0,0,0,1.0920991,0,1.7235379,0,0,0,1.9507748,0,0,0,0.54048645,0,0,0,0,0,13.812155,0,0,0,14.221374,1.3364724,0,0,0,0,3.159173,0,0,0,0,0,0,0,0,0,0.89853
8,3.629805,1.3232121,0,0,0,0,0,9.490337,0,0,0,0,0,0,3.6234846,0,0,13.824207,0,9.90428,1.1679375,0,0,0.6231406,1.610158,0,0,0,0.42700937,0,0,0,0,0,3.3503323,0,0,0,0,0,1.6117332,0,0,0,0,0,0.0993526,0,4.077574,0,0
9,0,8.367717,0,3.2189705,5.2345796,0,0,0,0,0,8.645736,0,0,0,0,2.6205163,0.44779342,4.567639,0,0,0.9183951,0,0,0,0,0,0,0,0,0,5.936594,2.667007,0,0,0,0,0,0,0,2.2761755,10.058655,11.562759,0,0,0,0,0,0.39294964,0.6379242,0,0
10,1.2628647,0,0,0,0.27352157,1.084184,0,0,3.0312817,0,0,0,4.376069,0,1.0987763,8.3515415,2.8560474,0,0,4.875305,1.5393072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8134371,1.1361321,1.1816728,0,0,0,1.4427712,0,0,3.0560958,3.0824864
11,0,1.3774747,0,0,1.1612821,0.9346508,1.8191172,0,0,1.1832362,0,0,10.175353,0,7.347184,0,2.3986967,0,0,4.1905236,3.5057878,0,0,0,0,0,0,0,0,0,7.334817,0,0,0,0,0,0,0,0.12742917,0,0,0,2.1859148,6.1936707,10.450115,0,2.1461809,0,0,7.3267794,0.025280854
12,0,0,0,4.312033,0.41596147,0.6247598,0,0,0,9.487625,0,0,0,0,0,0,0,0,0,0,0.23558535,0,0,0,1.686938,7.6418962,0,0,0,0,1.691095,0,0,1.3130641,9.364426,0,9.347228,5.6425753,1.8837706,0.90442795,5.7656283,0,0,0,0,0,0,1.7101401,0,2.0830286,0
13,0,0,3.746556,2.0342839,2.5138297,0,0.06994199,0,0,12.636209,0,0,0,0,3.3017554,14.0559845,2.5576468,0,14.154011,0,0,6.6297407,0,0,1.1386855,0,0,0.078513384,0,0,0,0,0,0,0,0.31156486,5.1109967,0,0,3.724936,3.4437842,0,2.398672,0,0,0,0,0,0,0,0
14,0.8256071,0.119807236,2.869255,0,0,0.40998387,0.008449064,0.20627262,0,6.065329,0,0,16.322924,0,0,2.4332585,0,0,0,0,0,3.8820002,2.2718596,0,4.9216895,3.785134,26.628319,4.6584463,2.134872,1.5158271,13.127245,0.09447004,0,0,4.5439024,2.376649,0,0,0,0,0,7.398216,0,0,0,0,0,0,0,0,0
15,1.0185525,0,0,0,0,0,4.3107996,0,0,1.439533,0,0,6.3875723,0,0.05068182,4.496677,0,0,0,1.209174,0,21.98287,6.107573,0,0,5.9738226,0,0.84932846,3.0357487,3.6236389,13.105729,1.0972792,0,0.63532674,1.6434644,0,6.2807193,4.047011,3.1670113,0,0,0,0.25425294,2.8450656,5.860305,11.9256735,6.1537127,0,0,11.430653,1.8388422
16,0.9298391,0,0,2.9691482,0,0.15082268,0.5567516,0,0,0,23.213747,5.323888,6.790332,7.75469,0,0,0,0,1.3489012,0,0,4.299843,5.6203628,0,3.3246176,10.1163225,10.468669,5.362921,1.9768901,3.1429334,0,1.3969829,0,5.6391287,1.7443708,0,0,0,1.9526616,0.88378257,0,8.4185095,0,1.4737808,4.6062665,2.8010097,0,6.5024176,1.9936858,6.6195536,0.70320505
17,0.6273555,0,0,0,0,0,0,8.519276,1.115734,0.7262518,0,5.4549413,0,0,0,0,0,0,0,0,0,7.2191844,7.4274526,0,4.2507696,6.1402993,8.618578,2.2339375,3.941926,0.98836416,0,0,0,2.704811,2.9215674,1.2378386,1.7621449,0,0,0,0,2.5884924,0,8.539347,5.538783,0,0,5.644466,0,0,0
