Trial,Behavior,Start,End
1.0,valve opened,61.59,65.59
,cont reach,65.59,68.59
,cont in vain,69.59,77.59
,tongue,78.59,80.59
,tongue,81.59,82.59
2.0,valve opened,129.59,132.59
,cont missed,131.59,136.59
,tongue,132.59,136.59
,tongue,144.59,145.59
,noist generation,167.59,202.89
,tongue,168.59,169.59
,walk,210.59,221.59
3.0,valve opened,229.59,232.59
,cont reach,232.59,240.59
,tongue,239.59,244.59
4.0,valve opened,296.59,300.59
,walk,295.59,309.59
,tongue,332.59,333.59
,noist generation,335.59,370.89
,tongue,336.59,337.59
5.0,valve opened,398.59,401.59
,cont reach,401.59,442.59
,tongue,401.59,407.59
6.0,valve opened,467.59,470.59
,cont reach,470.59,475.59
,tongue,470.59,476.59
,cont in vain,476.59,510.59
7.0,valve opened,535.59,538.59
,tongue,538.59,539.59
,cont reach,538.59,544.59
,cont in vain,545.59,577.59
8.0,valve opened,602.59,605.59
,cont reach,605.59,645.59
9.0,valve opened,668.59,672.59
,cont reach,673.59,707.59
10.0,valve opened,736.59,740.59
,cont reach,740.59,747.59
,cont in vain,748.59,776.59
11.0,valve opened,803.59,806.59
,cont reach,806.59,839.59
,tongue,867.59,868.59
12.0,valve opened,869.59,873.59
,cont reach,872.59,902.59
13.0,valve opened,936.59,939.59
,cont reach,939.59,970.59
14.0,valve opened,1003.59,1006.59
,cont reach,1008.59,1047.59
15.0,valve opened,1072.59,1075.59
,cont reach,1075.59,1111.59
16.0,valve opened,1138.59,1142.59
,cont reach,1142.59,1178.59
17.0,valve opened,1205.59,1208.59
,cont reach,1209.59,1215.59
,cont in vain,1216.59,1244.59
18.0,valve opened,1272.59,1275.59
,cont reach,1275.59,1314.59
19.0,valve opened,1338.59,1341.59
,cont reach,1342.59,1376.59
,walk,1399.59,1409.59
20.0,valve opened,1406.59,1409.59
,cont reach,1410.59,1416.59
,cont in vain,1417.59,1421.59
,cont in vain,1422.59,1442.59
,walk,1444.59,1469.59
,both in vain,1470.59,1475.59
21.0,valve opened,1473.59,1476.59
,cont reach,1476.59,1501.59
,both in vain,1508.59,1511.59
,both in vain,1512.59,1514.59
,both in vain,1515.59,1519.59
,both in vain (2),1520.59,1537.59
22.0,valve opened,1539.59,1542.59
,cont missed,1542.59,1548.59
,tongue,1543.59,1545.59
,tongue,1546.59,1547.59
,tongue,1548.59,1549.59
,tongue,1574.59,1575.59
,noist generation,1577.59,1612.89
,both in vain (2),1624.59,1630.59
,tongue,1636.59,1637.59
23.0,valve opened,1639.59,1642.59
,cont reach,1643.59,1650.59
,cont in vain,1651.59,1675.59
,tongue,1703.59,1704.59
24.0,valve opened,1706.59,1709.59
,cont reach,1709.59,1734.59
25.0,valve opened,1772.59,1775.59
,cont reach,1775.59,1801.59
26.0,valve opened,1838.59,1841.59
,cont reach,1841.59,1847.59
,cont in vain,1848.59,1871.59
27.0,valve opened,1904.59,1907.59
,cont reach,1907.59,1932.59
,tongue,1965.59,1966.59
28.0,valve opened,1970.59,1972.59
,cont reach,1972.59,1975.59
,cont in vain,1976.59,2004.59
29.0,valve opened,2035.59,2038.59
,cont reach,2038.59,2056.59
,tongue,2058.59,2059.59
,walk,2061.59,2069.59
30.0,valve opened,2102.59,2104.59
,cont reach,2104.59,2108.59
,cont in vain,2109.59,2139.59
31.0,valve opened,2168.59,2170.59
,cont reach,2170.59,2185.59
32.0,valve opened,2233.59,2236.59
,cont reach,2236.59,2266.59
33.0,valve opened,2299.59,2302.59
,cont reach,2302.59,2309.59
,cont in vain,2310.59,2320.59
34.0,valve opened,2366.59,2368.59
,cont reach,2368.59,2400.59
35.0,valve opened,2431.59,2434.59
,cont reach,2434.59,2457.59
,tongue,2497.59,2498.59
36.0,valve opened,2497.59,2500.59
,cont reach,2499.59,2502.59
,cont in vain,2503.59,2522.59
37.0,valve opened,2562.59,2565.59
,cont reach,2565.59,2585.59
38.0,valve opened,2628.59,2631.59
,cont reach,2632.59,2649.59
,tongue,2660.59,2663.59
