Trial,Behavior,Start,End
1.0,valve opened,92.59,98.59
,cont reach,98.59,133.59
,ipsi moved,98.59,103.59
,walk,180.59,196.59
2.0,valve opened,214.59,219.59
,cont reach,218.59,247.59
,walk,292.59,304.59
3.0,valve opened,335.59,340.59
,cont reach,339.59,375.59
,ipsi moved,338.59,347.59
,walk,432.59,438.59
4.0,valve opened,456.59,461.59
,cont reach,461.59,481.59
,ipsi moved,462.59,468.59
,walk,499.59,504.59
,walk,544.59,554.59
5.0,valve opened,576.59,582.59
,cont reach,581.59,613.59
,ipsi moved,583.59,591.59
,walk,643.59,660.59
,walk,682.59,701.59
6.0,valve opened,697.59,702.59
,cont reach,702.59,722.59
,ipsi moved,704.59,722.59
,walk,763.59,780.59
,cont in vain,816.59,819.59
7.0,valve opened,818.59,823.59
,cont missed,820.59,822.59
,cont reach,823.59,862.59
,ipsi moved,822.59,832.59
,walk,912.59,924.59
8.0,valve opened,939.59,944.59
,cont reach,944.59,973.59
,ipsi moved,945.59,947.59
,cont in vain,975.59,985.59
,ipsi moved,977.59,986.59
,both in vain (7),1024.59,1061.59
9.0,valve opened,1060.59,1065.59
,cont reach,1066.59,1082.59
,ipsi moved,1067.59,1071.59
,walk,1127.59,1144.59
10.0,valve opened,1181.59,1186.59
,cont reach,1185.59,1226.59
,ipsi moved,1189.59,1198.59
,walk,1260.59,1270.59
11.0,valve opened,1302.59,1307.59
,cont missed,1302.59,1305.59
,cont reach,1306.59,1326.59
,ipsi moved,1308.59,1314.59
,walk,1363.59,1384.59
12.0,valve opened,1423.59,1428.59
,cont missed,1425.59,1427.59
,cont reach,1428.59,1467.59
,ipsi moved,1429.59,1433.59
,walk,1485.59,1506.59
13.0,valve opened,1543.59,1548.59
,cont reach,1546.59,1590.59
,ipsi moved,1547.59,1555.59
,walk,1620.59,1630.59
,cont in vain,1653.59,1655.59
,cont in vain,1656.59,1658.59
,ipsi moved,1657.59,1664.59
14.0,valve opened,1665.59,1670.59
,cont reach,1669.59,1709.59
,ipsi moved,1669.59,1675.59
15.0,valve opened,1785.59,1790.59
,cont reach,1789.59,1818.59
,ipsi moved,1791.59,1795.59
,ipsi moved,1818.59,1829.59
,cont in vain,1821.59,1828.59
,walk,1880.59,1890.59
16.0,valve opened,1906.59,1911.59
,cont reach,1911.59,1929.59
,ipsi moved,1912.59,1915.59
,walk,1984.59,2001.59
,walk,2015.59,2026.59
17.0,valve opened,2027.59,2032.59
,cont reach,2032.59,2072.59
,ipsi moved,2034.59,2037.59
18.0,valve opened,2148.59,2153.59
,cont reach,2151.59,2192.59
,ipsi moved,2153.59,2158.59
19.0,valve opened,2269.59,2274.59
,cont reach,2273.59,2293.59
,ipsi moved,2273.59,2285.59
,walk,2353.59,2362.59
20.0,valve opened,2390.59,2395.59
,cont reach,2393.59,2433.59
,ipsi moved,2394.59,2405.59
,walk,2482.59,2494.59
21.0,valve opened,2511.59,2515.59
,cont reach,2514.59,2552.59
,ipsi moved,2517.59,2524.59
,walk,2618.59,2635.59
22.0,valve opened,2631.59,2636.59
,cont reach,2635.59,2677.59
,ipsi moved,2636.59,2642.59
,walk,2707.59,2724.59
23.0,valve opened,2752.59,2757.59
,cont reach,2753.59,2797.59
,ipsi moved,2758.59,2769.59
24.0,valve opened,2873.59,2878.59
,cont reach,2874.59,2887.59
,ipsi moved,2878.59,2903.59
,cont in vain,2888.59,2901.59
,walk,2952.59,2971.59
25.0,valve opened,2904.59,2999.59
,cont reach,2999.59,3036.59
,ipsi moved,3000.59,3008.59
,walk,3089.59,3096.59
26.0,valve opened,3115.59,3120.59
,cont reach,3118.59,3147.59
,ipsi moved,3121.59,3127.59
27.0,valve opened,3236.59,3241.59
,cont reach,3241.59,3280.59
,ipsi moved,3254.59,3280.59
,walk,3328.59,3338.59
28.0,valve opened,3357.59,3362.59
,cont reach,3359.59,3385.59
,ipsi moved,3360.59,3375.59
,Ipsi in vain,3376.59,3384.59
,both in vain  (3),3446.59,3476.59
,ipsi moved,3477.59,3494.59
29.0,valve opened,3478.59,3483.59
,cont reach,3482.59,3485.59
,cont in vain,3487.59,3522.59
,walk,3574.59,3586.59
30.0,valve opened,3598.59,3603.59
,cont reach,3602.59,3615.59
,Ipsi in vain,3603.59,3616.59
,cont in vain,3616.59,3636.59
,ipsi moved,3636.59,3650.59
,cont in vain,3637.59,3647.59
31.0,valve opened,3719.59,3724.59
,cont reach,3722.59,3757.59
,ipsi moved,3724.59,3735.59
,walk,3778.59,3793.59
,walk,3814.59,3840.59
,cont in vain,3823.59,3826.59
,cont in vain,3827.59,3829.59
32.0,valve opened,3840.59,3845.59
,cont reach,3843.59,3886.59
,ipsi moved,3847.59,3850.59
,walk,3918.59,3930.59
33.0,valve opened,3961.59,3966.59
,cont reach,3964.59,3983.59
,ipsi moved,3967.59,3974.59
34.0,valve opened,4082.59,4087.59
