roi,ROI,Classification,x,Y
22,15,1,73,296
13,12,,159,386
2,2,,179,198
32,19,1,237,176
1,1,1,225,59.39516129
5,5,1,445,256.6184211
7,7,,82,481
8,8,1,177,457
0,0,,367.9768519,443.0324074
9,9,,129,444
11,11,1,263,397
20,14,,306,296
17,13,1,126,328
28,17,1,255,230
31,18,,360,186
35,20,,148,157
