roi,ROI,Classification,x,Y
0,0,na,246,97
1,1,na,236.9424084,25.05759162
3,3,na,339,196
4,4,na,416.0364583,171.0833333
5,5,na,231,226
6,6,na,245.5454545,275.769697
7,7,na,265.7847534,332.5829596
8,8,na,230,428.5842697
9,9,na,463,313.1317365
11,11,na,354.3764706,148.6235294
14,12,na,274,423
18,14,na,221,377
20,15,na,265,365
22,16,na,317,342
24,17,na,286,308
27,18,na,437,262
28,19,na,317,256
30,20,na,273,245
34,22,na,173,212
35,23,na,114,171
