Trial,Behavior,Start,End
,walk,23.59,39.59
,walk,76.59,83.59
1.0,valve opened,90.59,95.59
,walk,113.59,157.59
,noise generation,131.59,166.89
,walk,198.59,204.59
2.0,valve opened,244.59,249.59
,walk,248.59,271.59
,noise generation,285.59,320.89
,walk,395.59,423.59
3.0,valve opened,398.59,403.59
,tongue,404.59,405.59
,tongue,407.59,408.59
,tongue,410.59,412.59
,tongue,416.59,419.59
,noise generation,439.59,474.89
4.0,valve opened,552.59,557.59
,walk,571.59,588.59
,tongue (3),574.59,583.59
,noise generation,593.59,628.89
5.0,valve opened,706.59,711.59
,noise generation,747.59,782.89
6.0,valve opened,860.59,865.59
,noise generation,901.59,936.89
7.0,valve opened,1014.59,1019.59
,cont reach,1018.59,1022.59
,cont in vain,1023.59,1027.59
,cont licking,1028.59,1029.59
,both in vain,1030.59,1032.59
8.0,valve opened,1133.59,1138.59
,cont reach,1142.59,1164.59
,walk,1165.59,1195.59
9.0,valve opened,1257.59,1262.59
,tongue (3),1262.59,1268.59
,tongue,1270.59,1271.59
,noise generation,1298.59,1333.89
,walk,1404.59,1410.59
10.0,valve opened,1411.59,1416.59
,tongue,1415.59,1419.59
,noise generation,1452.59,1487.89
11.0,valve opened,1565.59,1570.59
,cont reach,1570.59,1573.59
,cont in vain,1574.59,1576.59
,walk,1577.59,1581.59
,both licking,1582.59,1584.59
,walk,1585.59,1598.59
12.0,valve opened,1684.59,1689.59
,noise generation,1725.59,1760.89
13.0,valve opened,1838.59,1843.59
,walk,1841.59,1862.59
,tongue,1847.59,1849.59
,tongue,1871.59,1872.59
,tongue,1874.59,1876.59
,noise generation,1879.59,1914.89
,walk,1934.59,1947.59
14.0,valve opened,1993.59,1998.59
,noise generation,2033.59,2068.89
15.0,valve opened,2146.59,2151.59
,tongue,2152.59,2153.59
,tongue,2158.59,2160.59
,noise generation,2187.59,2222.89
16.0,valve opened,2300.59,2305.59
,walk,2304.59,2324.59
,tongue,2309.59,2310.59
,noise generation,2341.59,2376.89
17.0,valve opened,2454.59,2459.59
,noise generation,2495.59,2530.89
18.0,valve opened,2608.59,2613.59
,cont reach,2641.59,2645.59
,walk,2646.59,2679.59
19.0,valve opened,2756.59,2761.59
,cont reach,2764.59,2771.59
20.0,valve opened,2879.59,2884.59
,noise generation,2920.59,2955.89
21.0,valve opened,3033.59,3038.59
,noise generation,3074.59,3109.89
,walk,3160.59,3179.59
22.0,valve opened,3187.59,3192.59
,cont missed,3195.59,3196.59
,cont reach,3197.59,3200.59
,both licking,3201.59,3204.59
,both in vain,3205.59,3212.59
,walk,3213.59,3225.59
,walk,3292.59,3311.59
