x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021
39,0,0,0,1.2355319,0,3.2683315,1.05433,0,3.912785,0,0,1.2662581,1.6605484,1.5292408,0,0,0,0,3.5096285,0,0,0
40,0,3.9217536,0,0,0,0,0,0.7150395,0,0.33494845,0.31476358,0,2.6117778,0.73748565,0.96781194,2.0289166,0.20226946,0,0,0,0,0
41,0.46342525,0.19691679,0,0,1.2590425,0,1.6970412,0.11700539,0,0,0.87901956,1.1361643,0,0.72088885,6.478306,1.0319104,0.42986456,0.37394705,1.3538259,1.3644044,0,0
42,0,0,0,2.4947019,0,9.830955,1.9498519,1.7626816,1.5120795,0,0,3.5133398,0.11746847,0,0,0,2.8027468,0,3.4241858,6.6171975,1.4496046,0
43,0.4672324,0,1.6754282,0,0,0,0,0,0,0,1.819955,0,0,0,4.6939707,0,0,0,0,2.0785687,0,0
44,0,0,0,2.0756097,0,0,0,0,0.6134503,0,0,0,0,0,4.3349786,0,0,0,0,0,0,0
45,0.5217489,1.273572,0,2.1993413,0,0.63401574,0,0,0,0.4244152,0,3.162911,0.9982434,0,0,1.0352695,2.4244394,0.09323809,0,0,1.6775701,0
46,0.17065324,0.9032714,0.76784086,0,0,2.7015712,0,3.1363208,0,0,0.7524465,0,0.00178293,0,0,0,0,0.95300066,0,0,0.8112184,0.14103363
47,0,0,5.205167,1.089024,2.273187,0,0,0,0.11660106,0,0,0,0,0,0,0,0.89752066,0,0,0,0,0
48,0.19104725,0,7.082377,0.75300765,0.4563502,0,0,0,0,0.08685037,0.65544236,0,0.35228416,0,0,0,0,0,0,5.073943,0,1.3321427
49,0,0,0,1.3752036,2.1798878,0,0,0,0,0,0,0,2.4879253,0,0,0,0,0,1.2792853,3.3236628,1.1487801,0
50,0,0.59697425,0,2.111756,1.4367192,2.5736175,0,1.7598722,0,0,0,0,0.061960634,0,0,0,2.8938565,5.5903134,3.0694497,0,0,1.3322039
51,0,0.11457877,0,0,0,0,0,0,0,0,0,0,0,0.6379835,2.664211,0.53305006,0,0,0,8.506298,0,0
52,0,0.050713163,0,3.4632907,0,0,1.0555016,0.34434155,0,0,0,1.8963691,0,0,0,0,0,0,0,3.497141,0,0
53,0,0,0,1.960781,0,4.5901775,0.20003211,0,0.70198536,0,0,0,0,0,3.9093451,0,0,2.273092,0,0,1.9446812,0.091935664
54,0,0,0,0.18502988,1.6037463,0,0,3.8571534,0,0,0,0,0,0,3.035412,0,0,0,4.030013,0,0,0
55,1.0191259,0,0,0,0.25599733,1.5840507,0,0,1.0029246,3.815677,0,1.5285288,2.7118154,2.6584766,0,0,1.2047251,0,0,8.853576,0,0
56,0,0,2.3265972,0,0,3.9713507,1.9701418,0,0.65312564,0,3.494736,0.9716674,2.232897,0.07463318,0,1.1048392,0,2.7446404,8.356904,0,6.759099,0
57,0.18704443,1.087582,0,0,0,0,0,0,0,1.3978125,0,1.0612328,0,0,1.8205779,0.34342304,0.22476985,0,1.9702212,0,1.6929789,0
58,0,4.0978794,0,0.43789312,0.31892052,0,2.7825491,0,0,0,0.9262008,3.5917668,0.5023543,0.029459955,0,1.419132,0,1.298006,4.295172,0.13804017,1.9329777,0.7580237
59,1.4207314,0,0,0,0,0,0,1.5159683,0,0,0,0,0,0,8.370008,0.3813995,0,0,1.443165,6.8760986,0,0
