roi,ROI,Classification,x,Y
70,53,,173,47
57,42,1,455,138
19,17,1,277,412
17,15,1,422,425
48,38,,381,185
67,51,1,126,56
4,4,1,145,216.7954545
6,6,1,272.766129,183
9,9,,463.8061224,320.1938776
7,7,1,211.2857143,184
13,12,,311,469
0,0,,194.2419355,466
14,13,,478,465
20,18,1,473,399
21,19,1,242,380
23,20,1,483,369
26,21,1,261,361
27,22,1,187,360
28,23,1,108,353
29,24,1,412,327
30,25,1,345,325
31,26,1,257,313
34,27,1,312,309
35,28,1,212,301
37,29,,488,288
38,30,,170,283
39,31,1,351,275
40,32,,113,269
41,33,1,210,251
42,34,1,264,249
43,35,1,404,239
44,36,1,354,230
45,37,1,457,223
49,39,,464,183
52,40,1,136,172
54,41,1,50,168
8,8,,401.8428571,152.1285714
58,43,1,249,137
61,45,1,89,110
62,46,,341,105
63,47,1,412,87
64,48,,293,75
66,50,,437,66
65,49,,61,70
69,52,,358,51
73,54,1,205,21
74,55,1,318,16
