Trial,Behavior,Start,End
,walk,86.59,111.59
1.0,valve opened,90.59,93.59
,noise genearation,128.59,163.89
2.0,valve opened,240.59,243.59
,noise genearation,278.59,313.89
3.0,valve opened,390.59,393.59
,noise genearation,428.59,463.89
,walk,440.59,467.59
4.0,valve opened,540.59,543.59
,noise genearation,579.59,614.89
5.0,valve opened,690.59,693.59
,noise genearation,729.59,764.89
6.0,valve opened,840.59,843.59
,noise genearation,879.59,914.89
,walk,972.59,992.59
7.0,valve opened,990.59,993.59
,noise genearation,1029.59,1064.89
8.0,valve opened,1140.59,1143.59
,noise genearation,1179.59,1214.89
9.0,valve opened,1290.59,1293.59
,noise genearation,1329.59,1364.89
10.0,valve opened,1440.59,1443.59
,walk,1445.59,1469.59
,noise genearation,1479.59,1514.89
,walk,1501.59,1574.59
11.0,valve opened,1590.59,1593.59
,noise genearation,1629.59,1664.89
,walk,1737.59,1758.59
12.0,valve opened,1740.59,1744.59
,noise genearation,1779.59,1814.89
13.0,valve opened,1890.59,1893.59
,walk,1893.59,1899.59
,cont reach,1900.59,1903.59
,walk,1904.59,1906.59
,cont in vain,1907.59,1912.59
,cont in vain,1914.59,1917.59
,cont in vain,1927.59,1931.59
,walk,1932.59,1981.59
14.0,valve opened,2013.59,2016.59
,noise genearation,2052.59,2087.89
15.0,valve opened,2163.59,2166.59
,noise genearation,2202.59,2237.89
,cont in vain,2311.59,2313.59
16.0,valve opened,2313.59,2316.59
,walk,2314.59,2316.59
,cont reach,2317.59,2320.59
,cont in vain,2321.59,2324.59
,cont in vain,2333.59,2342.59
,cont in vain,2345.59,2348.59
,cont in vain,2349.59,2352.59
,walk,2353.59,2367.59
,both in vain,2368.59,2371.59
,walk,2372.59,2412.59
17.0,valve opened,2430.59,2434.59
,noise genearation,2469.59,2504.89
,walk,2493.59,2526.59
,both in vain,2527.59,2530.59
,walk,2531.59,2559.59
,both in vain,2560.59,2562.59
,walk,2563.59,2581.59
18.0,valve opened,2580.59,2584.59
,noise genearation,2619.59,2654.89
,both in vain,2621.59,2626.59
,walk,2627.59,2630.59
,both in vain,2631.59,2633.59
,walk,2634.59,2657.59
,walk,2710.59,2733.59
19.0,valve opened,2730.59,2734.59
,cont reach,2734.59,2739.59
,cont in vain,2747.59,2750.59
,both in vain,2836.59,2840.59
,both in vain,2842.59,2848.59
20.0,valve opened,2845.59,2848.59
,both reach,2851.59,2855.59
,both in vain,2856.59,2859.59
,walk,2860.59,2874.59
,both in vain,2875.59,2877.59
,walk,2878.59,2936.59
21.0,valve opened,2960.59,2964.59
,noise genearation,2999.59,3034.89
,walk,3023.59,3034.59
,both in vain,3063.59,3068.59
,walk,3069.59,3108.59
22.0,valve opened,3110.59,3113.59
,cont reach,3138.59,3142.59
,both in vain,3145.59,3148.59
,both in vain,3149.59,3150.59
,cont in vain,3155.59,3158.59
,walk,3159.59,3171.59
,walk,3221.59,3229.59
23.0,valve opened,3225.59,3228.59
,both reach,3230.59,3236.59
,walk,3237.59,3240.59
,both in vain,3241.59,3247.59
,walk,3248.59,3255.59
,both in vain,3256.59,3258.59
,both in vain,3259.59,3262.59
,walk,3281.59,3286.59
,both in vain,3287.59,3292.59
,both in vain,3294.59,3299.59
,walk,3300.59,3319.59
,both licking,3320.59,3325.59
,walk,3332.59,3338.59
,both licking,3339.59,3341.59
24.0,valve opened,3339.59,3343.59
,walk,3342.59,3344.59
,cont reach,3345.59,3349.59
,cont in vain,3350.59,3352.59
,walk,3353.59,3358.59
,both in vain,3359.59,3362.59
,walk,3363.59,3377.59
,both in vain,3378.59,3380.59
,both in vain ,3394.59,3399.59
,walk,3400.59,3405.59
,both in vain,3406.59,3409.59
,walk,3410.59,3421.59
,both in vain,3422.59,3425.59
,walk,3426.59,3453.59
25.0,valve opened,3454.59,3458.59
,noise genearation,3493.59,3528.89
26.0,valve opened,3604.59,3608.59
,walk,3608.59,3612.59
,cont reach,3613.59,3617.59
,both in vain,3619.59,3622.59
,both in vain,3623.59,3625.59
,both in vain,3626.59,3627.59
,both in vain,3628.59,3629.59
,walk,3630.59,3648.59
27.0,valve opened,3726.59,3729.59
,noise genearation,3765.59,3800.89
,walk,3864.59,3880.59
28.0,valve opened,3876.59,3880.59
,cont reach,3881.59,3883.59
,cont in vain,3884.59,3886.59
,both in vain,3887.59,3891.59
,cont in vain,3893.59,3896.59
,walk,3897.59,3903.59
,both in vain,3904.59,3906.59
,cont in vain,3907.59,3909.59
,walk,3910.59,3969.59
29.0,valve opened,3991.59,3994.59
,both reach,4014.59,4017.59
,walk,4018.59,4019.59
,cont in vain,4020.59,4022.59
,walk,4023.59,4028.59
,both in vain,4029.59,4030.59
,walk,4031.59,4049.59
30.0,valve opened,4105.59,4108.59
,both in vain,4105.59,4105.59
,both reach,4109.59,4111.59
,walk,4112.59,4114.59
,both in vain,4115.59,4119.59
,walk,4120.59,4124.59
,both in vain ,4125.59,4127.59
,both in vain ,4130.59,4133.59
31.0,valve opened,4221.59,4224.59
,both in vain,4220.59,4224.59
,walk,4225.59,4259.59
,noise genearation,4260.59,4295.89
,walk,4368.59,4382.59
