x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023
35,4.1387496,0,2.4071538,0,2.8807833,1.8692079,0,0.8127578,0,0,0.96523863,0,3.5968857,0,0,0,0.3356202,0,0.9799037,0,0,0,5.405429,2.280898
36,0,0,0,0.7143614,0,0,0,1.0372853,0.75408363,0,0,0.41582468,1.7668041,1.3370032,0,0,1.6246252,1.2971054,0,2.5658681,1.373698,0,0,9.350535
37,0,0,0.7283309,3.1846986,0,0,0,0.59329027,3.189012,3.9381726,5.3590302,1.7870666,0,0.4197912,0,3.8563359,0,0,0,0,0.69752955,0,0,0
38,0,0,0,0,0,0,0,0,0.21692617,3.120924,0.6820424,0.200108,0,2.797508,0,0,0,0,4.8979874,0,4.607095,0,6.448124,0
39,0,6.3053045,0,0,0.10134833,2.883061,0,1.9136221,0,0,2.4009364,1.2324122,0,0,2.421044,0,0,0.7626901,0.8351569,5.0458994,0,3.5071833,0,0
40,0,0.66004074,0,0,0,0,0,0.47482568,0.006237764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.54954565,0,2.1002598,1.2607906,0,0,2.879343,1.9740784,0,1.7669046,0,2.0719144,0,1.8220867,1.2689465,1.0873784,0,0,0,0,0,0,6.340893,0
42,0,0.97260267,0,0,0,0,1.963081,1.244065,2.6406507,0,2.2537518,3.45625,1.5211976,0,0,0,0,2.049481,0,2.4320176,0,2.9301538,0,0
43,0,1.1507185,0.12925449,0.773629,0,2.052801,0,0.7238841,0,0,0.43943197,0,3.0312104,2.0000072,0,3.6273873,5.4773903,3.3097463,6.157135,0,0.3049218,0.75689405,0,0
44,1.5282652,0,0,0.6963017,1.5440799,0,0,1.9810407,5.9116015,0.07835774,3.1925926,5.7461314,2.9419172,6.7231026,0,0,0,0,0.8265881,0,0,0,5.0094357,0
45,2.0806682,1.5442482,0,0,0,0,0,0,0,0.003232995,0,5.117507,1.249952,0.63060325,0,0.07655948,0,0,0.7887649,0,0.9951763,3.2858806,4.7420244,0
46,2.5655875,1.1184062,0,0,0,1.6317677,0,0,2.97902,0,3.0240245,0,2.1498666,2.5599105,0,4.46415,6.4365196,0,0,3.6637843,1.5165323,0,7.636136,3.8954709
47,0,0,1.2831358,0,1.9495071,0,0,0,0,2.375204,0,0.16436085,1.976147,0,0,0,2.9832327,0,0,0,0,2.4045057,0,0
48,0,0,0,0,0,4.7086434,0,3.7611237,0,0,0,4.8552885,0.2854095,0,0,0,0,0.99689704,0,0,2.4509866,0,0.2491074,0
49,0,0.02028503,0,4.0799413,2.2677221,0,3.9559774,3.516789,2.47122,1.9008194,0,2.7070835,7.1738234,0,5.6586394,0.60667735,1.1749486,0,0,1.7564232,0,0,0.44155857,0
50,0.21929312,0,0,0,0.049364198,0,1.6934922,1.400575,0,0,0,0,0,2.3082895,0,0,2.3372068,0.99457246,0,0,0,3.0258124,2.2729468,10.575621
51,0,0.63238996,4.408509,0,0.5099829,0,0.82530105,0,0,0,0,0.8730493,2.0453298,0,0,0,0.83345515,2.2873063,0,0,0.056275766,0,5.21379,7.5495687
52,0,0,2.1441166,0.48732266,0,0,2.6775877,1.5303351,0,1.8704697,1.724354,8.388065,2.907761,0.22633855,0,1.4621139,0,0,3.6060195,0,3.5324059,0.7259027,0,0
53,3.5605953,0,0,0,0,0,0,0.7842168,2.7897785,0,0,2.6133845,0,0.16493292,0,0,0,0,0,0,0,0,8.402158,3.819885
54,0,4.538329,1.1720024,0,3.1478808,3.046947,0,0,0,0,4.2827773,0,0.87201524,0,1.1691041,0,2.4922104,0,0,0,0,0,0,3.97054
55,1.740451,0,0,0,0,0.6611146,0,1.2279645,0.5131052,0,0,0,0,2.4360428,1.7227521,2.2683134,0,0,0.44566062,5.5345507,0.23333523,0.4131231,0,0
