Trial,Behavior,Start,End
,walk,25.59,29.59
,walk,42.59,46.59
,both licking,47.59,58.59
,walk,59.59,60.59
,both in vain,61.59,62.59
,both in vain,63.59,65.59
,both in vain,66.59,69.59
,both licking,70.59,71.59
,both in vain,72.59,73.59
,both in vain,74.59,75.59
,both licking,76.59,78.59
,both in vain,79.59,80.59
,both in vain,81.59,82.59
,both in vain,83.59,85.59
,both in vain,86.59,90.59
,walk,91.59,95.59
1.0,valve opened,90.59,94.59
,cont reach,96.59,131.59
,walk,152.59,168.59
,walk,185.59,187.59
2.0,valve opened,209.59,212.59
,cont reach,212.59,222.59
,walk,223.59,235.59
3.0,valve opened,325.59,328.59
,cont reach,327.59,361.59
,both in vain,362.59,371.59
,both in vain,373.59,379.59
,walk,384.59,395.59
4.0,valve opened,440.59,443.59
,cont reach,442.59,453.59
,walk,547.59,557.59
5.0,valve opened,555.59,559.59
,cont reach,558.59,564.59
,cont in vain,565.59,580.59
,both in vain,582.59,593.59
,both in vain,594.59,603.59
,both in vain,604.59,616.59
,both in vain,621.59,629.59
,both in vain,632.59,639.59
,both in vain,651.59,662.59
,walk,663.59,673.59
6.0,valve opened,671.59,675.59
,cont reach,674.59,711.59
,walk,712.59,734.59
7.0,valve opened,787.59,790.59
,cont reach,789.59,795.59
,both in vain,796.59,807.59
,cont in vain,809.59,812.59
,cont licking,813.59,827.59
,both in vain,828.59,838.59
,both in vain,839.59,843.59
,walk,845.59,875.59
,walk,898.59,904.59
8.0,valve opened,902.59,905.59
,cont reach,905.59,925.59
,walk,957.59,959.59
,both licking,960.59,978.59
,both in vain,979.59,988.59
,walk,1001.59,1011.59
9.0,valve opened,1018.59,1021.59
,cont reach,1021.59,1038.59
,walk,1059.59,1068.59
10.0,valve opened,1134.59,1138.59
,walk,1136.59,1138.59
,cont reach,1139.59,1150.59
,cont in vain,1151.59,1163.59
,both in vain,1165.59,1174.59
,both in vain,1175.59,1179.59
,both in vain,1180.59,1185.59
,both in vain,1186.59,1197.59
,both in vain,1198.59,1207.59
,both in vain,1208.59,1216.59
,both in vain,1217.59,1218.59
,both in vain,1219.59,1222.59
,both in vain,1223.59,1225.59
,both in vain,1226.59,1229.59
,both in vain,1230.59,1232.59
,both in vain,1233.59,1234.59
,both in vain,1235.59,1236.59
,both licking,1237.59,1239.59
,walk,1240.59,1247.59
11.0,valve opened,1251.59,1254.59
,cont reach,1254.59,1256.59
,cont in vain,1257.59,1272.59
,ipsi moved,1258.59,1261.59
,both licking,1290.59,1294.59
,both in vain,1295.59,1298.59
,both licking,1299.59,1314.59
