roi,ROI,Classification,x,Y
0,0,,167,60.25
1,1,,448.3857143,150.5857143
2,2,,271.9350649,428.5324675
3,3,,412.8181818,442
5,5,,373,198
7,6,,122,69.56701031
9,8,,135.2857143,231.5
11,9,,264.9615385,198.1923077
12,10,,453,337
13,11,,209,193
14,12,1,301,486
15,13,,185,484
16,14,1,468,482
20,16,,463,415
22,17,,233,396
24,18,,474,385
28,19,,253,376
29,20,,179,376
30,21,,99,369
34,23,,403,343
37,24,,337,341
38,25,,249,330
41,26,1,306,323
42,27,,203,317
43,28,,478,303
44,29,,165,295
45,30,,343,290
47,31,,106,284
48,32,,202,268
50,33,1,255,262
51,34,,395,253
53,35,,347,245
54,36,,449,238
57,37,,457,198
59,38,,130,186
60,39,,42,181
61,40,,393,167
65,41,,242,151
68,42,,84,125
69,43,,335,120
70,44,,406,102
71,45,,286,89
72,46,,432,80
73,47,,58,83
76,48,,351,63
79,49,,201,35
81,50,,312,28
