x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052,y0053,y0054,y0055
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.121987656,0.5455327,0.23618644,1.7884896,0.004057268,0,0,1.0401554,0,0.43927205,0,0,0.65490156,0,0,1.0157245,1.371061,0,0.10723008,2.88474,2.3698099,0,0,0,0,0,0,2.2418044,0,2.2596614,1.8179383,0,0,0,0,0,0,0,1.5794324,4.5445046,0,0,2.4105754,0,0.6175968,0,3.1823807,4.346222,0,0,0,0,0,0,0,4.28002
2,19.156155,0,0.44398832,5.4843483,0,0,0,0,3.4057834,0,0,0,0,0,5.4223795,0,0,0,0,0,0,9.663085,5.154802,0,0,1.4158527,1.0586938,0,10.712546,0.21805497,0,0.4624036,4.1344485,0,0,0,0,0,0,0,0,0,0,1.7381173,0,2.4959679,0.2252675,0,0,0,0.92963445,0.6389921,0,0,0,0
3,1.4420526,0.36512476,0.24043256,0,0,0,0,0,0.8915559,0,0,3.7450228,0.12876292,1.339052,0.92860967,0,1.6402242,1.629185,6.8826947,4.626335,0,0,0,1.0892009,11.32647,0,0.79486054,7.4002414,5.348449,0.89197826,0.17953587,4.7875547,0,2.38424,11.233395,0,0,2.6981397,0,0,2.101648,0,0,0,0.43850258,0.8105884,1.7958795,0,0,0,0,0,12.912099,0,0,0
4,3.9000757,0,0.017607389,1.102204,1.1118579,2.4203727,0,1.5109326,0,0,0,0,0,0,0,0,0.76278573,2.377339,0,6.949952,3.6322505,4.788239,1.8069165,1.3584136,2.4064555,0.21454157,0.26624727,3.920399,0,0,0.3509139,0,0,2.6957505,0.5228926,0,8.704381,0,0,0,0.3633862,0,0,0,0.67196566,0.54752773,0,0,0,0,0,0,0,0,0,0.09934271
5,6.845398,2.2940454,0,0,0,0,0,0,2.193701,0,0,4.649375,0.29556233,0,1.6445044,0,0,0.83382267,1.7974088,2.52715,0,4.7941575,0,0,0,2.819627,0,6.973804,2.70251,2.1652439,0,0.5509607,3.7873209,0.07889101,0,0,0,0,0,0,0,0,1.3261935,1.3155,3.4790063,5.276646,0,1.0182452,0,0,0.40666622,0,0,0,0,2.428541
6,7.688465,0,0,0,0,0,0.3431936,0.7480671,0,1.2904611,4.433966,0,1.5237906,0,0.028240602,0.3758937,0,0,0,0,0,4.8718266,0.87377,0,0,0,0.80088854,0,3.5883095,0.42753708,0.3070532,1.5741471,4.8102355,1.7041818,0.4339544,0,0,0,1.2615638,2.9314287,0.8038174,0,1.6485016,0.10170043,0.80764765,0,0,0,0,1.6189525,0,0.8437542,0,1.5493637,1.8709369,0
7,4.057774,0,0.9464326,0,0,1.6634386,1.7278425,2.104801,0,0,0,0.32071337,0,0,0,0.12997271,0.6034418,0,0,3.716372,0,2.043964,0,0,6.90099,0,0.8009321,5.8318543,0,0,1.199931,0,0.44322753,0,0,1.4193752,0,0,7.116109,0,1.8496058,7.0445476,2.5953012,0,0,0,0,0,3.675742,1.4163814,1.6340971,0,0.77336085,0,0.002724073,0
8,0,2.1182923,0,0,3.3141327,0.78917956,1.2882975,0,1.3773297,0.49479514,0,0,0,0,2.3893273,0,0,0,0,1.1033487,0,0,0.07193121,0,7.940917,0.970034,0,2.619106,6.0081215,0,0,0.05936731,0,1.497225,10.364489,2.52799,0,1.3199834,0,0,0.7395803,0.7125421,0,0,0,0,3.0582864,2.2361531,0,0,0.27820918,0,0,0,0,1.267096
9,1.507695,0,0,0,3.1905172,0.58280677,0,0,2.6929698,0,0,2.3194773,0,0,3.0565903,0,2.128133,4.7543163,0,0,0,0,9.245949,0,0,2.6272254,2.3992715,6.1804347,11.845554,1.1606879,0,6.04952,0,2.1536977,6.701416,0,0.43673244,1.4754314,0,1.5191044,0.16654417,0,0,1.702297,0,1.1993183,0,0,0,0,0.043730654,0,0,0,0,0.6047201
10,0,1.7574377,0.04879574,0,0,1.3251576,1.5519068,0,0,0,0.4975038,1.6851823,0.74132365,0,0,0,0,0,3.8044221,10.497188,4.2499876,12.664799,0,2.8493965,0,0,0,0,0,0,0.46610996,0.29067218,0,0,0,0.7192519,0,0,0,0,0.29400152,0,0,0,0,0,0,0,0,0,1.6209341,0.503443,0,0.9322718,0.40319532,0
11,2.0331905,0,0,0,0,0.47423613,1.7361676,0,0,2.0839288,2.610378,0,0,1.5577548,0,6.956111,0,3.290005,0,1.9271978,4.403409,0.029025203,0,1.0891522,4.46884,0,0,0,0,0,0,0,0,0,1.1014936,0,0,1.5009574,4.456084,6.195196,0.6856709,5.8481684,2.9176514,0,0.30078784,0,1.1704627,0,0,2.3470755,0,2.077989,0,0,0.23861971,0.5321932
12,0,0,0,1.5917556,0,0,0,0,0,0,0,0.4079376,2.1167622,3.37098,0,0.65960217,1.8017033,3.2124813,0,0,1.9163344,3.5874057,0,0,0,0,0.6900189,0.87133014,0,0,0,0,5.021301,0,0,0,0.69026715,0.29686213,0.46829337,0,0,0.6031456,0,0.9880523,0.3460916,5.0446606,0,0.41294703,0,0,0.42135432,0,0,0.04584862,0.08851475,1.6856948
13,0,0,0.26312542,0.72714907,5.2263846,0,0,0,4.0862017,0,0,0,2.008117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0105512,2.2249315,0,0.25340226,4.043961,0,0.34879246,3.0977056,1.3753442,3.7162092,0,0,0,0,0,0,0,0.7293995,0,0,0,0,0,0,0,0,0,0.19525962
14,0,8.751587,0,4.350771,0,0.9442585,0.4191537,5.3105326,0,5.4190917,1.1471331,0,0.25896132,0.8435818,0,4.9508996,0,0,0,0,8.374773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.295849,8.658202,0,14.725846,2.9494228,0,1.2103932,0,0.34996504,0,0,0,0,3.5636058,5.89722,2.5990193,1.428364,0
15,7.8443832,0,0,2.480317,0,1.0655183,0,0,0.4982723,0.9151227,1.4040278,0.66277677,0.021426737,0.868813,0,3.647203,0,0,1.0113168,0,1.6708422,0,0,0,0,0,0,0,0,1.7759969,0,0,1.6044596,0,0,0,0,0,0,5.7973156,0,0,0,2.595625,0,0,0,0,8.328981,0,0,0.040382788,0,1.6838912,2.5989776,0
16,0,0,0.84282535,0,0.14885128,1.4060711,0.29094216,0,0.6816023,0,0,0,0,0,0,0,0,0,2.5754519,1.0099453,0,0,2.941931,0.6166321,4.545749,0,0,4.0547795,4.6994205,0,0,0.898863,0,0,0,1.3688128,0,0,0.2041126,0,0,0,0,0,0,0,4.042413,0,4.4162345,0.8853944,1.8937716,0.43513235,0,0,0,0
17,0.109819315,0,0,1.8306332,0,0,0.04554758,0,0.9963694,0,3.3615766,0,1.5929141,0,0,0,0,0,0,0,2.3728912,0,0,0,2.052554,0.13618235,1.8375008,0,0,0,0.2954935,0,2.889958,0,0,0,0,0,0.5180894,0.7707123,0,1.5694079,0,1.1470147,0,0,0,0,0,0,0.18813883,0,0,0.40988243,0,0.5147944
