roi,ROI,Classification,x,Y
0,0,1,78,319.2453988
1,1,,166.3067485,409.4478528
3,3,1,185,220
4,4,1,242.4159292,199.9557522
5,5,1,231.4295775,78.65492958
7,7,,450.9431818,281
8,8,,88,506
11,10,1,184,483
13,12,1,375,467
14,13,1,136,468
16,14,,270,421
26,18,1,314,319
21,17,1,132,352
29,20,,260,253
31,21,1,366,208
32,22,1,153,179
