roi,ROI,Classification,x,Y
70,50,1,128,115
59,44,1,29,209
42,32,1,78,310
64,47,,248,171
32,25,,265,364
1,1,1,214,414
22,20,,334,435
58,43,1,423,213
20,19,1,223,465
4,4,,397,456
3,3,,427,403
28,22,1,382,399
29,23,1,365,376
34,27,1,423,350
2,2,1,304,349
37,28,1,371,343
39,29,1,430,311
40,30,,376,311
41,31,1,288,311
43,33,1,341,302
46,34,,250,289
50,37,1,366,263
49,36,1,329,261
51,38,1,212,259
53,39,1,73,236
56,41,1,358,217
61,45,1,91,192
9,9,1,208.5,180.21875
78,53,,465,73
