x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1.6431028,1.0844389,1.2700031,0.76631695,1.7116798,0,0.5567882,0,0,0.41728047,0,1.7125679,2.1570745,0.14827766,5.5826263,1.406882,0.5459004,0,0.59403455,0.7773129,1.3634717,0,1.0803641,2.7157545,1.1627398,0,2.10362,0.6646126,0,0
2,0,0,4.413077,0,4.453669,0,0,0,0,3.6573331,0,1.0697452,0.6037569,0,1.2112887,0,0,0,0.47985703,0.21383542,0,2.1890023,3.2957284,0.3760622,0,0,6.4724064,3.665885,0.35620978,0.1768572,1.528334,0
3,3.3469455,5.75824,0,0,0,0.116258025,0,0,0,0.25031358,0,0,3.5824378,2.9651284,0,0.45613506,1.6041725,0.75406,0.22974952,1.7563646,3.2175915,0,0.6666787,0,0,8.530596,0,0,1.0548183,0.05849501,0,1.4306532
4,0,0,0.04867593,0,0,0.49028733,0,0,0,0.37686372,0,0.70892924,0,0,1.271462,0,0,0.7536563,0,1.083116,0.7713061,0.29739922,1.4014587,0,0.84296256,0,0,0,2.3682382,0.37699878,0,0.38318896
5,0,7.543897,0,1.8616396,0.5755466,0,0,0.70226216,0.42108387,0.071568675,0,0,0,0,0,1.9858081,0,0,0,0.12627566,0.47940293,1.7293065,1.9415873,0.6439849,0,0,1.0083171,0,0,1.35599,1.2003466,0
6,0,0,0.7823322,0,1.1892104,3.6526759,0,0.30530477,0,0.58573383,2.510732,0.03424273,0,0,0.21609987,0,0,0,0,0.4638848,0,0,0,0,1.1091261,0.56003374,0,0,0.5618758,0.251657,0,0
7,2.8516188,1.9699574,5.045923,0,0,0,0,0,1.7887915,0,0.09445502,1.1006958,4.528018,0,2.2303426,0,0,0,0,0,0.19034037,2.2675858,2.565678,0.35838884,0.7984905,0,0,4.026888,0,2.0627656,0.8318823,0
8,1.0171669,0,0,0.21455587,0.62477446,0,0,0,0.4284412,0,0,1.7357968,0,3.5586188,0,0.5421648,3.0286267,0,0.16025724,0,2.5868883,0,1.7665309,0.7879217,0,0,0,1.1194639,0,1.0938601,0,0.0869298
9,0,0,1.5687567,0,0,0,4.1490135,0,0,0.62648106,0,0.8845396,0,0,0,2.401253,0,0,0,0,0,0,0,0.4948443,5.5507507,0.7152708,0,0.38394445,0,0.0388583,0,0
10,0,7.252194,0,0,0,0,0,0,0,0.031180361,0,1.1970751,3.7058036,1.8287015,0,0,1.6021677,0,0,0.30318394,4.1236725,0,0.21745789,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0.75193316,0.46595737,0,0,0,0,0,0.112402976,0,0,4.431854,1.4192628,0,1.1976724,0,0,0,0,0,1.0295132,0,0,0,0,0.2984537,0
12,0,0,0,0.0460918,0,1.4131278,0,0,0,0,0,0.37197894,0,1.1011378,0,0,3.1787603,0,0,2.353091,0,0,0.28308287,0,0,3.6902459,2.2087831,0,0,0,0.44658962,0
13,0,0,0.7469149,0.18380626,0,2.1364775,0.57658154,0.24573103,0,0.85297567,1.4162219,0.80261934,0,1.0196588,0,0,0,0.6187421,0.22825177,0,0,0,1.9212966,2.2071345,0,0,0,0,0,0,0,0
14,0.43505803,0,0,0.088760816,0.48609862,0,1.8179754,0,0,0.3373406,0,0,1.5098021,0,0.2943517,0,6.4876704,0,0.7521903,0.8526719,6.500043,2.7490454,0.6165085,2.575598,0,1.106549,1.1798271,0,1.9201277,0,0,0
