roi,ROI,Classification,x,Y
9,9,1,208,85
8,8,,145,131
3,3,,322,217.3098592
31,26,1,411,244
17,16,,133,428
18,17,,316,412
0,0,,187.2666667,404
19,18,,273,403
20,19,,108,393
21,20,,134,393
11,11,1,350,385
24,21,1,247,379
25,22,,128,314
29,24,,89,249
30,25,,214,247
5,5,,397,176
36,29,,241,117
