roi,ROI,Classification,x,Y
10,10,1,87.9453125,133
14,14,1,296.9175258,267.7216495
16,16,,384.2540541,299.5945946
22,21,,270,492
4,4,,198.3741497,412.292517
35,27,,179,354
2,2,1,166,503
17,17,,259,374
5,5,,116.6704545,504.5
26,23,,262,449
29,25,,432,398
18,18,1,314,394.3098592
30,26,1,147,393
36,28,1,199,320
40,29,,52,295
42,31,,31,240
43,32,1,189,236
15,15,,336,235
46,33,,357,197
47,34,,283,181
48,35,,70,178
53,37,,222,75
