x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049
382,0,0.99721533,3.4957614,0,0,0,1.896571,1.6564606,0,0,7.1275916,6.726114,5.152862,4.081028,2.8791869,4.373937,0,2.1922576,5.2433662,0,0,0,1.6591724,0,5.7065244,7.162337,0.81116515,0,0,1.051219,0,0,0,9.334463,0,0,0,0,0,0.43025395,0,2.1077492,0,0.08489203,0,6.4184685,2.7668517,0,0,3.1319578
383,0.7393203,0,1.5573643,0,1.5442735,10.254014,0.46720496,0.49215895,2.4651756,0,4.570182,2.6088717,0,2.9841657,0,3.4493668,0.6872157,6.927103,2.3804352,0,5.897833,0,0,9.453642,0,5.0906878,3.448694,0,0.18626368,1.9266768,1.18613,0,0,15.627123,0,0,0,0,0,0,0,0,0,0,0,1.2305189,4.591812,0,0,0
384,3.2286859,0,0,0,0,1.3688647,0,0.03041448,0,0,12.148531,3.075132,1.099439,0,4.0492373,0,0,1.9130356,0.13100933,0,0,0,0.045372706,2.3698802,6.691631,3.1184232,2.77074,0,0,1.4887993,0,0,0,0,1.036508,0,2.6612437,0,1.0556135,0,0,2.3366578,0,2.697827,0,0,0,18.973085,0,0
385,0,2.433509,0.5305141,0,2.1437633,0,1.656037,0,0.9315907,0.69947565,0,0,0,0,9.106461,0,5.6022053,0,0,8.90179,0,11.071701,0.2449221,0,16.48634,0,0,0.12756097,1.1847278,0,0,10.553606,0,8.201096,0,1.3502499,0,0.4393351,0,0.38884994,0,0,0,2.5800827,0,0,0,1.032368,0,1.122784
386,3.7733262,0,0,0,0,3.721956,0,0.7136285,1.3330343,0.21933542,2.7418292,0,0,0,0,0,0,0,0,0,5.360047,0,0,0.9853751,1.9706774,1.466195,0,0,0,0,0.46353406,3.225733,0,0.64923227,0,0,0,0,0,0.88000613,0,0,0,0,0,4.2826304,0,0,0,0
387,0,0,0,0.59113586,0,0,5.787777,0,0,0,0,0,0,0,0,0,0.90431416,0.08466212,0,0.8374189,5.498179,0,0,0,0,8.809532,0,7.0679975,2.5329142,0,0,14.371344,4.503612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4662127
388,0,3.9402964,0,5.2120314,0,1.342261,0,0,2.2316153,0.94066364,0,0,0,0,0,0,2.864341,0,0,21.831373,0,10.920914,7.2920265,0,6.009194,0,0,0,5.500848,0,0,7.025744,20.220348,0,3.6220076,0.05114794,3.9771042,0.8004562,2.7644916,2.232261,4.5640597,0,15.496516,0,2.1219516,0,0,0,1.1301104,0
389,0,0,0,4.927928,0,0,0,0,2.5117664,2.25542,0,0,0,0,0,0,5.415903,0,0,16.569319,0,0,0,0,0,0,0,0,0,0,0.4487978,35.924957,2.09532,0,2.8643255,10.62885,6.8699007,5.611685,2.1982079,0,0,0,17.176039,0,20.026176,0,0,0,1.8006607,0
390,0,0.95701146,1.428142,3.6088617,0,0,0,0,0,2.8478577,0,0,0,0,5.7568183,0,5.9708495,0,0,15.424527,0,7.280788,0,0,0.860376,0,0,4.915503,1.8683658,0,0,12.056831,4.2784653,0,0,0,4.8431535,2.628424,0,3.80547,1.5991614,0,9.047882,0,20.97722,0,0,0,0.62291247,0.72810245
391,0,1.334529,0.39509875,0,0,2.5486543,0,0.5842823,0,0,0,0.05421912,0,0,0,0,0.12730178,0,0,0,10.539151,0,0,0,0,0,0,0,0,1.6707015,0,0,0,0,0,0,2.88408,4.1449146,2.9467573,0,5.887924,0,3.4853983,0,0.9123849,0,0,0,3.1637545,0
392,0,0.5893005,0,4.1496334,0,0,0,0,0,7.601482,0,0,0,0,9.229218,0,6.6299663,0,0,20.377953,0,1.7626253,2.8606052,0,8.826114,0,0,2.9997623,0,0,0,13.667699,2.6819024,0,1.968017,3.2294319,1.3886167,1.466316,3.1664689,0,0.2987123,0,4.4468904,1.032656,0,5.8853607,0,0,0,0
393,0,0.8960883,0.21585767,0.88076913,0,0,0.5939812,0.4633827,0,0,0,0,0,0.31433165,0,0,4.5189023,0,0,0,0,23.33774,4.7518716,0,1.1270348,0,0,0,0.6332718,0.37322742,0,0,3.8881607,0,0.9280917,1.4547044,1.4520465,0.75871164,0,0,1.0824035,5.015226,1.2881985,3.0526605,0,0,1.6539143,4.7617745,0,0
