x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049
1014,0,0,0.8366868,0,4.5693936,0,1.193644,0,0,0,2.9643168,1.5833199,0,0,3.7030997,0.964637,0,0,6.4428654,6.157017,0.0377042,10.920865,0.67164,2.656167,2.0742471,5.1928687,0,0.8328473,0,0,3.6844084,0,0,3.7496638,0.20180494,0,0.7502377,3.2362432,2.6908522,0,0,0,0,1.4104037,1.1517448,1.9078805,0,1.1263589,0,0
1015,0,0,0,4.812605,0,0,1.8422114,0.07207992,0,5.74994,5.5817404,0.026887506,0.18095587,9.763751,4.825395,1.788491,11.534126,1.9210314,2.785538,0,2.2651997,10.894584,0,2.5146499,0,0,0,0,0,0,0,2.124587,0,3.3320203,0,0,0,1.1416091,0,0,0,0,0.000656158,2.5307617,1.2644742,1.4861925,0,0,0,0
1016,0,0,3.605874,0,0,3.368315,0.7495531,0,1.8705009,0,12.181715,0.7297369,0.64623183,0,1.7647443,8.997284,0,3.8073413,0,0,0,7.042479,0,6.5030885,0,0,0,0,0,0.50996786,0,0,7.724674,0.3911363,0,0,4.109972,0,0,2.087026,0,2.8929224,0,10.778254,0,0,0,0.5114271,7.233281,0
1017,1.9509676,0,0.072095215,0,0,0,0,0,1.4660001,0,0,2.4248853,2.2401843,5.241883,0,3.7190738,5.3166375,1.5867127,0,0,0,9.068601,3.5219104,0,1.5941925,0.36000556,1.3305634,0,0,0,0,0.1281495,0,0,0,0,0,0,2.4999108,0,0.39601472,0,0,0,0,0,4.0318713,1.805346,2.406145,1.9005105
1018,2.495649,0,0,1.0123845,3.8819664,2.4744158,0,0,0,0,0,0,0,18.69191,3.4401653,0,5.1501584,10.121228,5.7446747,0,0,0,7.1925793,1.600354,0,0.20096834,0,0,2.606242,2.5207372,1.4853524,0,0,1.2313448,0,5.385786,0.002970401,0,0.0563232,0,0,2.8297527,0,0,0,1.4086472,0,0,0,0.44797406
1019,0.8700698,0,0,2.2243893,0,1.7974825,0,0,0,0,0.89628834,2.55485,2.7412145,8.242668,0,0,0,2.150078,0,5.6503673,0,0,0.22536042,0,6.1617417,0,11.698243,0,1.9133081,0.4446167,0,0,3.3643646,0,0.83488715,0,2.791326,0,0,0,0,0,0.59959453,0,1.9556066,0,0,0.9773254,5.954479,0
1020,0,2.3827686,0,0,0,1.7181463,0,0,0,0.001125125,0,0,1.2935833,0,3.9584446,0.13854338,6.6224785,3.2244673,1.1276903,0.20833719,0,0,0,0,0,0,0,0,1.5019348,0,0,0,1.2487814,3.69238,2.9014766,14.810989,0,0.6149774,0,0,0,12.85576,0,3.2487705,0,0,2.0449927,2.519186,0,1.63227
1021,0.82952666,0.19886306,0,0,0,0,0,0,1.8079711,6.039341,0,0,0,0,2.2817254,0.08219981,1.191208,0,0,0,0.7041934,0,6.4242473,0,0,0,0,3.7475934,0,0,3.517741,0,4.5737295,0,0,1.1272887,0,0.050645962,0,0,5.863025,0,0,0,12.784023,0,4.281208,0,0,2.1804001
1022,0,0,1.3567213,0,2.255581,0,0,0.7776681,0,1.4306356,0,1.682442,0.9584036,0,0,0,0,0,0,13.388231,0,0,2.7641635,0,0,0.6959284,0,1.1308055,0.4386327,0,0,0,6.254163,1.6209649,1.4930391,5.265872,0,0,0,0,0,16.380297,1.6973144,10.033418,0,0,0,0,0.8540636,0
1023,0.39463568,0,0.2612761,0,5.116287,0,0,0,0,2.8072164,0,2.446931,0,0,0,0.40346247,0,0,0,9.658779,0,0,0,3.116462,0,1.3313216,19.467419,0.51607186,0,0,3.4095626,0,0,0,0,9.34826,0,0,0,0,0.82206845,0,1.4348881,0.80311847,11.136566,2.4119892,0,1.6287143,0,0
1024,0,0.9992395,0,0.5671348,0,0,5.0108323,1.6790189,1.1936622,2.9567206,8.151862,3.0318677,0,0,0,0,6.960006,0.4464224,1.7812431,0,0,0,3.434992,0.5151406,1.2797742,0,0,3.0800912,0,0,0,0,0,0,0,1.5923119,0,0,0,0,0.7904849,1.3260975,0,0,0,0,0,2.0616848,0,4.8283796
1025,0,0,0,0,0,0,0,1.0315192,0,0,7.1799426,0.0111164,2.6637864,0,0,2.9738188,0,0,0,8.548847,7.8744907,0,0.6365428,0,0,0,0,0.93102664,0,0,0,0,0,0,0,0,0,0,0,1.149613,5.744533,0,0.701117,0,0.14872837,0,0,0,3.9793751,2.532014
