x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035
22,0,0.474618,0,0.7614672,2.2261333,0,0,0,0,0,0,0,0,0,0,0.43766046,0,0,0,0.13382606,1.0052905,3.0329804,0,0,0,0,0,0.31597418,0,2.4269571,0,0,0,1.9261676,0,0
23,2.7123225,0.37874305,0,0,0,0.06351674,0,0,0.91653687,1.5394986,1.9852018,0,0.63158983,0,0,16.604855,0,0,1.0002967,0,0,0,0,0,3.782509,1.4375627,1.6937002,1.1301091,0,0,0,7.2714357,0,2.179483,4.0863953,0.44563353
24,2.652141,0,0.3375236,0,0.5289265,0.20477119,0.4314697,0.66444707,0,0,0,0,0,0,0,0,3.8208833,2.9970963,2.2916327,1.6787761,0,0,0,0.26165476,0,0,0,0,0.33984867,0,0.98788875,0,1.3522875,3.5059133,0,0
25,0,1.4038854,0,0,6.2010627,0,0,0,0.5270934,0.20754434,0,0,0,0,1.0139335,0,0,0,0,1.3938652,0.41554138,0,0,5.9943447,0,1.0440294,0,3.160313,1.5212636,0.83037937,0,0,0,2.0859427,0,0.14872693
26,2.5296783,0,0,0,0,0,0,0,0.3603055,0,0,0,1.9253204,0,0.48973104,10.695613,0,1.0505043,1.8442999,0,0,0,0,1.1551158,0.7585079,0,0.3266467,0,0,2.3090599,1.6001356,0,0.08244013,0.023582716,0,0
27,0,2.8893251,0,0,3.3291929,0,0.72292954,5.588031,1.3262408,1.2973968,0,3.508882,0,0.9691187,1.784655,0,5.807274,0,0,3.2278218,0,7.297404,2.7835605,4.601797,0,0,0,0,2.5008972,0,1.372867,0,0,2.633254,1.2236263,0.42239538
28,0,0.15190558,1.6254562,0,0.10162703,0,3.906532,0.6997089,0,0.110867694,0,0.9308063,0,6.229192,0,0,0,0,0,3.3651695,0.27986872,1.9260064,0,0,0,0,0.11699604,0,0,0.55584794,0,0,3.1451292,3.5845797,0.46804103,0
29,0,0,0,0.37551513,0,0,0,0,2.100123,0,0.31496358,0,0,0,0,7.6741633,3.469433,0,0,0,1.0804305,0,0,1.8842292,0,0.21007918,0,0,0,0,0,0.9357036,0,0,0,1.3169613
30,0,0,0,0.3219421,0,0,0,0,0,0,4.6712008,0,1.6156985,4.6037946,1.8325099,2.794735,0,1.7100295,3.0842519,0,0,0,0,0,3.564697,0,0.8972749,2.5944135,5.8559756,0.025703738,0.26885295,0,1.223332,0,0.001593102,0
31,0,0,0,1.5468091,1.8819216,0,0,0,1.8180933,0,0.31684965,0,2.5899892,2.9952748,3.2163196,1.8489031,0,0,1.5987408,0,0.19293255,0,0,0.20249361,0,0,1.2827245,0,0,0.20576821,0,2.4118261,0,0,0,0
