roi,ROI,Classification,x,Y
10,10,,48,111
12,12,,242,195.8901099
5,5,1,288.5,175.2615385
17,15,,315,466
23,19,,328,329
26,21,,346,259
30,24,1,163,222
31,25,1,121,210
33,26,,371,196
34,27,,422,186
6,6,,275.4235294,82.5
39,28,1,163,68
41,30,1,116,41
7,7,,228.6625,36.0375
43,32,1,91,17
