x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050
545,0.5853899,0,3.0409653,0,0,0,5.2541165,0,0,0,0.23657379,0,0,7.5690975,0,0,0,4.7744036,0,5.466306,3.631646,13.242304,0,0,0,0,0,2.0133307,0.3338117,2.214417,0.38984013,3.4295182,0.77581257,3.5574086,0,0,0,0,0,0,0,0,3.1450944,0.82292086,2.1918368,0,0,0,0,0.5573131,3.772242
546,0,5.696995,0,0,0,0,0,1.0383267,0,0,0,0.14625804,0,0.9857307,0,0,7.5506425,3.305051,0,0,3.41617,0,1.0205109,0,1.8105047,6.3208094,1.9838634,10.781643,6.330845,0,0,0.060346033,6.956577,0,0,0,0,0,0,1.7848681,0,3.682584,0.20269026,0,3.7203405,0,0.787182,0,1.0914496,0.43148082,2.2341757
547,0.66702664,0,0,0,0,0,0,0.39138982,1.180455,2.926854,3.5604866,7.3129187,0,0,0,6.5302105,11.519834,0,0,0,1.7117726,0.33787146,0.8136637,0,2.7903738,0,0,6.47441,0,0.197981,0.43056157,0.1397451,0,0.24097991,0,0.7093762,0,0,0,3.0621588,0,1.3521787,4.028609,0,0,1.2202529,3.4167602,17.819801,0,0,0
548,0,2.345374,1.9153163,1.2871944,2.0505514,0,4.1747646,5.776673,0.001607695,0,4.1367264,1.6600372,0,9.449913,1.7442892,0,0,0,0,0,0,0.33947432,1.2371918,0,0.27375922,0.901679,0.51284254,3.7180753,0.9472597,1.1714545,2.8685172,0.3118276,3.0411136,0,0,0,0.0740223,0,0,0,0.56427974,1.3232834,0,0,0,0.549127,0,0,3.1152337,0,2.6558335
549,0,0,3.8839154,4.127427,0,0,0,0,0,0,0,2.5189939,3.041805,1.9251497,0,0,0,0,0,0,0.5921099,0,0.2700263,0,1.3079302,1.3692977,0,4.572338,0,1.1736335,0,3.6012514,0,1.4962212,0,0,0,0,0,0,13.997066,0.7321124,7.0228586,2.9095607,0.38809106,0,1.8409264,4.404303,0,0.5857997,0.5203727
550,3.447788,0,2.941768,0,0.5012679,0,0,0,2.8198268,0.24991983,1.7690785,0,0.3741028,0,4.2154284,3.0625212,0,8.975565,1.449138,5.184771,2.9755137,0.42141297,1.7837677,0.9054406,1.2663258,1.6345228,0,3.1099772,0,0,2.6452067,0,0,0,0,3.0417657,0.9909141,0.8818933,0,1.9709389,5.4782066,1.6653454,0,1.3148557,2.7837284,0,0,0,8.381016,0,0.8626604
551,0,0,0,0,0.6932757,0,0,0,1.3181064,0,0,0,0.4972176,2.398475,0,0,0,0,0,8.079051,2.8738303,6.678034,0,0,0.59297657,2.9132707,1.4813609,1.0346723,8.901579,0.9930391,0.60215235,0,9.127431,1.9949418,0.9882435,2.0800736,0,0,2.0108051,0.0851496,0,2.5204396,2.3037214,0,0,0,1.5983751,0,0.2140414,0,1.4786049
552,0.55473137,0,0,0,3.2017522,0,7.238712,0,0.40811604,0,0,0,1.4358552,5.3369966,0,0,0,0.9518574,0.3105898,0,2.4455552,0,1.6609046,0,0,0,0,0,0,0,0.32643262,5.9229875,0,2.2292461,0.031740293,0,0,1.434671,0,1.9534107,1.5742406,1.8148727,0,0,0,4.074215,0,0,2.0403318,0,0
553,0,0,0,0,0,0,0,0,1.218491,4.0515575,0,0,0,0,0,0,0.6432766,0,2.9046767,0,1.3863187,0,0,0.19807622,0,0.98735374,0,10.0593405,0,0.9899363,0.15365918,0,0,0,0,2.9507086,0,0,4.796274,0,0.5184575,0,0,2.716027,1.180406,0,0,0,4.3245287,0.30868277,0
554,0.20116858,0,2.8595357,0,0,0,0,0,5.32048,0,0,0,0,0,4.7892942,0,10.924809,0,5.3794065,0,0,0,0,4.6536303,5.956633,0.33572415,0,0,0,0.21506096,0,0,0,0,5.7735267,3.9936423,8.352273,1.8542223,4.200966,0,0,0,0,2.759036,0,0,4.2823668,0,0,1.0128145,0
555,18.979517,4.781863,6.5120516,8.395025,3.426522,0,0.28177187,0.2629803,0,0,8.282924,0,0,0,14.016537,0,13.066604,0,2.6424468,0,0,0,0,0,0,0,0,0,0,0.34856805,0,0,0,0,0,0,0,0,0,2.691553,11.245361,0,0,0,7.5349717,0,0,0,0,0,0
556,3.2935817,6.515416,2.3216329,4.698321,0,2.674231,1.9152082,0,0,1.9923818,2.149883,5.5600924,3.7295196,0,11.349538,0,0,0,2.7488008,0,0,0,0,2.5177634,1.6299367,0.19319664,0,0,0,7.8770814,0,0,0,0,5.5608764,0.58423513,9.621299,0,0,0,0,0,0,3.0317464,0,0,4.2738066,28.580715,13.927512,0,0
557,2.7308714,0,0.42938998,0,0,3.255027,0,8.505894,4.146232,8.687847,0,0,0,0,0.7873719,2.176977,19.386879,0,4.8862596,1.5276632,0,0,0,9.519373,0.318774,0.777942,0,0,0,0,0,2.142161,0,1.3888187,2.9421604,2.1463575,1.450589,0,0,0,0,0,0.8595879,3.2811496,0,1.1684129,0,0,0,0,0
558,4.844558,1.0117425,0,0,0,6.480798,0,0,3.6222422,0,3.7707803,0,1.9618202,0,6.7379355,0.7173518,7.4671807,0,5.29158,0,0,0,0.640105,1.2804463,0,3.7080424,0,0,0,3.8528142,0,0,0,0,2.0779016,2.340272,5.247841,0,0,0,0,0,0,1.8190503,0,0,1.4450686,7.2664003,0,1.7890277,0
559,3.5477548,0,0,4.95624,0,4.455863,0,0,1.1191937,0,0,0,6.0726275,0,3.538798,0,4.1723866,0,5.307037,0,0.97582483,0,0.5266095,1.5905559,2.5608659,0,0,0,0,2.172048,0,3.779396,0,4.2800174,11.69697,5.947641,15.49082,0,0,0,0,0,0,0,0,0,6.820644,0,0,0,2.8491893
560,0,0,0,0,0,0,0,0,1.3217645,0,0,15.946367,0,0,0,2.5085452,0,14.714347,0,22.117638,0,20.570549,0,0,0,0,5.974644,0,7.4015226,0.3155241,0,0,2.2573617,1.6998714,0,0,0,1.6409632,3.428538,0,0.37209326,0.78704447,6.089455,0,0,0,0.753812,0,4.0335183,2.9284294,2.9730039
561,0,0,0,0,0,0,0,4.45734,0,2.9504445,0,0,5.3105626,2.3757274,0,2.562406,0,0,1.4183043,0,5.520143,0,0,2.8265028,0,6.9419513,0,20.92789,7.0066547,0.21318334,0.85954607,2.486507,0,0,0,0,0,0.62363124,3.2032738,0.6938331,0,0.9842859,5.5548205,0,0,1.2139231,0,7.9149337,0,0,0.80080646
562,0,0,2.0145125,0,0.014370918,0,0.71387786,2.115719,0,2.0421412,0,0,0,0,0,0,3.0953987,0,0,0,0.06961062,0,1.4968307,0,0,2.7713056,1.5528998,0,0,0,5.849578,0.6755493,0,7.451094,0,0.23313135,0,0,3.4999614,0,0,0,0,2.801841,0,1.5585363,0,7.5682964,3.4186485,0,0
563,0,0,0.8436436,0,0,0,0,2.9254575,0,1.3200401,0,8.655632,0,2.0409822,1.4812152,0,11.797571,0,0.33145744,3.88272,3.5326653,0,0,3.718082,4.2152276,0,0,0,0,1.981218,1.0289521,0.62490517,1.7338115,2.331301,0.98107964,0,0,1.680214,0,0.109254785,11.450358,0.8819311,2.9243526,0,0,0.28212905,0.14253548,5.6422553,6.5136266,0,3.979406
564,0,0,0,0,0.42537335,0,0,0,3.2465158,0,0,0,4.6282825,0,0,0,0.98873013,0,4.3568845,2.9181852,0,0,2.6013281,0.3726245,0,3.5169027,0,0.8429278,1.430971,0,0,0,0.21241263,0,0,2.4821024,0,0,0,2.1967773,0,0,8.021419,1.5319031,3.081845,5.8322062,0.27785584,12.218765,0,2.7873902,0
565,0,0,0,0,0.013104792,0,1.6489453,0,0,0,0,0,0.8247122,0.018775478,0,5.908555,0,1.7546391,1.7971247,0,1.5624124,2.3317342,0,4.211552,1.5662899,0.35954532,0,0,0,4.890697,1.286141,0.49494958,0,0,0,1.6079636,0,0,14.118443,1.2145808,0.011661125,0,0.96069086,1.9806925,0,0,0,17.978834,0,0,1.2656451
566,0,0,0,0,0,2.3716285,0,0,0,0,0,0,0,0.4573796,0,5.157169,0,14.24965,0,6.0114045,0,10.558279,0,0,0,1.378807,3.0329957,0.52344906,9.486145,0,1.0539576,2.8616302,4.4753323,0,0,0,0,1.6466523,0,0,0.7481266,0,10.510765,0,3.77335,0,2.8845885,4.01251,0,0,1.5965736
567,1.3663565,0.33069533,0,2.92702,0,0,0,6.4195204,1.9827445,1.7626538,0,5.272769,1.901883,0,0,0,0.15804909,4.176341,1.9701811,0,3.4210508,0,0,0,0.14378087,0.25144833,1.1538945,18.142872,0,1.515829,0,1.3994769,0.7904697,0.2877967,0,0,0,0,0,0,0,0,6.8526363,0,0.10139296,0.11337153,0,22.321823,4.265404,0,3.5519092
568,0,0,0,0,0,0,0,0,0.66197187,0,0,1.9721239,6.2555656,0.40147996,0,0,0.64047396,0,0,0,1.0289642,0,0,2.5227206,1.6758231,1.9716691,0,0,0,0,0,1.8166718,0.18929763,1.7311194,2.303097,0,0,0,7.2410893,1.3727361,0,0,0.4264386,0,0,1.7669594,0,1.464351,0,0,0
569,0.5672116,0.45699283,3.4644308,0.7579223,0,0.511602,2.6332097,0.016903387,3.924306,0.8513995,4.743734,8.0411415,0.77233976,0,1.5417479,0,0.069759406,0,0,0,1.4138455,0,0.61268175,0,0,0,0,15.609538,0,0.33698353,0,5.6978574,0,5.3411217,0,1.7685153,0,0,0,0,0,0,0,1.646808,0,0,0.42093915,7.758023,2.429695,0,0
570,2.141882,0,2.8110642,0.47112116,0.3219305,0,0,1.9359578,0,0,0,1.177022,0,4.1030354,1.7194947,0,8.78722,2.3790767,3.4762166,0,0,0,0.36738664,0,0.03594059,0,0,0,0,0.2507085,1.0147045,0,0,0,1.9013803,0,0,0,2.6303406,0,5.2550573,2.8621418,0,0,0,0,0,0,0.818999,0,0
571,0,0,0,0,0.05836046,1.7626483,1.2282706,0,0,0,8.672819,0,2.66574,1.4167777,0,0,0,0,2.5292225,0,0,0,0,0.6696962,0.83796144,0,0,0,0,0,4.1774697,0.93138677,2.1650643,0,0,3.054074,0,0,4.193253,0.89226377,0,0,0,0,0,0,0,0,0,0,0
