x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022
38,0,0.90371895,0.5848178,0.39296424,3.9363694,0.26722258,0,7.148177,3.9727528,0.64372337,1.9712532,1.5138547,0.8418413,0,0,0,0.2354877,0.6812082,3.1564538,0,1.0944872,1.1791408,0.5440625
39,0.5807792,0,0,0,0.56516576,0,0,0.8606544,6.963025,1.2631526,0,0,0.40162882,0,0,1.0061804,0,0,0,0,5.6436443,0.68902034,3.4231884
40,1.3373836,0.18708959,1.0135454,2.414645,0.82271665,0,0.28786284,9.264214,9.64917,1.0089291,1.2744012,1.1429805,0.9684228,0,0,1.1957022,0.38634002,0,2.2823594,0,1.776964,0,0
41,2.8044443,0,0,0.2124511,1.7655535,0,0,4.9456444,0,0,3.3868535,0,1.7535422,0,1.1281271,0,1.9961067,1.735707,0,5.4398246,0,0.93099165,2.9716213
42,0,0.024116242,0,1.6961384,0.7514923,0,0,7.9810157,0,0,0.40406647,2.627669,0,0,3.49225,0.46488553,0.6134158,0,1.0942987,0,2.2870297,0,0
43,0,0,0,0,0.58737564,0,0.8213249,0.62289613,0,0,0,1.1708806,1.8047374,1.4922454,0.25699198,0.7149688,0,0,5.1821637,0,0,0,0
44,0.8156099,0,1.4679695,1.3285831,0,0.67132,0,2.652434,0,0.3012219,0,0,0.26776657,0,4.3043036,0,0.035592183,0,0.5793771,0,2.5108948,0,3.5230813
45,1.779795,0,0.8644559,0,0,0,0.45310813,0.8421695,5.399062,1.9507351,0,0.7492159,4.22548,0,0,0.704928,0.77465403,0,0,0.54202497,1.6787177,0.14875193,2.4456115
46,1.2479686,0,0,1.2767948,0,1.5879272,0.11255975,5.296803,0.4091604,1.0964584,1.0694811,0,3.0756469,0,0,0,0,3.0017016,8.53056,0,0,0.21053573,0
47,0,0,0,0.9761197,0.033448026,0,0,0.32257676,0,0,0.12857787,0,3.9713035,0,0,0,0,0,2.8259895,0,1.5947597,0.5129437,0
48,0.33551115,0.22612314,0,0.21786565,0,0,1.4996862,4.1285725,0.91198653,0,0,0,0.11093993,1.1691663,0.89119315,0,0,0,0,0,0.051514696,0,0
49,1.8195311,0.5921952,1.7410833,0,0,0,0,0,0,0,2.0310235,0,1.2116562,0.59036154,0,0,0,0,0,0,0,0,5.3796396
50,0,0,0.79047924,0.33372498,0.4830988,0.86199427,0.14348997,1.1074743,0.028199488,0,0,0,1.5796716,0,0,0.91338927,1.684506,2.6414535,0,0.033688877,0,0,3.531948
51,0,0,0.31925136,1.9814005,0,0,0.47665527,3.662898,0,0,0,0,2.6206172,1.5520413,0,0,0,0,0,0,4.767732,1.3701825,0
52,1.3437063,0,0.57265896,0,0,0.11675137,0,1.7709968,0,0,0,0,0,0,0,0.76100224,0.47523585,0,0,0,0.41181567,0,1.3969402
53,1.0334135,0,0,0.5820687,0,1.6993237,0,6.74753,0,0.42630604,0,0.33924365,2.2748847,0,4.091816,0,1.5075845,1.2246777,0,0,0.18675925,2.8596954,0
