x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022
37,0,0,0,0.48641744,0,0,3.9600058,0,0,0.49472433,0,0,0,0.20528756,0,0.8139627,0,0,0,0,0,0,0
38,0.43335164,0,0,0,1.0945268,0,0,2.3193562,1.0598106,0.07119303,0,0.1568882,0,1.7677546,0,0,0,0,0,0,0,0,0
39,0.8152787,0,0,0,0.41773653,0,0,0,0,1.6208295,0,0.64658064,0.9171466,0.23349406,0,1.3960173,0,0.16834332,0,0,1.9083645,1.9668652,0
40,0,3.6487718,2.986862,0,0.19264553,1.4474008,5.5301557,0,0,0.0682547,3.9611607,0,0.15181956,0,0,1.2604958,7.8743253,0.22708862,0.21242784,1.4322226,0.4433044,6.529903,0
41,1.382953,0,0,0.87221533,0,0,0.37488788,1.0107232,0.4692346,0,0,0,0,0,0,0,0,0,0,5.5637255,1.4923197,0,1.9207758
42,5.8741317,0,0,0,0,0,4.512262,0,0,2.890707,0.7638402,0,1.8075874,1.6065466,0,0.75093913,13.21079,0,2.868224,10.156823,0,0,0
43,0,14.098428,0,1.318915,0.08627516,1.316954,0,2.440808,0,0.25558433,0,0,0,0,0.6524961,0.09004339,2.7953458,0,2.4934418,0,0,1.8672378,0
44,0.6768194,4.7720275,3.7588959,0,0.000982971,0.9043373,0,0,0,1.6342204,0,0,0,0,1.192064,0,0,0,0,0.10159642,2.06296,0,4.4096527
45,0,0,0,0,0,2.165996,0,0,0.66220516,0.77620333,0,0.49878454,2.558892,0,0,0,0,0.5695617,1.3291755,0,0.50832516,0,0
46,0,0.63683087,4.353007,0,0,0,3.1883166,0,0,0,1.1907828,0,0,0,3.4019094,0.13961893,0,0,0.41891152,1.4425967,0,0,0
47,1.7726655,0,0,6.2516003,0,0,0,0.9023602,0,1.0165915,0,0,0,0,0,0,0,0.7968424,0,0,2.1110759,6.249829,0
48,0,2.8662987,6.1470113,0,0.8676147,0.28031212,1.8489914,1.5475512,1.3634936,0,0,0,0,0,0,3.5767994,7.1850376,0,1.1213753,0,1.7551471,0,0
49,1.2124351,0,1.6541792,0,0.5400653,5.9290614,0.1987375,0,0.08026576,0.04130496,0,0,2.809995,1.9606776,0,0,0,2.1056566,0.53492445,0,0.6410602,0,0
50,0,0,0,0,1.3478978,0,1.8008237,1.7049915,0,0.123545334,0,1.2557361,0,0,0.35696283,0,0,0.9226752,0,0.87171185,0.11712401,0.6345254,0
51,0,0,0,4.053028,0.38604403,0.44024974,0,0.94389266,0.16548978,0.67228514,0,0,0,0.57956004,0,1.6699975,14.071214,0.30132905,0.009157482,0.10146432,0,0.578324,0
52,0.15616176,0,0,0.44100744,0,0,0,1.279076,0,0,3.0588887,1.5203707,0.65405184,0.95461285,0.31972712,0,0,1.1398083,0.38413885,4.5211544,3.5026946,6.065289,0
53,0,2.0545874,0,0,0.4005003,2.032387,0,0.47711045,0.59959817,0,4.499,0,0,0.7881483,2.3468199,0,0,0,1.3464173,0,0.91807,0,9.6462345
54,0,0,0,5.7264,0,0.8864742,0,0,0,0,0,0,0,0,0,0.38955912,6.03724,0,0.051137432,0,0,5.059504,1.9187648
55,0,2.8560388,1.8448519,0,0,0.63868845,1.3051084,0,1.4394352,0,2.8480484,0,0,0,0.6061283,0,0,1.4284965,0,0,0,0,0
56,0,0,3.179136,0,0.8603752,0,0,0.11692662,0,0,0,0,0.23162308,0,0,0.80187213,0,0,0,0,0,0,0
57,0.6718358,0,0,0,0,0,0,1.4845457,0,0,0,0,0.81489426,0,0,0,0,0,0.3309396,0,0,0,0
58,0,5.7100697,3.5760498,6.1171265,0,0,4.6411924,0,0,0,3.0545313,0.972793,0,2.5161388,0,0.24955706,5.216448,0,1.8661251,2.1512249,0.1154988,0,0
59,0,0,1.111474,0,0,0,0.7385363,1.587194,0,0,0.6117618,0,0,0,0,0,0,0.18622272,0.26376256,0,0.5136917,1.8073953,0
60,1.622684,0,0,3.487916,0,1.489854,1.903943,0,0.5693811,0,0.1961982,0,0,0,0,0.46907684,0,0,0,0,0.6555265,0,0
61,0,0,0,0,3.0154445,0.7580111,0,0,0,0,6.8211803,0,0,0,2.1061668,0.10400961,0,0,0,5.466602,0,2.8329177,7.5735846
62,0.5890147,9.223279,0,2.954154,1.6672287,3.1818688,0,0.17478782,0,1.1115153,0,1.405196,0,0.32167575,0,0,4.2858925,0,0,1.3456497,0,0.6445429,4.8890247
63,0,4.7595506,6.9572496,1.5798537,0,0.6246794,2.6472886,1.5299897,1.2832243,0.5380732,0,0.43508512,0.80169255,0.3241397,0.25788438,0,0,0,0.47302276,7.6560187,0,0,9.328366
64,0,0,0,0.9712118,0,2.2479155,0.8771546,0,0.20295028,0,0,0,0.90456814,0,0,0,0,1.6922827,0,0,0,0,2.9935079
65,0,0,0.43489337,0.9062421,0,0,0,1.4352751,0.479166,0,0,0,0,0.3954232,0,0.9190788,0,0,0.67642236,0,0,0,0
66,0.517386,0,0.6586732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2867795,0,0,0,0
67,0,7.7053266,0,0.726004,0,0,0,0,2.905174,0.27991167,0.42452332,1.8379275,0,0.28631103,0,0,4.984709,0,1.1805756,0,0.5010625,0,0
68,0,6.8813925,0,0,0,0.90644747,0,0,0.20932938,1.5974047,3.4386942,0,0,0,0.662897,1.3908027,1.222963,0,0,0.8373597,0.38021907,0,0.8449565
69,2.4155643,0,0,0,1.3024731,0,0,0.71471757,0,0.40862814,0,1.5250982,0,0,1.1017026,0,0,0.29419273,0,2.2760892,0,0.013165319,1.1053922
70,0.062158663,5.0444136,1.7623434,2.2552388,0,0,0,0.049149286,0.48521405,0,0,0.16111325,0,0,1.7039282,0.6481275,0,0.41857985,0,9.47021,0,0,0
