x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047
958,1.2735572,6.6626263,0,0,0,0,7.222104,12.844067,0,4.999429,0,2.6777236,0.44031197,0,1.3055964,0.42886236,2.8187864,7.0522475,0,0,0.60517424,0,10.235286,0.041421182,0,3.3178463,0,1.3799872,0,3.1988235,0,0,2.1788135,0.7066903,2.190778,4.175365,3.1520584,0,0,2.1432855,2.1266778,2.1654541,0,0.7411992,0,2.9493754,2.1000502,0
959,0,0,0,0,0,0,0,0,1.3630579,0,0,0,2.544821,23.312717,0,2.7910626,0,0,4.077835,0,15.347817,8.934598,0,5.729496,4.0034356,1.526137,0,0.66116047,3.7285087,0,6.4752965,3.9864984,13.657302,0.95657027,5.909768,0.24807009,0,0,12.67215,0,0,0,0,0,0,0,0,1.0848823
960,0,1.7427478,0,0.73311824,0,5.688238,1.2536044,0.82936734,2.2236855,4.1648374,3.007904,7.851919,0.63899994,0,1.3359536,0,1.2281257,0,0,1.8648374,0,2.8369374,10.384199,0,0,1.2160428,0,1.5104687,0,0,1.5302187,0.7568255,5.4997745,0,0,10.540614,0,1.843186,7.46212,0,0,0,1.3583072,0,1.2037716,2.0831122,0,1.1829454
961,0,0,0,0,4.383405,0,13.123224,0,0,0,0,0.64581335,0,4.8858247,0,0,3.520605,0.023112256,0,8.434706,1.6567231,0,8.102403,1.4968046,0,0.2158742,4.062382,0,3.3582506,0,0,1.2561634,5.878422,1.3181014,1.6577171,0,1.2060359,7.238098,0,0,1.0426086,2.5733974,0.23061995,0,0,0,0,2.6918385
962,2.7499418,3.552541,0,0.22193787,0,0,5.649369,12.630348,0,0,7.3704257,0,1.9853195,0,1.5740763,0,0,3.484683,11.491087,0,1.7411447,10.252212,0,1.7233499,0,0,0,0,1.5848007,4.289763,2.185869,0,7.797519,2.5387373,0,0,0,0.016333025,0,0,0,0,0,1.9211767,5.577572,0,2.4133112,2.141636
963,0,0,0,1.0949378,2.3490596,0.61002225,0,3.3362634,0,0,9.854093,0,0,0,2.771271,0,1.1504471,2.7924447,1.6822592,0,0.3778738,0,0,5.900859,2.1578987,0,0.17948204,0,2.4998312,0,0,1.0315232,4.3119493,0,0,0.5188637,0,2.1305702,0.84892666,2.5625138,0,0,0,4.573735,0.714564,0,0,0
964,0,0,0,0,0,0.10203282,6.893055,0,1.3172649,2.1963053,4.4375167,0,0,0,0,1.7975299,5.054552,0,0,0,3.5733101,2.6428797,0,0,0,0,0,0,1.9515104,0,0,0,5.2782984,0,0,3.432747,2.3366165,0,0.72709274,7.690286,0,0,1.6611347,0,0,4.85522,3.4161544,1.9137259
965,4.071626,0,0.3681783,0,0,0,3.2070148,0,0,0.96079683,7.593113,0,0,0,0,0,0.9859625,0,14.730302,10.40392,0,0.3774298,9.1996975,0.92651194,0.9158498,0,0.21310632,0,6.6449013,1.4532499,0,0,3.9601207,0,0,5.7968507,1.257922,0,0,2.5371203,0,0,0,0,0,0,1.86976,2.196213
966,0,0,0,0,0,3.2072346,2.4818978,0.9160098,1.4828446,0,0,0.39030933,0,13.097839,3.5579112,0,0,0,0,0.45695287,2.8982902,7.5994415,3.2736003,1.0279201,2.3484242,0,2.537211,0,0,0,0,0,10.767251,0,0,0,1.300877,1.3286494,11.415373,0,0,0,0,0,0,0,0,0.9576059
967,0,0,0,2.8502748,0,0,7.32856,0,2.1168005,0,10.604724,0,4.051389,7.326241,0,5.9356728,1.0305476,9.21701,0,0,14.609821,13.611862,0,4.811725,11.4704485,0,0,0,0,0,0,10.511545,5.0198455,0,0,3.6409223,0,0,0,0,0,0,0,0,0,0,0,0
968,0,0,1.7679648,0,0,0.2596276,0,0,0.55692273,0,7.7790675,0,4.0243487,2.361471,1.0019985,1.1499709,0,0,0,0,2.4763122,4.121773,0,0,0,0,0,4.585538,0,11.075361,3.857272,0,0,0,3.16766,0,0,0,0,0,0,0.5300525,0,0,0,0,10.8504305,0
969,0,0,6.1840563,0,0.42789698,0,0,0,0,0,0,0,0,21.10332,0,0,0,0,0,0,2.257694,2.8906507,0,5.3569727,5.6948466,0,0,0,0,0,0,0,4.7203794,0.5200283,0,14.266062,0,0,0.30616742,7.411522,0,0,0,13.02222,12.755659,0,0,0
970,2.9509919,0.35042286,12.532805,0.7331852,0,1.33222,0,0,0,0,2.0936747,0,0,9.073691,0,15.942606,0,0,0,0,0,3.3324363,0,0,1.45598,0,0,0,0,0,0,0,10.810621,0.08240964,0,6.4572444,0,0,10.14792,0,0,0,0.75696915,0,0.083374105,0,0,0
971,0,1.3972517,5.577355,0,0,0.36540192,0,0.34755254,0.8536848,4.5977516,0,11.759997,0,0,5.720863,0,0,5.6973376,0,10.750896,0,0,0,0,0,0,0,8.191313,0,4.440962,19.805494,0,0,0,0,10.562659,0,0,3.0637543,0,0,0,0.5244665,0,16.987343,0,0,0
972,0,0,0,0,0,0,0,0,0,0,18.636213,0,5.904896,6.7008576,0,0,1.8212894,0,0,0,28.273752,10.728147,0,6.598997,9.582525,0.500315,0,0,3.0394363,0,0,1.8018594,14.758346,0,0,11.65151,0,0.4591882,6.543646,0,1.7993757,0,0.8878992,3.24625,0,0,0,0
973,1.3308524,0,2.9460735,3.1811213,0,0,9.992434,0,0.98479337,0,2.1217551,0,0,10.240098,0,6.259482,2.0769703,4.8247166,0,0,2.707618,6.5796003,4.8973327,0.6583003,1.523034,3.2728753,0.9682767,0,0,0,3.056961,4.602888,7.3618965,0,0,1.759607,0,1.0821558,4.067986,0,0,0,0,1.305961,6.7970333,0.20176111,2.3036785,0
974,0,0,0,0.2189361,0,0,4.376372,0,0,0,0,0,1.281011,0,0,2.083379,1.471693,0,0,3.3824828,6.5456147,1.5511419,0,4.744458,0,0.4397246,0,0,3.0910983,0,0,0.14818236,10.104629,0,0,11.171797,0,0,0,0,2.2571685,0,0,0,3.0256135,0,0,0
975,0,3.8555682,1.0803592,1.8785149,1.2544078,1.1393646,12.526781,0,1.8829988,0,0,0,0,0,0,0,1.086139,5.592654,0,0,7.130586,1.9562728,7.209903,0.31848606,2.500705,0,0.32956535,0,2.6171846,0,0,2.3419409,0,0,0.86919105,2.101328,0,0,0,0,0,0.12045368,0,7.6432567,7.7414436,0,0.93338424,0
976,0.32380906,0.34911457,0,0,0,0,0.29696485,0,0,0,0,0,1.2647288,16.897646,0,1.6924589,0.15036426,0,0,3.7380102,0,10.471854,2.6427865,0.43697485,0,0,0.8561532,0.256816,3.2771502,0,0,1.6041546,0,3.5323806,0.55339515,0,0,1.4308944,0,1.0015806,0.45572194,0.8629987,0,2.4869554,0,0,0,0
977,0,0,0,0,8.950654,0,0,0,1.6313219,0,2.8466659,0,1.4593626,14.644274,0,0,0.70960903,0,12.50531,0.87723285,0,0,9.723909,0,0,0,0.8302454,10.42156,0,8.283997,4.10091,0,0,0,3.7445846,0,2.7420783,2.723231,0,3.3103917,0,4.5555835,0,2.9349535,0,4.999994,9.9724,1.0349021
978,0,8.775287,0,0,0.8955884,1.1613082,0.6787169,23.729713,0,5.7568965,0,23.757881,0,0,1.5886403,0,0,1.6115373,0,2.3539617,0,0,0,0,0,6.448104,3.0209284,0.77132165,0,1.8361357,7.5962577,0,0,0,0,0,0,0,0,2.1311653,1.5838772,0,2.2992535,0,0,2.7327392,0,4.132052
979,2.97521,0,0,0,0,0,0,16.5346,0,2.043603,0,0,0,0,5.273065,0,0,1.5593439,15.281538,13.170995,0,0,0,0,0,4.0299788,0,0,0.48359638,0.5582877,0.080165125,0,0,2.490153,0,0,2.6915383,2.338665,0,0,0,0,2.2216344,0,0,1.1243622,0,0
980,0,0,0,0.175526,0,0.6075234,0,14.510593,0,1.9964294,0.8208266,0,0,0,0,0,0,5.2506967,12.755827,0,0,0,0,0.71726394,0,1.0311805,0,3.83773,0,6.305678,2.7178965,0,0,0,3.3076959,0,2.348317,0,0.9578389,0,0,0,0,0.51832414,0,2.1642683,14.595152,3.094422
981,4.7250385,7.226686,0,3.648957,0,2.4801967,0,1.87694,0,0,5.556504,13.317205,0,0,2.0970376,0,0,3.8937378,19.138023,0,0,0,7.597375,0,0,0.89198774,1.2183278,0,1.6124334,0.096402615,0,0,0,0.16492894,0.030137083,0,2.263777,0,0.8161627,1.0957146,0.50523275,6.0966496,0,0,0,0.36232293,4.389144,1.7614083
982,1.5704228,0,0,3.805857,4.9962873,0.52790123,0,8.20351,2.5411413,0,1.8296657,2.8533907,0.21275432,0,2.3945231,0,0,0.9805187,0,8.213342,0,0,0,0,0,0,0,3.3428035,0,4.3103905,0.056133926,0,0,0,0,0,2.0087986,0.8563097,1.9836491,0.77795726,2.338928,0,2.4438772,0,0,4.463528,11.093041,0
983,0,0,1.0477065,2.4522555,3.3693547,0,0,0,0,0,4.1518984,0,0,0,0,0,0,0,0,0,0,0,3.3022475,0,0,0,1.5674179,0,0,0,0,0,0,0,5.8181605,0,1.6034703,0,0,0.23094861,1.6475081,0,0.64545214,0,1.3878311,1.4710879,9.083991,0
984,3.5013657,0.7424992,0,0.7229492,0,0.099927194,0,2.5183315,0,0,0,0,1.3349802,0,0,0,0,0,4.759202,20.072842,0,0,0,0.05996505,0,0,0,0,0,6.852076,0,0,0,0,0,0,0,0,0,3.1855862,0.4056196,4.059289,2.1655912,0,3.9399433,0,0,2.3061156
985,0,0,0,0.6570886,2.5028179,2.833428,0,8.244595,0,0,0,0,0.04239456,0,2.967385,2.993422,1.4019849,0,3.4321628,0,0,0,0,0,0,0.09585901,2.5002615,4.170814,0,7.067229,1.4221213,0,0,1.5444155,1.5525123,0,0.9010161,2.140624,1.7844383,0,0,0.52032393,1.055838,0,0,2.5260172,0.2803797,0
986,1.3648871,0,0,1.3450938,5.083733,0,8.687208,19.74127,0,0.71771276,0,2.3445146,0,0,1.9738506,1.888071,0.59649366,2.9863508,17.884447,7.066429,0,0,8.136953,0,0,0.37219083,0,1.5039028,0,0,7.310225,0.347517,0,1.5044518,0,0,3.6386294,2.5218544,0,0,0,0,0,0,2.4031923,2.0113053,8.978464,2.4021878
987,0,0,0.42829064,0.7217288,0.46180588,3.6823735,0,2.9151978,1.5380049,2.976928,0,0,0,3.9930055,0,0,0,1.3827628,0,10.327156,0,0,13.247533,0,0,0,2.505316,0,0,0.3107234,3.3141942,0,8.770354,1.79335,1.9027206,9.673735,0.50492215,0,0,4.116176,0.11220781,0,2.536916,0,0,3.0140908,0,3.1347287
988,0.020312835,0.48274305,0,0.1786076,0,2.5247512,1.1464833,0.97017336,0,0.77710176,0,0,2.1429694,0,0,0,0,0,0,2.1473737,0,1.924836,0,0.62973577,0,0.8810207,0,0,0,0,0,0,0.28346238,0,0,3.9031699,0,0,0,0,0,0,0,0,0,0.2670361,0,0
989,3.8655276,0,0.87860006,1.8635637,0,0,0,0,0.65932244,4.0259943,0,0,0,0,2.5420744,0,0,0,0,0.6133417,0,0,0,0,3.0015996,0,3.2457268,0,0,1.2446916,0,0,0,1.0967573,2.2793756,0,0,2.992897,0,0,0,0,0,0,0,0,6.819628,0.63542444
990,0.44316268,0,0.017109344,2.981915,0,1.7455769,7.6245975,16.719881,2.0895875,0,0,7.98697,0,0,3.7530057,0.5577726,0,0,0,4.85698,0,0,0,0,0.8431111,1.1868366,0,0,3.4368172,0,0,0,0,0,0.4017152,0,1.9342235,0,0,3.7174048,0,0,0,0,0,0,0,0
