x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037
23,0.69415015,0,0,0,0,0,2.4120924,1.3535053,0,1.404976,0,0,0.40549153,0,0,1.3855404,0,0,8.848249,0,2.5577757,0,3.7827206,0,0,0,0,1.3648419,2.8038933,0,0,0,0,0,2.2361422,2.4289703,1.5887663,0
24,0.44251755,0,12.499528,2.801167,14.381914,0,0,0,0,0,2.5039446,0,0,0,0,1.9309999,3.389763,0.50313115,0,1.7050395,0,0,0,0,0,0,1.8773297,0,1.6554945,2.6242633,1.601226,0,0,0,0,0,0,0
25,0.27238122,0,0,0,0,0,1.0649928,0,3.9337127,0,0,0,0,0,0.26112655,3.8639793,0,0.52800524,0,1.314444,0,0,0,0,0,0.8604833,0,0,0,1.8110664,0,3.9611132,1.2804025,0,0.90553015,3.4568033,0,0
26,0,0,3.6880035,0,0,4.875799,0,4.7245827,1.8554476,0,0.8339683,0,0,0,0.07083231,0,0,0,0,3.3672516,7.665698,0.51465976,0,2.9281085,0,0,6.6903753,0,0,0,0.71238184,0,0.922158,0.8350966,0,0,9.808185,0
27,0,7.1210756,2.3917785,0,0,0,0,0,0,0.4629926,0,0,2.7140176,0,1.393579,0.42541778,0.8157902,3.3900938,1.7456515,0,0,0.86578155,0,0,0,0,0,0.3713948,0,0,0,0,0.8422208,0,0,0,0,0
28,0,1.3719345,0,0,0,0.18999557,0,3.280486,0,2.7118273,0,0,0.41439554,0,0,2.5163636,0,4.263019,0,0,2.6339304,17.490013,3.8294287,4.5548882,0.9894315,0,0,2.8298054,0,1.4649218,0,3.5220182,0,0,0,0.7300072,10.197094,0
29,1.0574214,9.140767,0,0,22.808542,0,0,0,6.704146,0,0.7696044,0,0,0,1.3880255,0.8092643,0,1.1356341,0.7735213,0,0,0,2.1687403,2.0725987,0.6731549,0,1.5815738,0.47403994,4.716424,0.9308006,2.2807128,1.0204829,0,0,0,0.7532051,0,0
30,0,0,3.578755,0,0,0,1.8140528,0,0,0,1.1839588,0,0.7295956,0,0,0,0,4.344454,5.6723294,5.010383,0,2.4374275,0,0,0,1.9770889,0,0,0,0.6877048,0,0,2.6677327,4.10512,3.848098,0.35311958,0.15830848,0
31,0,4.847831,0,0,0,0,2.3222985,0,0,2.142812,0,0,2.0721245,0,0,0,0,0,0,0,0.3248221,12.984042,2.2924554,0,0.3643799,0,0,0,5.336442,0.4057701,0,2.2503307,0.25918397,0,0,0.11918726,0,0
32,0,0,0,3.0138197,4.91925,1.8012792,3.87318,0,2.1851127,0,0,0,1.008896,3.1577747,2.1834898,0,0,4.5262856,0,0,0,1.6094288,0,0,0,0.5820885,0,0,0,0,0.1718501,2.8861425,2.7552993,0,1.0708934,1.6691134,0,3.3372388
33,0,11.783883,1.8749267,8.591667,0,1.3472239,0,0,1.5221825,0,0.96141607,0.023507178,0,0,0.97482145,0.42519292,0.31633976,0,1.2038352,3.185389,2.2234707,9.159733,0,0,0.02493822,8.450687,2.714673,1.462448,0,1.5247905,0,0,0,0,0,0,6.0061607,0
34,0.8780765,0,0,0.74696606,0,0,3.6415932,0,6.10278,0.91588277,0.7195808,0.45474282,0.18783958,0,0,1.9871529,1.4499067,0,0,1.6786615,2.1943257,6.5538974,0,5.091142,0,0,3.2338657,0,0,0,0.3924993,0.19288246,0,4.428425,0,0,0,0
35,0.2989847,2.2658653,0,0.92558646,0,0,0,1.5462556,0,0,0,0,0,0.7411841,0.18150046,0,0.50371087,6.9418087,0.48426142,0,0,0,0,10.476906,0,0,0.19985346,0.27310452,1.0200155,0,0,0,0,0,0,0,6.1780696,0
36,0.025501696,0,16.23105,0,14.329758,2.4435213,0,0,0,0,0.64927053,0.6424558,0.120247334,0,2.1182547,0.17654082,1.923297,0,0,4.7820773,0,0,0,3.13277,1.8664052,7.2320347,0,3.3240747,0,1.1369727,0,0.06698101,0,0,0,0,6.6947694,0
37,1.7218776,0,0.031608224,0,0,2.3873568,0,7.542698,3.1268635,1.8639368,0,0,0,0,1.1612252,0,0,4.140059,0,3.9766126,1.5371671,9.576538,0,0,0,0,0,3.6653352,0,0.44591722,0.7006002,0,0,0.9308318,0,2.2203732,0.8745726,0
38,0,5.126497,0,10.382711,1.7490731,0,3.6107407,3.073488,0,0.335413,0.6196155,0.05574584,0,0,0.4147339,0,5.6371646,0,0.59803396,0.6687287,0,0.699412,0,0,0.5474988,7.6259837,0.75768805,0,0,2.1572726,0.16805732,0,2.5228794,0,2.5188851,1.440977,6.3167987,3.1411085
39,0,0,0,8.986625,0,0,1.7882067,0,0,0,0,1.2594819,0,3.4198587,0,0,0.3539196,5.34246,0,0,9.0755,13.931273,0,0,0,0,0,0.11986898,0.47920814,0,1.5849757,0,0,3.1036098,0,0,0,2.44832
40,4.6178117,0,0,0,6.901117,0,0,0,5.683659,0,2.8779516,1.5906734,0,1.549501,0.9785418,0,0,0,0,2.233479,0,3.2336855,0,1.6000979,0,0.8092702,0,0,0.79477376,0,0.10547908,0.9892483,1.3031934,0,0,0,0,0
41,0,0,4.531634,5.4506974,0,0,0,0,0,1.490647,0,0.68541634,0,0.44103858,1.3666124,0,0,2.1550786,0,5.1593986,0,9.290963,0,6.291229,1.7175056,0,0,0,0,2.4142437,4.019266,1.8641245,0,0.395234,0.45139518,0,0,0
42,0,0,0,0,0,0,3.6321988,5.115427,7.46063,0,3.7008312,0,0,0,0,0,0.44029203,7.5912347,0,1.0994513,2.9682279,0,0,0,0,0,0,0,0,0.9580912,0,5.3387365,3.5906577,4.0129576,2.2669456,2.4212492,0,1.3084849
43,0,0,4.0658774,9.613925,0,0,3.2331407,0,0,0,0,0.82592255,1.0350755,0,0.77106565,0,0,0,0,0,0,0,0,25.018839,4.9313965,8.347554,8.480568,0,0,0,0,0,0.7389362,0,0,0,10.088727,0
44,0,7.7880898,0,6.6485877,2.2732327,0,4.5140166,5.6825523,0,0,0,0,0,1.7104981,5.070294,0,0,3.8950841,0,1.828587,6.5971165,7.5769186,0,2.1353405,0,0,1.2575512,0,0,1.808833,0,1.7034725,0,0,0,0,0,0
45,0,0,0,3.2921245,0,2.502891,0,0,1.5521464,0,0,1.1758565,1.0145775,1.3108126,0,0,0,0,0,1.3693683,0.371378,0,0,0,4.3054924,0,2.7931883,1.2424577,0,0.6219064,0,0,1.6557407,3.3732288,0,0,2.310343,2.3170028
46,1.8169951,0,0,0,9.087426,1.3938633,0.9092636,0,0,0,1.2871958,0,0,0,1.4698132,0,2.0832493,3.2322507,1.18888,2.4991157,3.4340482,0,0,0,0,5.412305,0,2.6323128,0,1.4330994,0,0,0,0,0,3.860041,6.3070335,2.073567
47,0,15.928508,0,0,3.6072168,0,0,0,11.17861,0,2.7369413,0,0,1.0522926,0,0.12965469,2.0501747,4.1723533,0,2.8301492,0,0,0.49880666,0,0,0,0.9666992,0,3.7037916,0,0,0,0.7879314,0.06466617,0.5778477,0,3.2851653,2.978566
48,0,0,0,0,0,0.38041905,0,0,5.5603437,1.2665278,0,0.8670851,0.06727478,0,0,0.5569606,2.47198,0,0,0.7072417,3.0430336,0,1.0387757,0,1.2686545,8.466315,0,0,0,0,1.59449,0,0.7506614,0,2.1835134,0,1.2553957,0
49,0,3.8483393,0,0,0,0,0,0,0,0,0,1.9080817,1.2605197,2.7569652,0,0,0,0,0,0.49762318,0,0,2.6301963,0,0,0,0,0,0,0,4.5256824,1.4706503,0,2.9911375,1.743105,0,0,0
50,0,7.589437,0,0,1.941342,0,0,0,0.4774863,1.4770852,0,1.3239677,0.5402151,0,0,0,2.1371913,0.44469818,0,0.28496304,2.7329087,0,0,13.180447,0,5.43907,2.6094735,3.1494472,0.789387,0,0,2.1380157,0.08336793,0.25942525,0.973701,0,3.9440837,0
51,3.276412,0,0,0,0.9396245,0,5.656566,0,7.9960938,0,1.2211723,0.4971001,0.32009938,0,0,0,2.1009178,6.3719087,0,0,5.0870886,11.784164,2.0330558,0,0,0,5.384965,0,0,0.21114127,3.706753,0,1.7567827,3.5156946,0,0,18.014828,0
