x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,6.395856,1.063544,0,0,0,1.0685083,0,0,0,2.909817,1.0115621,1.6716846,0.7669953,0,0,0,0,0,0,0,1.2303985,0,2.7600706
2,0.53246135,0,0,0,0,1.4048483,0.900947,0,1.2031837,0.53488946,0,0,0,0,0.8347089,0,0,4.604099,0,0.31157035,1.7238562,0,0,0
3,0,0.56019586,0,1.3680495,0,0.027903713,0,0,0,0,0.011813068,0,0,0.10867217,0,0,2.9449723,0,1.8118443,1.7994745,0,0,0.9141754,0.3484106
4,1.8370394,2.6492128,0,0,2.8140447,0.056968108,0.691758,2.0759683,0.5136103,0,1.2368373,2.0182168,1.6067891,1.3720255,0.24950822,0.15295403,0.8156281,0,0,2.340231,0,0,0,0
5,0,0,0,0,0,0.22121567,0.02820996,0.6710121,0,0,1.9127892,0,0,0,0.63770056,0,0,0.59094083,0,0,0.51913095,0,0,0
6,0.08270206,0,0.0513131,0.51621485,0,0,0.888337,0.044755097,0,0,0,0,0,0,0,0,0,0,0,0.15168923,0,0.36061427,6.60985,8.181198
7,0.050241,0,0,0,0,0,4.1389165,0.82815105,0.29699153,0,0.39831662,0,0.724844,1.4179267,1.8404245,0,0,0,0,0.013983523,0.5039289,0.8121856,3.3916273,0
8,0,0,1.6583664,0,0,0,0,0,0,0.7827124,0.7780741,2.440739,0.31189063,0,0,0.9171101,0,1.4225554,0.66206867,0.14072327,2.268906,0,0.7217539,6.626284
9,0.32739335,0,0,0,2.3116481,1.5410508,0,0.7912171,0,0.59055066,0.24794036,0.6991247,2.167859,0,0,0,1.5782522,0,2.1296155,1.0576239,0,0.6472004,10.638906,0
10,0.95173305,0,0,0,1.4286585,0.07306156,3.9493968,0.816848,2.2371173,0,0.65598863,0.196595,0,0,0,2.0711749,0,0,0,0.38422093,0.33959347,0.44754013,0,0
11,0.20118396,0,2.0235348,1.2671934,0,0,0,0,0,0,0.46382824,0,0,0,0,0,0.68694085,0,0,1.7636398,0.115257815,0,0.39885458,0
12,1.5593046,0,0,0,0,0.82043236,1.2797102,0,0,0,0,1.1951166,1.5536416,0,0.10039008,0.69412965,0,0,0,0,0,1.3530877,2.7974956,0
13,0,0,0,1.4500605,0,0,0,0,0,0,0,2.3568616,0.26284412,0.33913377,0,0,0.5557206,0.48620287,0,0,0,0,7.1722717,0
14,0,0,1.4523616,1.503794,0.010882979,0,2.002983,0,0,0.007632282,0,1.816605,1.9676582,0.45725587,0,0.66731894,0.39695096,0.5076635,0,0,0,0,0,2.927833
15,0,0,1.5715364,0,0,1.6587145,0,0.86667204,1.5779308,0,0.5764358,0,0.34869108,0,0,0,0.095709525,1.2508506,0,0.9063339,0,0,0,2.9831808
16,0,0,0,1.12739,0,0,0,0,0.024511965,0.8745425,0.8575717,1.5863786,0.8690596,0,0.3098631,0,2.785287,0,0,2.1435087,0,0,0,0
17,0,2.5533352,2.3763027,0.52092886,0,0,0.18841904,0,0,0,0.11807185,0.12186777,0,0,0,1.5448139,0,1.8120962,0,0,0,0.2584513,0,1.7438602
18,0,0,0,0,0,0,0,0,0,0,2.146511,0,0,0,0,0,0,0,0,0,0,0.37142667,0,0
19,1.291737,11.05964,2.4104843,0,2.9591358,2.3925235,0,3.1649573,0,1.4643247,0,0,2.8507907,0,0.44613096,0,0,0,0,0,0,0,2.0723062,0
20,0.65565175,0,0,0,0,0,0,0,0,0,1.9534379,0,0,0.005251651,0,0,0,0,0,0,0,1.2858611,0,0.68001956
21,0,0,0,0.6659399,1.3507177,0.384398,0,0,2.4285965,0,0,0,0,0,0,0,0,0,0,0,0,0.24401763,1.8609444,3.127571
22,0,0,1.1534674,0.21575895,0,0,0,0.7188027,0.25409362,0,0,1.8190972,0,0,0,0,0,0,3.5072029,0.7538964,1.4523302,2.5529363,0,0.52372754
23,2.742943,0,0,0,0,0,0,0,2.1645005,0,0,0.15962759,0,0,1.7393187,0.8517371,0,1.2703359,0.74668235,0,0,0,0,0
24,0,0,0,0,0,4.3766413,0,2.3143663,0.52795005,0,0,0,0.16493833,0,0,0.9032123,0.11123455,0.4971171,0,1.9347495,1.2408834,0,0,3.5648093
25,0,3.2346578,2.3744123,0,1.6599325,0,0,0,2.0293045,0,0,0,0,1.0400192,0,0,0,0.28797296,1.483635,0,0,0,5.002197,0
26,0,3.8711674,0,1.2679862,0.60641086,0.27729928,0,1.158274,0,0,0.9667888,0,1.9810306,0.31429687,0.20601077,0.85912293,0.299548,0,0,0.7681747,0.7545755,0,5.6071644,0
27,0,0,0,0,1.4646496,0.1473731,0.56172615,0,0.758641,0.8919974,0,0,0,0.16015653,0,0,0.5630436,0.92835414,0,1.4950551,0,0.2622331,0.27304453,0
28,0,0,0,3.380394,0,0.19556472,0,0.60449886,0,1.1425967,0,1.2865511,0.69477135,0.104200296,0,0,0.58426136,0,1.006038,0,0.23882076,0,2.8469858,0
29,1.3618276,0,0,0,0,2.2045681,0,0.06433508,0.5712131,0,0,0,0,3.7323303,0,0,0,0,0.62544805,0,0,1.260758,0,0
30,0,0,0,0,2.17624,0,2.1526108,1.6310447,0,0,0.7746696,2.5238123,0,0,0,0.12093908,0,0,0.0629388,0.51417214,1.5565015,0,2.909842,0
31,0.45128945,0,0.9017035,0,0,0.10739263,1.3043774,0,0,1.2032374,1.6080014,0,0.89544606,0,0,0,0,0,1.0721732,0,1.9245706,0,0,5.147352
