roi,ROI,Classification,x,Y
1,1,1,198.7283951,461.037037
44,32,1,92,191
39,28,1,321,230
46,33,,386,147
17,14,1,458,435
21,16,,257,384
20,15,,363,383
23,17,,137,358
12,12,1,33.5,355.5714286
28,20,,102,303
31,22,1,178,293
6,6,,230,157.6494845
