x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031
367,0,0.75314635,0,0,0,0.19925696,0,1.4713583,0,2.4057674,0,0,0,0,0.39020735,1.0107499,0.98301023,0,1.7232884,4.1055636,0,26.005764,0,5.940273,2.3565662,1.6252259,0.8799406,2.8730505,0,0.06847852,3.7844396,0
368,0,0,0,1.1969801,0,9.93711,2.2157013,8.185593,0,2.3057437,1.5163019,9.474547,0.09241731,0,0.4693761,0,3.071694,0,0.5958948,0,0,10.480196,0,0,0.3690342,1.9591509,4.2346563,0,0,0,0.3296489,0
369,0,0,0.39263344,0.06667529,2.5622592,0.41184938,0.06678499,0,0,1.0475259,0,2.5819225,2.0246036,1.9222509,3.490437,2.4778926,0,0,0.3262722,2.8884861,0,15.728102,0,0,1.8754661,1.6150762,0,0,3.8902066,0,1.8988643,0
370,0.9254925,0,0,6.017305,0,0.30277932,1.3768287,11.719364,0,0,0,0,0,0,0,0,0.15039717,0,0,1.6495609,1.3152708,8.124106,0,0,0.45978186,0,0,0,0,0,0.04737824,2.4364398
371,0,0,0,3.0895953,0,1.7253675,0,0,0,0,0,0,0,0,0,0,0,0,0.28461814,0,16.904997,0,0.050755356,0,0,0,0,3.3750546,0,0,0,0
372,0,0,0,0,1.1873837,0,0,0,0,0,0,0,5.524503,0,0,0,0.17845762,1.2386395,3.6515079,0,21.280008,0,1.2225132,0,0,0,0,3.9878972,0,0.6666439,0,0
373,0,0,0.72892565,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5126176,0,5.1244164,0,7.031615,0,1.1616479,0,0,4.9715285,0.081823535,0,0,1.1560472,0.3153717,0
374,0,5.5367894,0,3.3995428,0,0,0,0,0.6070812,0,4.0473833,0,5.1858,0,0,4.801238,0,2.2794516,0,4.411364,0,10.619583,0.7790372,1.6897985,1.0821611,0,0,0,1.1560595,2.7740843,0,0
375,2.4580057,0,0,0,0.4603365,4.3291397,0,0,3.641902,1.1350209,2.5708706,0,6.494787,0,4.52688,19.714771,0,0,0,1.4996853,0,0,0,0,2.3004854,0,0,0,2.6991386,0,0,0
376,0.012087504,3.7788262,0,0,0.39951396,1.8054653,2.8611426,0,0,0,5.836528,0,0,2.320691,0,0,0.09936678,0,0,0,0,3.7487106,0,0,0,0,0,0,0,0,0,0.39793855
377,0,1.7097318,0,0,0.77354604,0,0,0,0,0,0,1.1102935,0,1.5419835,0,0,1.3215725,4.8633447,0,1.349213,0,4.3393526,0,0,0.38490874,1.173081,0.07885453,0,0,3.5994098,4.1055326,0
378,0,0.60014516,1.8405526,0,0,2.385733,0,12.673899,6.169871,0.91480374,0,0,0,2.757789,0,0,6.9873376,4.292385,0,0.09793786,0,0,0,3.1071842,0,0.6097115,0.22108471,12.846938,1.1080457,0,0,0
379,2.3809018,0.27085057,5.6576853,0,1.2970734,6.276651,0,4.1124897,3.2553887,0,0,0,0,2.328003,0,0,4.492215,6.4737244,0.2672947,1.6270758,0,10.439463,0,0,2.4952393,0.87270015,0,0,4.7785378,3.1307113,0,3.4875953
380,0.98534864,0,0,3.5339303,1.17937,0.5405048,0,0,0,1.3594074,5.01458,3.737112,0,0,0,0,0,0,0,0,0,0,0,0,2.4820144,0.933679,3.6133606,0,0,0,0,0
381,3.8841813,0.5781652,0,0,0,1.2412183,0,0,0.79699016,1.0796531,0,0,0.36701548,8.866244,4.3222685,4.9318113,10.602643,5.150425,0,0,0,0,0,3.1318269,0,0.7614129,0,0,1.7517492,0.41167718,0.5308403,1.287787
382,0,5.8857045,2.5869365,9.472736,0.58758354,0,0,0,6.386446,0,0,0.07141024,0,0,0,0,0,0,0,4.950884,0,0,0,0,1.6337074,0,0,7.4944353,3.7160804,0,0,0
383,0,0,0,0,0,0,0.20158827,0,0,0,0,0,0,0,2.382078,0,0,1.3715132,0,0,0,0,0,0,1.0929406,0,0,2.7480364,0.4570945,0.16573511,2.954451,0
384,0,0,0,3.675009,0.19395646,11.71042,2.215189,0,0,0.40360925,8.783553,8.547241,0,0,0,0,0,2.5239055,5.9336104,0,14.302715,0,0,4.5413685,0,0,0,0,0,0,2.8539484,4.1993394
385,0,0,0,9.404404,0,0,0,0,0,0,0,1.3691862,0,0,0,0,0.89537704,0,0,0,16.884136,0,0.8117737,9.391273,0,0,0,0.7288996,0,0,0,0.68747896
386,0,0,0,0,0,0,0,0,0,0,0,0,4.248557,0,3.1373336,0,5.4404817,0,1.2345173,0.14134368,0.6937492,0,2.6820076,0,0,0,0,0,0,0,1.4540272,0
387,0,0,0,0,0,0,0,0,0,0,0,0,2.828964,0,2.7334895,0,0,0,0.7515327,0,12.622889,0,1.5056436,0,0,0,0,2.84453,0,0,0,0
388,1.4357644,0,0.6311432,0,0,0,0,6.722667,0,1.6519186,0,3.492406,0,2.503667,0,0,0,0,0,0,0,0,0,3.2689881,0,0,0,0,0,0,0,0
389,0,0,0.27115554,5.4565187,0,0,3.6988165,0,0,0,0.06119773,0,0,0.7998267,0,0,0,0,3.8641315,0,4.520485,0,0,3.8591473,0,0,0,1.554379,0,1.5567657,1.9523922,2.691099
390,0.3698201,0.20744643,0,0,3.6026094,0,0,0,0.054621104,0.47487983,0,0,0,0,0,3.192979,0,0,0,0,3.4525123,5.6038733,0,6.848291,0,1.143213,0,4.0477095,0,5.1536984,0.87108916,3.7147996
391,0,0,1.0558441,0,0,0,0,0,3.2782063,0.89577544,0,6.436349,0,0,0,0,1.5144145,4.0177035,0.47012883,0,0,0,2.393409,0,0,1.2829392,0,8.89648,0,2.2532394,8.487231,5.7636228
392,3.312695,0,1.4575819,0,0,0,0,16.529036,0.50350463,1.6714048,0,0,0,3.3019319,3.5958784,0,0.2673984,0,0,2.248496,0,2.0739162,0,4.1914268,1.2594824,2.2207634,0,0.6650114,0.436982,1.1895144,0,1.0624979
