x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052
995,0,0,0,0,0,0,0,0.73258555,0,0,3.6383169,0,0,0,6.1241026,0,0,0,0,0,0,3.0087836,1.5936139,0,0,0,12.893166,0,0.06876624,0.71661013,1.5175947,0.123094365,1.2074187,0,0,1.9909133,5.378735,0,1.7330623,0,0,0.64072925,2.8678772,5.501965,0,0.1347047,0,0,0,0,11.009994,0.11089206,0
996,0.218988,0.21209641,0.3387545,0,0,1.5338086,2.6626325,0,3.936204,0,0,13.764549,0,0,3.3750203,0,0,9.931706,0,0,0,5.6615076,7.323084,2.1867688,0.1010587,0,0,9.23535,1.8477083,2.6522207,1.5999235,0.95675004,0,1.2716883,0,0,0,0,0,5.4294896,0,0,0,0,0.55201316,0,1.096746,0,0.21900009,0,0,1.344407,1.9783441
997,2.3162613,0.2556535,0,4.2265778,0,0,0,0,0,0,0,1.3937083,0,0.23029552,0,1.2271069,0,0,0,0.18707678,1.7608708,0,0,2.555084,1.4026678,0,0,0,0,0,0,1.1744376,1.1998835,0,1.3394834,0,0.99437535,0,0.42932945,2.0722322,0,0,4.3574524,2.4701233,0.9146383,0,4.0773573,1.7029622,7.272577,0,0,0,2.874524
998,0,0,0,6.3744555,9.930111,0,0,0,0,0,0,4.1330857,0,0,0,0,0,0,0,0,0,2.503952,0,0,1.0048568,0,0,2.9593291,0,0,2.46105,0.70646626,0,0,0.41577396,1.6051288,3.5689006,0,0,0,1.0645006,0,0,0,0,0.9808571,0,0.24635097,0.51445603,0,4.7966967,0,2.0702271
999,2.0924084,0.4461738,0,0,0,0,0,0,0,0.35082585,0,2.9100146,3.3941705,0,0,0,0,0,0,0.72191745,0,0,0,0,0,0,12.446385,0,0,0,1.5261841,1.5984638,0,0,12.721039,0,6.4385123,8.203763,0.11493947,3.3271768,0,0,0,2.695929,1.3480213,1.3248421,0,0.23083322,0,0,7.016881,0,4.6527805
1000,0,0,0,0,0,0,0,0,0,0.7335649,0,0,0,3.0213604,0,1.4158744,6.0430374,6.709788,0,0,0,0,0,0,0.43809012,9.250464,2.6720233,6.214811,0,0,0,0,0.026850084,2.1169162,0,0.43232146,0.86007285,2.6253781,1.2048807,0,0,0.010032577,4.1725144,2.4007251,0,0.255984,2.8544312,0,1.3563226,0.6268528,0,0,1.6678339
1001,0,0,0,0,0,1.6017274,0.60080963,0,0,0,0,0,0,0,2.7587874,0,0,10.661075,0,0,0,2.380466,0,0,0.81980944,0,0,0,1.7755866,7.3642974,0.90538365,0,0.43889856,0.0368324,0.40686128,1.4162185,0,0,0,3.589209,0,0,0,0,0,0,4.0937495,1.2133051,0,0,0,1.360092,0
1002,0,0,0,1.3828557,0,0,1.6172736,0,0,0,4.7940884,0,0,0,0,0,0,0,0,0,0,0.43675694,0,0,0,2.4127858,0,0,0,0,0.62747514,0,0,0,0,0,0,4.343789,0,0.39124176,0,0,1.9516431,0,0,0,0,0,3.5384688,6.4637403,0,0,1.4702927
1003,0,0,0,0,4.9329147,1.0598537,1.4027703,0,0,0.056325182,7.7668667,0,1.364295,0,0,0,11.872056,0,0,0,0,0,0,0,0,0,0,5.7860417,8.687946,5.184773,9.329904,0,0,0,0,0.49053258,0,0.5939461,3.09191,6.636087,0,0,0,0,0,0,0,0,0,3.6544237,0,0,0
1004,0,0.2505197,0,0,0,2.208724,0,0,5.0188646,0.9539503,0,0,0,9.642631,0,0.8468027,0,0,3.5881944,0.911565,0.80346376,0,0,1.8850023,0.16347498,1.6201286,0,7.094244,0,0,0,0,2.144794,2.587329,0,0,0,0,0,0,3.5112903,1.8004044,0,0.5497447,1.107264,0.018100733,0,0,1.748854,0,0,0,0.015474431
1005,2.542232,0,1.428257,1.1618346,9.854416,0,1.2826122,1.0328152,0,0.1847385,4.7652965,7.149111,2.341697,0,0.19532472,0,0,0,0,0.36441776,0,0,0,0,0,4.6657634,0,0,0,3.5761235,0,2.9975443,0.7432247,0,1.5031724,2.1381726,0,3.1300757,0,0,0.4253964,0,0,0,0.30196175,0,0,0,0,0,6.0419674,0,0
1006,0,0.22855413,0,0,12.207911,0,0,0,0.6219011,0,0,0,0,4.7006583,0,0,0,7.3206697,3.2361581,0,0,2.8505032,0,0,3.181108,2.304885,1.7784522,6.162232,0.33297753,0,0,0,0,0,0,0,0,0,0,0,0,0.4036367,0,0,0.73706245,0.31301597,6.6924706,0,0,0,0,0,0.9913088
1007,0,0.00031108,0,3.0983963,0,0,0,0,4.2832203,0,0,5.4584217,0,0,3.3739114,0,0,0,9.851329,0,0,0.46442932,6.994777,3.5550077,0.7408234,0,0,0,0,0,0,0,0,0,0,0.70553744,1.3749617,0,0,0,0,0,0,0,0.28747836,0,0,0,0,0,1.3436149,0.28669462,0
1008,0,0,0,0,0,0,0,0,0,0,0,4.5156627,0,5.29295,0,0.564881,1.3223959,0.89669716,0,0.9522105,0,0,0.60920846,0,0,1.7958016,3.829071,5.9086003,0,3.3798077,2.7803721,0,0.5125472,0,5.438789,0,0,2.8129098,0,0.18931094,2.6512985,0,0,6.562311,0,0,0,1.014278,0,0,0,2.4193792,0
1009,0,0,0.07807676,0,0,0,0,0,0,0.14690216,0,0,4.1073174,0,0,1.3383139,0,6.540626,0,0.18073769,0,0,3.1457717,0,0.2050951,5.5427985,4.410821,0,0,0,0,0.44652387,0,0,0,0,0,5.438259,0,5.3426085,0,4.499605,0,0.45806554,0.19803579,0.07467714,0,1.0321125,0,0,0,3.3622425,0
