x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052,y0053,y0054,y0055
1023,0,1.3254861,0,3.1080496,0,0,0,0.5066803,0,0,0,0,0,0,3.62903,4.193405,1.593677,0,1.9208283,0,0,1.8786436,8.786647,0,0,0,4.5614595,0.5598035,0,2.152861,2.4665117,0,9.052874,0,0,2.9332101,0,0,0,1.8615372,0,0,0,1.4978995,0,0,0,3.1510794,1.2711459,1.6029109,0,0.08205472,12.366793,3.757397,0,0
1024,1.7916894,0,0,2.029016,3.2950711,1.5066808,1.7808928,7.6141863,0,0.09372869,1.1700761,1.8208747,15.526597,2.8052764,0,3.816755,0.08942308,0,0,0,7.0480485,0.3497845,0,4.053111,0,0,0,0,0,5.6965394,0,0.5389943,2.9256282,0,0,0,0,0,0,1.3203511,0,0,0.5245186,0,0,3.1909244,0,9.38352,0,0,0,13.294301,1.2073215,0.36208302,0,4.7645936
1025,0.3442863,0,0,0,0,0,0,1.9121166,0,0.48879486,0,0,8.00802,10.286016,0,0,0.7026032,0,0,0,0,0,0,0,0,0,7.4689345,0,0,0.5489461,0,2.2504199,1.4513501,10.247699,0,0,0,0.944319,0,0,0,0,0,0,2.1096296,0,0,0,0,1.2862661,0,0.5394351,0,0,0,0
1026,0,0,3.4343016,0,0,1.2197734,0,4.200634,0,0.13180953,0,0.975089,0.24078834,4.8413577,0,0,0,4.450577,0.6956825,0,0,0.85294914,0,0,0,0,0,0,0,1.0779645,0,0,12.555187,0,0,1.7416382,0,1.6096413,1.513236,0.8792631,0,0,0,0,0,0,0,0.585892,0,2.8634381,0,0,0,0,0,1.5745535
1027,0,1.5611025,1.9178215,3.2636569,5.1015053,0,2.3679998,1.6330099,0,0,0,10.601525,7.4019337,2.7736459,0,0,0,0,0.4866715,3.1546836,0,0,2.00628,4.659894,0,0,6.485274,0,1.8381927,2.245553,0,0,1.0314504,0,0,0,3.5598636,0,0,0,5.7314525,0,0,0.8697325,0,0,0,0,2.3633642,4.154809,2.9031415,0,5.0065584,0.08148294,0,0
1028,0.40922403,0,2.0415895,0,0.09312218,2.1898105,0,1.5336299,0,0,0.6918934,7.60359,0,0,0,1.1930526,0,4.582744,0,19.893892,0,0,0,0,0,0,0.4484037,1.4198855,3.8300362,0,0,0,0,8.096217,0,0,0,0,0,0,0.77337897,0,0,4.0257754,0,0,0.63173944,4.3879266,3.12449,0,2.9426656,3.7579675,0,1.2339337,0,4.1694245
1029,0.9843585,0,0,0.7948762,0,0,3.9748068,0,0,0,0.26051146,3.5504518,0,3.2939126,0,1.4569442,0,0.24433927,0,11.394905,5.8677077,0.3647477,0,0,0,0,0,0,1.7774348,7.6115413,0,0,16.829874,0,2.7151036,0.36575076,0,3.413577,0,0,1.3558617,0,0.90294534,0.6768523,0.5154852,5.2276325,0,6.019175,2.6244104,0,2.6515512,0,0,0,0,0
1030,0,0,1.1652725,0,0,0,0.28505948,0.7913171,0,0.6396172,0,0.64462394,0,2.3022957,0,0,2.00663,0.14316308,0,0,0,1.354061,2.0065117,0,0,0,7.152794,0,3.4418228,3.4609222,0.9893664,3.2926013,0,2.9916775,0,1.113667,0,0,0,1.0194387,0,0,0,0,0,0,0,4.980499,7.7150855,1.2742376,0,0,1.5495539,0,3.4389393,7.3533335
1031,1.4061508,0,0,0,0,3.0751858,0,0,0.8053003,0.8826319,1.0286921,1.390074,0,0,3.653805,0,0,1.2383198,0.06419861,4.4403114,0,0,0,0,0,0,0,3.343487,2.5743294,0,0.6374995,0,3.373052,0,1.1912802,0,0,1.4576596,0,0,0,0,0,0,3.5243607,0,0,2.0423832,0.90036225,1.198532,0,0,0,0,0.17083378,2.2293308
1032,0,0,0.40291753,0,3.4468188,0,4.2253866,1.9089023,1.3786436,0,0,11.182976,0,3.4208283,1.5193201,0.8947558,0,1.5976962,0,0,0,1.9347858,0,0,3.0393307,2.209713,5.016239,0,1.745544,0,0,2.5672867,0.31717423,0.45806614,0,0,0.68511105,1.9507416,0,0,0,6.941037,0.17124383,0,0.31637153,4.6741343,1.115662,0.122668706,0,0,0.2916929,5.341498,7.8373947,0,0,0
1033,2.7873297,0,0,0.46759132,0,0,0,0,0,0,0,4.1576176,4.896282,8.262693,2.9054952,0,0.2071253,2.1347167,1.449215,13.089139,0,0,0,0,0,0,0,0.34769273,0,4.0807505,0.27287212,0,0,6.835099,0.37242374,0,0.81263286,0.014112287,0,2.4803898,0,0,0,0,0,0,0.07810597,2.2344573,13.391143,3.4986203,3.1880999,0,0,0,3.7313244,2.6836774
1034,3.262183,0.9980191,0,0,0,0,0,0,1.2315001,0,0,0,2.0871048,1.0865924,0,0,0.55998015,2.6254182,1.953378,1.3593143,0,0,0,3.1460278,0,0,2.086222,0,0.07883122,0,0,1.7569407,14.12485,0,0.47823647,0.053202745,5.4237366,0.9944684,1.1714567,0,0,0,0,1.012099,0,0,0,5.3693748,5.996526,3.89206,1.6914239,5.585127,2.6675231,0,0,0
1035,1.1742712,0,0,0,0,0.71887314,0.41691837,0,1.4857383,0,0.8949244,0,0.36614698,7.7867103,0,0.34487134,0,0,0,0,0,0,0,1.06433,2.7025042,0,0.59887964,0,0,2.5765624,0,0,0,0,0,0.04493109,5.9322357,0.61252606,0,3.359042,0,0,0,0,1.5140245,0,1.1574932,4.323688,0,0,0.9001502,0,3.652951,0,2.9587584,6.026403
1036,1.2853879,0,0,0,0,0,0,0,0.90803295,0,0,23.07261,0,0,1.1858679,0,1.5212402,0,0,0,9.458769,0,0,0,0,0,0,0,7.3717093,0,0,0.23183846,0,2.953156,0,0.05532422,0,1.7882845,0.27254754,0,0,0,0.23762491,0,0,6.771126,0,0,0,0.7850896,0,0,2.1625826,0,1.2164423,1.0075544
1037,0,0,1.4296154,0,1.2979244,0,0,0,0,0.47667816,2.0396562,0,7.536128,0,1.1473113,0,0,0.28928107,0.85238045,20.009455,10.756975,0.066646166,2.0090659,0,0,1.7994794,0,2.6105535,4.0319133,0.24423555,0.9721923,0,12.965638,6.7910867,7.2063084,1.7552444,0,0.93080974,0,4.0773263,0,0,0.4883374,0,0,0,0,6.643412,3.799503,0,1.0753636,0,4.893012,0,0.5739319,3.3171616
1038,0,0.01377359,4.745664,1.4106278,0,0,0,5.7544527,1.6974545,2.67264,0,2.0407305,0,5.671674,0,0,0,7.0124288,4.2708673,0,0,0,0,0.8137667,0,0,11.13781,1.6863701,0,4.9698734,0,0,0,10.261835,0,0,1.0558606,0.24492607,0,0,0,1.5930538,0,2.6597793,0,0,0,3.437757,4.460012,6.289625,0,6.4388537,1.6917212,0.65143746,0,1.0073942
1039,0,0.9185458,4.8563547,1.1851374,0,0,0,3.2899854,0.2563809,0,0,0,0,0,0,2.1468072,0,0,0.9058519,0,2.6043048,1.6344982,0,5.205138,0.6985275,0,0,0,0,3.3514147,3.8154883,0,0,3.5468361,1.6228317,0,4.5279136,0,1.7960976,0,0.538262,0,1.1807508,0,0,0,0,2.060599,5.344233,0,0,4.26528,4.222018,0.74939305,0,5.5016007
1040,1.218521,0,0,0.36344713,0,0.6292369,0.28828862,0,0.1493686,0,0,2.0444942,4.563565,0.75496083,0.117465235,2.1790898,0,0,0.06174861,4.4209456,0,0,0,0,1.5882647,0,0,0,0,0,0,0,0,0,0,0,7.245541,0,0.85813594,0,9.465936,0.43141204,0,0,1.2528954,0,0,2.9177785,0,0,8.782493,0,0,2.140746,1.8157419,0
1041,1.9112294,2.3371613,0,0,0,0.2411796,0,7.818975,1.5229176,0,0,0,0,0,0,0.58398193,1.4768686,0,0.8147005,0,6.7517576,3.3391855,0,0,1.3367028,0,3.590858,0,0,0,1.2660843,0.45473537,0,0,14.088948,0.99267286,0,1.9037685,4.134096,2.606919,6.6445565,1.4531981,1.5677394,2.722724,1.6904192,0,0.9241718,1.069019,0,0,0,3.0297105,0,4.123758,1.9435664,0
1042,0,0,0,0.5056941,0,0.41221684,0,0,0,0,1.6682996,5.7466984,8.101081,5.381217,0,0,0,2.8828607,0,0,13.43677,0,0,0,1.7951864,3.8640835,12.294622,0,6.041016,0.76151216,1.0623392,0,2.840211,0,0,0.30713072,2.1914062,1.4379652,7.770709,0,0,0,0.28716367,1.8659033,0,8.047837,0,0,0,0,0,4.7686334,1.5644062,0,0.13485678,0
1043,0,1.6486577,0.2783595,1.0575123,0,1.6766356,2.0687435,0,1.7882895,0.9384832,1.8349129,1.3539596,2.185547,0,0,0,1.3652943,0,3.4972017,0,0,1.5011978,1.5119076,3.6267016,0,0,0,0,0,0,0.8463434,0,0,0,0,0.83667326,0,0,0,0,8.108586,2.4876785,0,0,0,0,4.087879,1.4134445,10.323326,1.5574447,0,0,0,0,0.25005293,0
1044,0,0,2.3737636,0.26429236,1.5311493,1.0072532,0,1.1563622,0,1.0682292,0,0,0,3.3891659,0,2.0796208,5.884488,0,0,4.394726,0,0,12.80346,0,0,0,0,0.23463926,0,0.26382467,0,0.17848319,0,0,7.2393885,0,0,0.49150318,0,3.9027507,7.2410254,0,0.65402955,0.7710946,3.9719133,6.47335,0.1517441,6.9080563,0,0,4.572667,0,0,0,0,0
1045,7.4095,0,0,0,0,0,0.22385415,2.8069675,0,0.74726355,0,6.4713807,0,0,0,1.8715047,0,1.793046,0.9662401,0,1.9706764,2.8234348,0,0.03534368,0,0,1.8263367,0,0,6.532482,0.43280286,2.9638462,0,0,0,0,0,4.3275933,0,0,0,1.92379,0,0,0,0,3.6227582,0,3.1258419,4.6382446,0,0,6.852307,0,0.464961,0
1046,0,0,0,0,4.7921357,0,0,0,0,0,0.85481614,0,6.7979283,0,0,0,1.7228862,1.6217871,0,0,0,2.036725,0,1.9546742,0,1.5042504,4.60854,0,0,0,0,0,0,0,0,0,0,1.2900062,0,2.453516,0,0,0,0,0,0,0,0,0,0.090397045,2.73925,0,0,0,0.66490835,0.39479098
1047,0.23165959,0,2.6920898,0,0,0,0,0.95632195,6.459417,2.941274,1.616724,3.8762467,0,0,0,2.4486737,0.44247624,0.88828874,0,0,1.9919444,2.8422275,1.0247979,0,0,0,0,0,0,0,0,1.3719188,0,4.494271,0,0.29486814,0,0.64615,8.302292,0,1.1143209,0,2.3443687,0,0,0,4.0142865,0,0,1.1969903,0,7.3095207,0,0,3.9203024,0.18334067
1048,3.3214765,0,2.1896834,1.4311795,0.3416966,0.3316276,0,4.234921,1.4483573,0.003634946,0,0,5.660635,8.686784,0,0,0,1.4138339,0,0,0,1.0717366,0,0.40225247,3.049673,0,0,0,0,0.9925214,0,0.5346768,0,5.4374804,0,0,0.51715106,1.011143,0,0,0,0,0,1.0458184,0,1.1722437,0,2.865697,4.8790812,0,0,0,12.601225,0,0,3.273056
1049,1.5292968,1.480434,0,0,2.208276,0,3.3726454,3.0166717,0.040829036,0,2.1802804,7.040806,0.36990738,0,1.9521853,0,0,0.5365096,3.102961,5.09633,4.361444,0,0,5.7557883,1.6065986,0.02916181,8.5427475,0.73954207,0.24111702,1.0103528,0,0.733906,0,6.197538,0,2.8663,0,0.48951855,0,0,11.308101,0,0,0,0,0,0,0,1.692496,0.7986525,0,12.621118,2.2910125,0,0,0
1050,3.5445502,0.80192983,3.357164,1.1433898,0.3487836,0,2.5128832,5.229537,1.8758589,0,0.37609228,12.476724,1.2826942,0,0,0,0,4.078451,1.9989992,0,0,0.9041326,0,0,0,0.6209702,1.1186246,0,7.047651,2.9974568,0,1.1315763,0,0,0,0,0,0,0,0.8329916,0,0,0,0,0,0,1.1667792,0.5385176,0,1.9827243,4.2413692,0,3.6516466,0.42884207,3.3668463,0
1051,0,0,2.3571272,1.3891896,0.096783146,0.20387115,3.9600477,0,0.6339706,0.40508518,1.4263188,4.091948,0,8.490851,0,0,2.2565017,0,0,1.8950169,1.4669448,0,10.164419,0,0,0,3.546548,3.4621282,0,2.5055587,0,1.6045009,3.8522604,0,0,0,0.044594258,0,0,0,0,0,0,0,2.2664132,3.7335567,0,3.8092542,7.453927,3.4597156,2.985361,0,4.506621,0,0,1.9364625
1052,2.1294568,0,2.7390754,5.250259,0,5.019903,0,0,0.6888071,0,0,6.8762636,2.315414,0,0,0,0,5.534905,0.10544469,0,9.267855,0,0.4058908,0,2.7754114,0,0,4.6705737,1.349294,0,0,0.105164364,7.8310785,0,0,0.90918267,0,0,0,0,0,0,0,0,0.000128284,3.5787342,0,5.7832665,0,1.8106775,0,0,3.902221,0,0,2.744779
