roi,ROI,Classification,x,Y
8,8,,228,73
0,0,,167.4594595,121.2342342
3,3,1,345.5,202
26,22,,434,226
12,11,,165,417
13,12,,348,396
14,13,,217,393
15,14,,303,388
16,15,,139,384
17,16,,166,383
7,7,,383,370.8071429
19,17,1,277,365
21,18,,156,304
23,19,,116,240
24,20,,240,235
4,4,1,420,159
33,23,,261,105
