roi,ROI,Classification,x,Y
4,2,1,183.9673913,428.3369565
8,4,,83,156
10,5,1,316,199.6060606
12,7,1,379,117.233871
20,14,1,447,409
23,16,,246,353
24,17,,352,353
27,20,1,127,325
28,21,1,18,319
32,22,,92,269
33,23,1,169,260
43,26,1,219,124
