roi,ROI,Classification,x,Y
1,1,,74,143
3,3,1,268,225
4,4,1,314.78125,204
5,5,1,345,495.3
19,13,,356,356
23,15,,373,287
25,16,1,189,253
26,17,1,149,241
28,18,1,397,225
30,20,1,449,213
32,22,,300,113
33,23,1,189,98
35,25,,141,72
36,26,1,253,66
39,28,,116,48
