Trial,Behavior,Start,End
44.0,valve opened,5331.59,5335.59
,cont reach,5335.59,5356.59
,ipsi in vain,5345.59,5356.59
,walk,5383.59,5397.59
,both in vain (2),5408.59,5418.59
,walk,5419.59,5454.59
45.0,valve opened,5452.59,5456.59
,cont reach,5457.59,5462.59
,cont in vain,5463.59,5466.59
,cont in vain,5467.59,5469.59
,ipsi moved,5459.59,5474.59
,walk,5527.59,5537.59
,walk,5570.59,5573.59
46.0,valve opened,5574.59,5578.59
,cont reach,5577.59,5596.59
,ipsi moved,5579.59,5582.59
,ipsi moved,5595.59,5600.59
,walk,5646.59,5658.59
,walk,5691.59,5698.59
47.0,valve opened,5695.59,5700.59
,cont reach,5699.59,5707.59
,cont in vain,5708.59,5712.59
,cont in vain,5715.59,5727.59
,ipsi moved,5711.59,5715.59
,ipsi in vain,5716.59,5727.59
,walk,5750.59,5763.59
,both in vain (5),5770.59,5823.59
48.0,valve opened,5815.59,5820.59
,cont reach,5824.59,5842.59
,ipsi in vain,5826.59,5827.59
,both in vain (14),5866.59,5940.59
49.0,valve opened,5941.59,5946.59
,bothmissed,5943.59,5948.59
,bothreach,5949.59,5952.59
,cont in vain,5954.59,5960.59
,walk,6015.59,6023.59
50.0,valve opened,6065.59,6069.59
,cont reach,6068.59,6075.59
,ipsi moved,6070.59,6075.59
,cont in vain,6076.59,6079.59
,cont in vain,6081.59,6083.59
,cont in vain,6084.59,6087.59
,both licking,6088.59,6102.59
,both in vain,6169.59,6195.59
51.0,valve opened,6186.59,6191.59
,cont reach,6201.59,6203.59
,ipsi in vain,6202.59,6207.59
,cont in vain,6204.59,6225.59
,ipsi in vain,6223.59,6231.59
,both licking,6261.59,6269.59
52.0,valve opened,6316.59,6321.59
,cont reach,6322.59,6352.59
,ipsi in vain,6322.59,6329.59
,both in vain (2),6423.59,6441.59
53.0,valve opened,6438.59,6442.59
,cont reach,6446.59,6458.59
,ipsi moved,6448.59,6451.59
54.0,valve opened,6563.59,6567.59
,cont reach,6566.59,6601.59
,ipsi moved,6568.59,6572.59
,walk,6642.59,6654.59
,walk,6674.59,6682.59
55.0,valve opened,6683.59,6688.59
,cont missed,6687.59,6689.59
,cont reach,6690.59,6709.59
,ipsi in vain,6691.59,6696.59
56.0,valve opened,6805.59,6810.59
,cont reach,6810.59,6828.59
,ipsi moved,6809.59,6815.59
57.0,valve opened,6926.59,6930.59
,cont reach,6930.59,6949.59
,ipsi in vain,6935.59,6944.59
,walk,6985.59,7012.59
58.0,valve opened,7047.59,7052.59
,cont reach,7052.59,7077.59
,ipsi in vain,7057.59,7064.59
,ipsi in vain,7065.59,7068.59
59.0,valve opened,7168.59,7173.59
,cont reach,7172.59,7183.59
,ipsi moved,7172.59,7177.59
60.0,valve opened,7289.59,7294.59
,cont reach,7292.59,7304.59
,ipsi in vain,7295.59,7299.59
61.0,valve opened,7410.59,7415.59
,cont reach,7414.59,7417.59
,cont in vain,7418.59,7420.59
,cont in vain,7424.59,7428.59
,ipsi moved,7414.59,7435.59
62.0,valve opened,7531.59,7536.59
,cont reach,7540.59,7554.59
,ipsi moved,7541.59,7545.59
,walk,7609.59,7626.59
,cont in vain,7611.59,7615.59
63.0,valve opened,7656.59,7661.59
,cont missed,7660.59,7662.59
,cont reach,7663.59,7666.59
,ipsi moved,7661.59,7678.59
64.0,valve opened,7777.59,7782.59
,noise generation,7819.59,7854.89
65.0,valve opened,7933.59,7938.59
,walk,7939.59,7944.59
,cont reach,7945.59,7948.59
,walk,8049.59,8053.59
66.0,valve opened,8060.59,8065.59
,walk,8079.59,8088.59
,bothreach,8089.59,8112.59
,both in vain (10),8113.59,8173.59
67.0,valve opened,8204.59,8209.59
,walk,8313.59,8334.59
,noise generation,8246.59,8281.89
68.0,valve opened,8360.59,8365.59
,cont reach,8365.59,8380.59
,ipsi moved,8368.59,8380.59
,walk,8478.59,8484.59
,Two photon imaging,,8484.59
