x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052,y0053,y0054,y0055,y0056,y0057
338,2.6506667,0,0,0,10.796231,0,0,0,0.94049317,0,3.0995405,0,0,1.6757312,0,0,0,0,0,0,0,0,14.199044,9.3620825,0.96520567,1.1428015,0,0,1.7131984,0,2.2757518,4.3186283,1.3720917,0,3.2646534,0,0.55303496,0,0,0,4.1305704,0,9.681706,0.7419542,0,3.4526367,0,0.0924363,0,0,3.0727375,0.13257737,1.374487,0,0,3.0036888,7.6544504,0.66291267
339,0,0,0,17.266943,8.550259,0,0,0.21541955,0.11063639,0,2.5076876,0,0,5.2851405,0,0,0,0,1.0256292,0,8.107878,4.329931,5.1669273,0,0,1.0876757,30.309755,1.7997432,0,0,0,1.9655851,0,0,0,14.340543,0.64700544,0,0,0,0.43022755,0,12.945054,0,15.86279,1.9087442,2.3449616,0,7.169765,9.750532,12.404428,0.3320882,4.0822005,4.600312,0.71438277,1.8295639,0,0.4110142
340,2.677541,0,0,0,13.479672,0,0,0.5634355,2.057951,0,5.5049257,4.9780054,0,0,0,0.7338329,5.9027267,4.9869056,0,0,10.310035,0,2.5816276,0,0,0,43.168297,0,0,0,0.8231937,0.4734334,0.9659488,0,0,5.8158364,0,0,0,0,0,0,17.911463,2.2997055,3.613489,0.82612437,0.117748074,0,10.134634,0,2.920917,0.92109585,0.55345505,0,0.015275488,2.4018178,8.567522,0
341,2.4333358,29.462906,0,0,4.1603847,0,7.57465,0,1.2031482,0,0.30870834,2.0987337,0,0,14.909336,0,0.98153496,0.98735553,0,0,8.919788,0.6356422,0,0,0,0,32.89631,0.6666483,0,0,0,1.1598867,0,1.9166353,1.2575905,2.8573542,0,0.27467617,0,0.3794106,1.6127206,0,0,0,1.2570293,0.14369094,2.1357293,2.9261029,1.8649714,0,4.2090826,0.469735,1.7242142,0.3678896,0.97928166,3.341874,0,0
342,0.5364819,0,0,6.5786347,0,0,0,0,0,0,0,1.3369671,0,0,13.562148,5.007471,0.82768595,0,0,0,4.8929353,1.3850007,4.9991374,0,0.31601176,0.48859224,31.124376,0,0,0,0,0.5732229,2.416066,0,0.36790988,6.8060846,0,0,0,0,0,0,6.8289704,0,3.9659023,0.41122752,0.060255796,0.98737425,2.464019,0,0,0,0.06845541,0,3.2847812,0,3.4254248,0.16772796
343,0,0,0,0,16.862877,4.215002,2.911822,0,0,0,2.173768,1.370307,0,5.6288867,0,0,3.217075,1.3426054,0,0,0,0,0,0,0.4159591,0,27.283512,0.58807844,0,0,0,1.3961655,4.3923383,0.092538536,0.15090692,16.280066,0,0.39593744,0,0,0,0,7.880084,0,3.6597922,0.90673447,2.4440055,1.9227014,3.518044,0,7.5983996,0,1.980103,0,0,2.2959867,4.176219,0.05372959
344,0,0,2.6838655,0,0,1.2923161,0,1.1592777,0,0,0,6.1453876,0.77030873,0,33.51878,0,4.468781,0,0,4.557172,0,0,0,0,0,0,0,1.1763242,2.722769,4.421157,0,0.8503146,0,0,0,8.278276,0,0.5265684,0,0,0,0,10.751653,0,7.2771964,0,0,0,0,0,0,0,0,0,0,0.26423812,0,0
345,6.605049,0,0,0,0,0,0,0,0,8.32997,0,0,0,0.14960775,0,2.4807186,6.5723295,0,1.6357343,0,3.398985,1.1048588,0,0,0,0.47337553,19.044138,0,0,0,0,0,28.037668,0,0,0,0,0,0,0,0,0,0,0,6.608621,0,0,0,0,0,0,0,0,0,0,0,5.050354,0
346,2.3936982,21.95119,5.0960016,13.574197,0,0,1.4376707,0.8069747,0,1.6336988,0,0,4.488455,0,0,0,0.3022125,0,0,3.909826,0,0,0,2.116723,0,0,0,5.3392186,3.1913989,6.723901,0,0,1.7599505,8.36734,6.1962547,0,3.788454,0.29272616,4.970387,3.1730208,0,2.597004,0,0.7037737,0,0,0,3.1882758,0,4.1110363,6.436969,0,0.06331681,1.8996617,0.47223365,0,2.3603144,0
347,12.252334,0,0,0,15.476563,0,4.4536033,0,0,0,0,0.645903,0,0,17.498522,0,1.7925421,6.721382,1.3846393,0,5.9207206,0.16247366,3.2385886,0.37043953,1.781502,0.49544707,37.82364,0,0.6686539,5.5330853,2.1552112,2.386657,32.834263,2.7004495,0,26.908783,0,0,0.7350201,0.49132013,1.7312242,0.2821253,0,1.6811937,1.9834146,0,0.48715833,1.2878797,0,6.1839147,5.3398957,2.8499522,0,0.10355033,0,0,0,1.2206281
