roi,ROI,Classification,x,Y
2,2,1,259.2875,67.7875
3,3,,194.9084507,115.1830986
4,4,,374,195
5,5,1,459.7460317,224.2380952
10,7,,185,410
11,8,,369,393
12,9,,237,388
13,10,,323,384
14,11,1,158,376
15,12,,185,376
17,13,1,400,370
19,14,1,298,361
22,16,1,177,302
27,18,1,140,233
28,19,1,264,230
32,21,,447,159
35,22,1,289,100
