Trial,Behavior,Start,End
1.0,valve opened,61.59,64.59
,cont reach,64.59,102.59
2.0,valve opened,127.59,130.59
,cont reach,130.59,166.59
,cont in vain,167.59,171.59
3.0,valve opened,193.59,196.59
,cont reach,195.59,226.59
4.0,valve opened,258.59,261.59
,cont reach,261.59,282.59
,cont in vain,290.59,292.59
,cont in vain,293.59,299.59
5.0,valve opened,325.59,328.59
,cont reach,356.59,369.59
,cont in vain,370.59,384.59
6.0,valve opened,419.59,422.59
,cont reach,421.59,442.59
,cont in vain,468.59,472.59
,cont in vain,476.59,482.59
,cont in vain,483.59,487.59
7.0,valve opened,485.59,488.59
,both reach,488.59,493.59
,cont in vain,495.59,514.59
,both in vain,526.59,530.59
,walk,533.59,550.59
8.0,valve opened,550.59,553.59
,cont reach,553.59,574.59
,tongue,584.59,587.59
,walk,610.59,614.59
9.0,valve opened,616.59,619.59
,cont reach,618.59,643.59
10.0,valve opened,681.59,684.59
,cont reach,684.59,707.59
11.0,valve opened,747.59,750.59
,cont reach,751.59,772.59
,tongue,780.59,781.59
,cont in vain,782.59,789.59
12.0,valve opened,813.59,816.59
,cont reach,815.59,835.59
,cont in vain,849.59,854.59
13.0,valve opened,879.59,882.59
,cont reach,881.59,920.59
,cont in vain,942.59,945.59
14.0,valve opened,944.59,947.59
,cont reach,947.59,973.59
15.0,valve opened,1010.59,1012.59
,cont reach,1012.59,1035.59
16.0,valve opened,1075.59,1078.59
,cont reach,1077.59,1102.59
17.0,valve opened,1140.59,1143.59
,cont reach,1143.59,1160.59
,cont in vain,1179.59,1183.59
18.0,valve opened,1206.59,1208.59
,cont reach,1208.59,1228.59
19.0,valve opened,1271.59,1274.59
,cont reach,1274.59,1289.59
,cont in vain,1290.59,1292.59
,cont in vain,1308.59,1311.59
20.0,valve opened,1337.59,1340.59
,cont reach,1339.59,1366.59
21.0,valve opened,1402.59,1405.59
,cont reach,1405.59,1424.59
,tongue,1452.59,1453.59
,both in vain,1453.59,1458.59
22.0,valve opened,1468.59,1471.59
,cont reach,1470.59,1477.59
,cont in vain,1478.59,1487.59
,Ipsi moved,1470.59,1473.59
,both in vain (4),1492.59,1515.59
,both in vain (3),1521.59,1528.59
23.0,valve opened,1533.59,1536.59
,cont reach,1535.59,1553.59
24.0,valve opened,1599.59,1601.59
,cont reach,1601.59,1607.59
,cont in vain,1608.59,1628.59
,cont in vain,1629.59,1634.59
25.0,valve opened,1664.59,1667.59
,cont reach,1667.59,1693.59
,cont in vain,1727.59,1730.59
26.0,valve opened,1730.59,1732.59
,cont reach,1732.59,1756.59
27.0,valve opened,1795.59,1798.59
,cont reach,1797.59,1830.59
,cont in vain,1831.59,1834.59
,cont in vain,1835.59,1837.59
,cont in vain,1838.59,1840.59
28.0,valve opened,1860.59,1863.59
,cont reach,1863.59,1885.59
,cont in vain,1895.59,1900.59
29.0,valve opened,1925.59,1928.59
,cont reach,1928.59,1966.59
,cont in vain,1973.59,1976.59
,cont in vain,1977.59,1980.59
30.0,valve opened,1991.59,1994.59
,cont reach,1994.59,2022.59
31.0,valve opened,2056.59,2059.59
,cont reach,2059.59,2061.59
,cont in vain,2062.59,2067.59
,cont in vain,2068.59,2090.59
,cont in vain,2101.59,2105.59
,cont in vain,2109.59,2113.59
32.0,valve opened,2122.59,2125.59
,cont reach,2125.59,2136.59
,cont in vain,2137.59,2156.59
,cont in vain,2157.59,2159.59
33.0,valve opened,2188.59,2190.59
,cont reach,2190.59,2199.59
,cont in vain,2200.59,2211.59
34.0,valve opened,2253.59,2256.59
,cont reach,2257.59,2270.59
,cont in vain,2271.59,2280.59
,cont in vain,2282.59,2287.59
35.0,valve opened,2320.59,2323.59
,cont reach,2322.59,2326.59
,cont in vain,2327.59,2359.59
,both in vain,2376.59,2385.59
36.0,valve opened,2385.59,2388.59
,cont reach,2387.59,2400.59
,cont in vain,2401.59,2407.59
,cont in vain,2441.59,2449.59
37.0,valve opened,2451.59,2453.59
,cont reach,2453.59,2456.59
,cont in vain,2457.59,2459.59
,cont in vain,2460.59,2481.59
38.0,valve opened,2516.59,2519.59
,cont reach,2519.59,2547.59
39.0,valve opened,2582.59,2584.59
,cont reach,2584.59,2608.59
40.0,valve opened,2647.59,2650.59
,cont reach,2650.59,2674.59
,cont in vain,2675.59,2678.59
,cont in vain,2679.59,2682.59
,cont in vain,2683.59,2687.59
,cont in vain,2692.59,2695.59
41.0,valve opened,2713.59,2715.59
,cont reach,2715.59,2753.59
,both in vain,2757.59,2763.59
42.0,valve opened,2778.59,2781.59
,cont reach,2781.59,2783.59
