n,Behavior,Start,End
21.0,Spout movement,2499.59,2504.59
,Cont missed,2501.59,2505.59
,Cont reach,2506.59,2519.59
,Ipsi moved,2509.59,2521.59
,Cont in vain,2520.59,2539.59
,Ipsi moved,2528.59,2539.59
,Both paw licking,2540.59,2554.59
,Both in vain,2555.59,2564.59
,Both paw licking,2565.59,2572.59
,Both paw licking,2574.59,2587.59
,Both in vain (4),2588.59,2612.59
,Walk,2613.59,2616.59
,Both in vain,2617.59,2623.59
22.0,Spout movement,2620.59,2625.59
,Cont reach,2624.59,2638.59
,Ipsi moved,2624.59,2656.59
,Cont in vain,2639.59,2656.59
,Both in vain (5),2659.59,2685.59
,Both in vain (2),2705.59,2716.59
,Walk,2717.59,2722.59
,Tongue,2721.59,2722.59
23.0,Spout movement,2739.59,2744.59
,Cont missed,2745.59,2746.59
,Cont reach,2747.59,2755.59
,Cont in vain,2756.59,2761.59
,Cont in vain,2762.59,2771.59
,Ipsi moved,2766.59,2773.59
,Cont in vain,2772.59,2775.59
,Cont in vain,2776.59,2778.59
24.0,Spout movement,2861.59,2866.59
,Cont reach,2866.59,2870.59
,Cont in vain,2871.59,2879.59
,Cont in vain,2880.59,2892.59
,Walk,2896.59,2916.59
25.0,Spout movement,2980.59,2985.59
,Tongue,2986.59,2988.59
,Tongue,2989.59,2991.59
,Cont reach,2996.59,3001.59
,Cont in vain,3002.59,3013.59
,Ipsi moved,3009.59,3016.59
,Cont in vain,3014.59,3019.59
,Cont in vain,3032.59,3037.59
,Walk,3052.59,3059.59
26.0,Spout movement,3112.59,3117.59
,Tongue,3118.59,3121.59
,Cont reach,3124.59,3135.59
,Ipsi moved,3126.59,3159.59
,Cont in vain,3136.59,3150.59
,Cont in vain,3151.59,3153.59
,Cont in vain,3154.59,3156.59
27.0,Spout movement,3238.59,3243.59
,Walk,3237.59,3244.59
,Tongue,3243.59,3245.59
,Cont reach,3250.59,3260.59
,Cont in vain,3261.59,3265.59
,Cont in vain,3266.59,3274.59
,Cont in vain,3288.59,3294.59
,Walk,3314.59,3320.59
28.0,Spout movement,3364.59,3369.59
,Cont reach,3372.59,3383.59
,Cont in vain,3384.59,3394.59
,Ipsi moved,3388.59,3406.59
,Cont in vain,3395.59,3406.59
,Walk,3407.59,3414.59
29.0,Spout movement,3486.59,3491.59
,Cont reach,3490.59,3493.59
,Cont in vain,3494.59,3502.59
,Cont in vain,3503.59,3509.59
,Cont in vain,3512.59,3515.59
,Cont in vain,3516.59,3525.59
,Both in vain,3526.59,3531.59
,Walk,3536.59,3548.59
30.0,Spout movement,3605.59,3610.59
,Cont missed,3609.59,3611.59
,Tongue,3611.59,3612.59
,Cont reach,3612.59,3622.59
,Ipsi moved,3609.59,3612.59
,Cont in vain,3623.59,3631.59
,Ipsi moved,3620.59,3625.59
,Walk,3720.59,3726.59
31.0,Spout movement,3726.59,3731.59
,Cont reach,3729.59,3740.59
,Ipsi moved,3736.59,3745.59
,Cont in vain,3741.59,3749.59
,Cont in vain,3750.59,3757.59
,Cont in vain,3758.59,3766.59
,Walk,3777.59,3786.59
32.0,Spout movement,3846.59,3851.59
,Cont reach,3850.59,3858.59
,Cont in vain,3859.59,3867.59
,Cont in vain,3868.59,3874.59
,Both paw licking,3877.59,3883.59
,Both in vain (2),3884.59,3889.59
,Walk,3890.59,3894.59
,Walk,3959.59,3964.59
,Tongue,3964.59,3965.59
,Cont lick,3965.59,3968.59
33.0,Spout movement,3966.59,3971.59
,Cont reach,3972.59,3978.59
,Cont in vain,3979.59,3990.59
,Cont lick,3993.59,3998.59
,Both in vain,4041.59,4046.59
,Walk,4047.59,4055.59
34.0,Spout movement,4085.59,4090.59
,Cont reach,4089.59,4091.59
,Cont in vain,4092.59,4104.59
,Cont in vain,4105.59,4117.59
,Cont in vain,4118.59,4124.59
,Walk,4136.59,4152.59
35.0,Spout movement,4204.59,4209.59
,Walk,4201.59,4209.59
,Cont reach,4210.59,4217.59
,Cont in vain,4218.59,4224.59
,Cont in vain,4225.59,4230.59
,Cont lick,4248.59,4254.59
,Walk,4266.59,4272.59
36.0,Spout movement,4324.59,4329.59
,Walk,4321.59,4330.59
,Cont reach,4331.59,4335.59
,Cont in vain,4336.59,4344.59
,Cont in vain,4345.59,4357.59
,Walk,4401.59,4407.59
37.0,Spout movement,4445.59,4450.59
,Walk,4442.59,4445.59
,Both missed,4446.59,4450.59
,Walk,4451.59,4461.59
,Noise generation,4486.59,4521.89
38.0,Spout movement,4599.59,4604.59
,Cont reach,4603.59,4610.59
,Cont in vain,4611.59,4628.59
,Ipsi moved,4615.59,4631.59
,Walk,4695.59,4718.59
39.0,Spout movement,4719.59,4724.59
,Cont missed,4723.59,4724.59
,Cont reach,4725.59,4729.59
,Cont in vain,4730.59,4743.59
,Cont in vain,4757.59,4764.59
,Walk,4765.59,4773.59
,Both in vain,4781.59,4788.59
,Both in vain (2),4790.59,4815.59
,Both in vain,4818.59,4822.59
,Both paw licking,4823.59,4835.59
40.0,Spout movement,4839.59,4844.59
,Walk,4842.59,4846.59
,Cont reach,4847.59,4860.59
,Cont in vain,4861.59,4874.59
,Both paw licking,4901.59,4920.59
,Both in vain (3),4921.59,4945.59
,Both in vain (3),4948.59,4958.59
,Walk,4959.59,4975.59
41.0,Spout movement,4961.59,4966.59
,Walk,4967.59,4976.59
,Cont missed,4977.59,4978.59
,Cont in vain,4979.59,4981.59
,Walk,4982.59,4993.59
,Noise generation,5002.59,5037.89
42.0,Spout movement,5115.59,5120.59
,Cont reach,5134.59,5144.59
,Cont in vain,5145.59,5157.59
,Ipsi moved,5139.59,5146.59
,Cont in vain,5158.59,5166.59
,Cont in vain,5167.59,5177.59
43.0,Spout movement,5249.59,5254.59
,Noise generation,5290.59,5325.89
,Walk,5366.59,5389.59
44.0,Spout movement,5402.59,5407.59
,Cont reach,5407.59,5416.59
,Cont in vain,5417.59,5431.59
45.0,Spout movement,5523.59,5528.59
,Cont reach,5535.59,5546.59
,Cont in vain,5547.59,5552.59
,Cont in vain,5564.59,5569.59
,Walk,5570.59,5581.59
46.0,Spout movement,5650.59,5655.59
,Cont reach,5676.59,5683.59
,Cont in vain,5684.59,5691.59
,Cont in vain,5692.59,5697.59
,Cont in vain,5698.59,5704.59
,Walk,5740.59,5758.59
47.0,Spout movement,5792.59,5797.59
,Noise generation,5834.59,5869.89
,Walk,5940.59,5955.59
48.0,Spout movement,5947.59,5952.59
,Cont reach,5956.59,5961.59
,Cont in vain,5962.59,5970.59
,Cont in vain,5989.59,5995.59
,Walk,5996.59,6017.59
49.0,Spout movement,6072.59,6077.59
,Cont reach,6107.59,6123.59
,Ipsi moved,6116.59,6123.59
,Walk,6124.59,6139.59
,Walk,6165.59,6183.59
,Walk,6219.59,6234.59
50.0,Spout movement,6222.59,6227.59
,Noise generation,6263.59,6298.89
,Walk,6263.59,6269.59
,Walk,6316.59,6327.59
51.0,Spout movement,6376.59,6381.59
,Walk,6373.59,6400.59
,Noise generation,6417.59,6452.89
,Walk,6487.59,6519.59
52.0,Spout movement,6530.59,6535.59
,Cont missed,6556.59,6560.59
,Cont reach,6561.59,6568.59
,Walk,6569.59,6575.59
,Walk,6647.59,6660.59
,Walk,6672.59,6676.59
53.0,Spout movement,6675.59,6680.59
,Noise generation,6716.59,6751.89
,Walk,6748.59,6776.59
,Walk,6793.59,6798.59
54.0,Spout movement,6829.59,6833.59
,Cont missed,6838.59,6840.59
,Cont reach,6841.59,6847.59
,Cont reach,6848.59,6856.59
,Walk,6857.59,6868.59
,Walk,6914.59,6926.59
55.0,Spout movement,6955.59,6960.59
,Noise generation,6996.59,7031.89
,Walk,7104.59,7121.59
56.0,Spout movement,7109.59,7114.59
,Walk,7135.59,7141.59
,Noise generation,7150.59,7185.89
,Walk,7220.59,7229.59
57.0,Spout movement,7263.59,7268.59
,Cont reach,7269.59,7277.59
,Cont in vain,7278.59,7284.59
,Walk,7285.59,7290.59
58.0,Spout movement,7383.59,7388.59
,Noise generation,7425.59,7450.3
59.0,Spout movement,7538.59,7543.59
,Cont missed,7552.59,7555.59
,Tongue,7555.59,7556.59
,Cont reach,7556.59,7558.59
,Cont in vain,7559.59,7563.59
,Cont in vain,7564.59,7569.59
,Both paw licking,7572.59,7576.59
,Walk,7577.59,7596.59
,Walk,7623.59,7648.59
60.0,Spout movement,7669.59,7674.59
,Noise generation,7710.59,7745.89
,Walk,7796.59,7803.59
61.0,Spout movement,7823.59,7828.59
,Noise generation,7865.59,7900.89
,Walk,7879.59,7917.59
62.0,Spout movement,7977.59,7982.59
,Noise generation,8019.59,8054.89
63.0,Spout movement,8132.59,8137.59
,Noise generation,8173.59,8208.89
64.0,Spout movement,8285.59,8290.59
,Walk,8293.59,8301.59
,Tongue,8302.59,8303.59
,Cont reach,8302.59,8306.59
,Cont in vain,8329.59,8338.59
,Ipsi moved,8334.59,8340.59
,Cont in vain,8339.59,8345.59
,Walk,8346.59,8358.59
65.0,Spout movement,8417.59,8422.59
,Noise generation,8458.59,8483.59
,two photon imaging,,8483.59
