x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.7473877,0,0,0,0.38955507,0,0,0,0,0,0.2236244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1342716,0,0,0,0,0,0,8.422873,0,0,0,11.35459,0,16.802872,7.8418865,3.2324805,1.1112611,0.6501013,0,0,0.04600562,0
2,0,6.016634,0,0,0,3.3739254,0,1.2431258,0,0.21333446,5.3378625,0.7818882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.969602,17.091827,1.7976618,0,0,0.40433484,6.6521626,2.695044,4.346083,0.03604319,0,1.2518897,0.032061167,3.058204
3,1.9054719,0,5.5865397,1.1462859,0.120501496,0,6.2541466,0,0,0,0.115036726,0,0,1.450991,0,3.269482,0,2.717049,0.6392888,2.2680988,1.8234138,3.6886084,1.8786697,0,0.36745173,2.332374,3.5578172,1.7430671,0,2.5255978,6.518725,1.1019334,2.177381,0,0.023825789,3.9575925,0,0,0,0,0.5577898,0.65387416,0.42787847,8.743894,0.120347485,0,0.2130779,0,1.2587762,2.6140862,0
4,0,0,0,0,0,0,3.616248,2.1694598,1.5004333,0,0,0.98262703,0,0,2.9367588,1.5799966,0,3.060366,2.1657581,0.39337018,0,0,0,1.543385,0.29946652,2.319788,0,3.8151448,0.054359477,0,0,0,0.33567765,0,1.588283,4.242697,0,0,0,0.23595876,5.774606,0.67782134,0,0,0,0.10325401,0.58647007,0,0.5732448,0,1.5586443
5,0,0,3.5129988,2.1920342,0,0.3711882,6.903182,0.92116725,0,0,1.4914817,3.1743653,5.915851,1.4381151,0,0,0,0.4581675,0,0,0.4191774,0,0,1.9521677,1.9326648,0.99639416,0.43328103,0,5.668136,0,9.1793785,0,0.21058804,8.777964,4.537242,0,0,0.85951734,0,0,0.85298574,1.3750004,3.9302833,0,0,3.0417478,2.7451382,0,0.7540779,1.4923269,0
6,0,0,0,0,0.3173133,0,10.076999,0.7560912,2.1970289,1.9432671,0,0,2.971578,0,2.266622,0,0,0,0.20381866,1.394536,1.915852,1.9865016,1.0654317,0.42087087,2.6202638,0,0.3833051,0,1.598567,1.2193377,0,4.0468745,1.3956212,0,4.5304217,0,0,1.0401435,0,0,1.4117334,0,2.563145,0,0,6.0661798,0.909279,0,0,0,0
7,0,0,0,3.5854652,0,0,0,0,0,0.7296809,0,0,3.1339514,0,1.1263156,0,0,0.3876412,1.8058143,0,1.7314712,7.243197,1.6048869,1.5458722,0,0,0,0.51140547,0,3.5264108,8.16724,10.839976,0.6037686,0,0,4.6435947,4.2461457,1.776576,0.3748234,0,0,2.2221835,0,0,0,0,0.3375564,1.6850407,0,9.346813,0
8,0,2.6033454,2.7285175,0,0,1.167621,16.522005,0,0.35328984,0,3.642661,3.3974538,0.9154201,0,1.9979023,1.7940638,1.1648736,1.2353711,0,0,0,4.336041,0.80743396,0,0,0,2.1695194,0,0,2.092967,0,0,0,0,6.1257534,2.8564944,0,0,4.5737677,0.6024067,0,0,0,4.319333,0.15929484,0,0.37059113,0.94085,0,7.4999256,0
9,0.2737964,0,0,0.44791853,0,0,0,0.96961147,0,0,1.170621,0,1.1555548,2.0367446,0,0.26629183,3.3719232,1.6265059,0,0,2.3110049,0,0,0,1.5646746,0.16122441,0,0,3.4267855,0,0,0,2.0593455,0.5767494,0,0,0,0.8920306,0,1.8318249,0,0,1.2741476,0,0,0,0.09766598,0.12443111,0,0,1.3923715
