Trial #,Behavior,Start,End
,cont missed,4857.59,4862.59
,tongue reach,4857.59,4862.59
75,valve opened,4919.59,4922.59
,tongue reach,4922.59,4933.59
76,valve opened,4985.59,4988.59
,cont reach,4988.59,4997.59
,walk,5028.59,5035.59
,both in vain,5036.59,5040.59
,both in vain,5041.59,5045.59
,both in vain,5046.59,5051.59
77,valve opened,5051.59,5054.59
,cont missed,5059.59,5067.59
,noise generation,5090.59,5125.89
78,valve opened,5151.59,5155.59
,tongue reach,5176.59,5181.59
79,valve opened,5240.59,5243.59
,noise generation,5279.59,5314.89
80,valve opened,5341.59,5344.59
,noise generation,5379.59,5414.89
81,valve opened,5441.59,5444.59
,noise generation,5480.59,5515.89
82,valve opened,5542.59,5545.59
,noise generation,5580.59,5615.89
83,valve opened,5642.59,5645.59
,noise generation,5680.59,5715.89
84,valve opened,5742.59,5745.59
,tongue,5759.59,5750.59
,noise generation,5781.59,5816.89
85,valve opened,5843.59,5846.59
,noise generation,5882.59,5917.89
,Cont paw movement,5941.59,5944.59
86,valve opened,5943.59,5946.59
,noise generation,5982.59,6017.89
87,valve opened,6044.59,6047.59
,noise generation,6082.59,6117.89
88,valve opened,6144.59,6147.59
,noise generation,6183.59,6218.89
89,valve opened,6245.59,6248.59
,noise generation,6283.59,6318.89
90,valve opened,6345.59,6348.59
,noise generation,6384.59,6419.89
91,valve opened,6446.59,6449.59
,tongue,6450.59,6451.59
,noise generation,6484.59,6519.89
92,valve opened,6546.59,6549.59
,noise generation,6584.59,6619.89
93,valve opened,6647.59,6650.59
,noise generation,6685.59,6720.89
94,valve opened,6747.59,6750.59
,noise generation,6786.59,6821.89
95,valve opened,6847.59,6851.59
,noise generation,6886.59,6921.89
96,valve opened,6948.59,6951.59
,noise generation,6986.59,7021.89
97,valve opened,7048.59,7051.59
,noise generation,7087.59,7122.89
98,valve opened,7149.59,7152.59
,noise generation,7187.59,7222.89
99,valve opened,7249.59,7252.59
,noise generation,7288.59,7323.89
100,valve opened,7350.59,7353.59
,noise generation,7388.59,7423.89
,two-photon imaging,,7461.59
