x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028
461,1.2971246,0.81124264,0,0.002053716,0,0,1.6243984,0,0,0,0,1.11794,0,0,0,0,2.7690976,0,0,0.28530312,0,0.49642348,0,0.4044153,0,0,0,1.6806803,0
462,0,0,0,0.07499149,0,0,0,0,0,0,0,0,0,0,0.26947728,0,0,0,3.584732,0,0,0,0,0.6987918,0.16109352,0,0,0.12903124,0
463,1.0701745,0,0,0,0.466809,1.3831336,0,0,1.2225972,1.249991,0,0,0.093311585,0,0.37480572,0,0,1.065375,0,0,0,0.011038248,0,0,0.024904545,0.5795919,0.043874383,0,0
464,3.1808639,0,0,0,1.6348511,0,0.5552358,0,0.7102184,0,0.4086806,0,0,0,0,0,0.8233341,0.46900648,3.892471,0,0,0.8407848,0.84258556,0,2.7618928,0,0.4599752,0.47101983,0
465,0,0,0,0.75534165,1.9598938,0,0,0.024130508,0.48530683,0,0,0,0.048536126,0,0,0,0.090502754,0,2.9636335,0.3953966,0,0,0,0,0,2.720536,0,0,0.083330035
466,0,2.829417,0,0,0,0,0,0,0,0.2402047,0,0.07708259,0.3027184,0,1.3139753,0,0,0,0,0,0.84666336,0,0.11216707,0,0.40763798,0,0,0.7253914,0.44547513
467,0,0.051945716,0.62850344,0.94785434,0,0,0.50766575,0,0.4888595,0,0,0.9357634,0,1.7735044,0,0,0.006326848,0,1.8824576,0,0,0,0,0,0,0,0.8475819,0,0.028660221
468,0,0,0,0,0.5065843,1.6809331,0,1.5191994,0,0,0.73441756,2.1886413,0,0,0,0,0,0,0,0,3.475149,0,0,0,0,1.705161,0,0.5461994,0.12276644
469,0,0.3352824,0,0,0,0.71704733,4.1809597,0,0,0.015040699,0,2.8223991,0.90865093,0,0,1.396134,0,1.0629709,0,0.9760763,0,0,0.9645307,0,0,1.9962218,0,0,0.18501133
470,1.0772511,0,0,0.7238998,0,1.1010195,0,0.78992987,0,0.5703282,1.3600305,0,0.22561245,0,0,0.4199797,0,0,0,0.055371925,0,0.010131886,0,0.6597773,0,3.1832473,1.5076814,0.46922895,1.0223562
471,0.67359614,0,0,0,0.20875306,0,0,0.5836016,0,0,0,0,0,0,0,0,0,0,0,1.3840042,0,0,0.46517086,1.6599138,0,0,0,0,0
472,0,0,0,0.12650785,0,0,1.5369138,1.042616,0.5364182,0,0,0,0,0.4153578,0,1.7561188,0,0,1.7810816,0,1.3309004,0,0,0,1.1684636,0,0,0,0
473,0,0,0,0.30686453,0.6055584,0,0,0,0.55910677,0.14408456,0,0,0.770652,0.0723854,0.69761854,0,0.33278483,0.2692169,0,0.86059034,0,0,0,0.09251675,0.94742334,0,0,0,0
474,0,1.2291557,0,0,0,0.5478294,0,0,0,0,0,0.5589563,0,0,0.35215086,0,0,0,0,0.15234816,0,0,0,0,0.38738355,0,0,0.45935962,0.19644633
