features,LR,LGB,XGB,RF,SVM
y0000,True,True,True,True,True
y0001,True,True,True,True,False
y0002,True,True,True,True,True
y0003,True,True,False,False,True
y0004,True,True,True,True,True
y0005,True,True,True,True,True
y0006,True,True,True,True,True
y0007,True,True,True,True,True
y0008,True,True,True,True,True
y0009,True,True,True,True,True
y0010,True,True,True,True,True
y0011,True,True,True,True,True
y0012,False,True,True,True,False
y0013,True,True,True,True,True
y0014,True,True,True,True,True
y0015,False,True,True,True,False
y0016,False,True,True,True,False
y0017,True,True,True,True,True
y0018,False,True,True,True,False
y0019,True,True,True,True,True
y0020,True,True,True,True,True
y0021,True,True,True,True,True
y0022,False,True,True,True,False
y0023,True,True,True,True,True
y0024,False,True,True,True,False
y0025,True,True,True,True,True
y0026,True,True,True,True,True
y0027,False,True,True,True,False
y0028,True,True,True,True,True
y0029,True,True,True,True,True
y0030,False,True,True,True,False
y0031,True,True,True,True,True
y0032,False,True,True,True,False
y0033,True,True,True,True,True
y0034,True,True,True,True,True
y0035,True,True,True,True,True
y0036,False,True,True,True,False
y0037,True,True,True,True,True
y0038,False,True,True,True,False
y0039,True,True,True,True,True
y0040,True,True,True,True,True
y0041,True,True,True,True,True
y0042,True,True,True,True,True
y0043,True,True,True,True,True
y0044,False,True,True,True,False
y0045,False,True,True,True,False
y0046,True,True,True,True,True
y0047,True,True,True,True,True
y0048,True,True,True,True,True
y0049,True,True,True,True,True
y0050,True,True,True,True,True
y0051,True,True,True,True,True
y0052,True,True,True,True,True
y0053,True,True,True,True,True
y0054,True,True,True,True,True
y0055,False,True,True,True,False
y0056,False,True,True,False,False
y0057,True,True,True,True,True
y0058,False,True,True,True,True
y0059,True,True,True,True,True
