features,LR,LGB,XGB,RF,SVM
y0000,True,True,True,True,True
y0001,True,False,True,True,True
y0002,True,False,True,True,True
y0003,True,True,True,True,True
y0004,True,True,True,True,True
y0005,True,True,True,True,True
y0006,False,True,True,True,True
y0007,True,True,True,True,True
y0008,True,True,True,True,True
y0009,True,True,True,True,True
y0010,True,True,True,True,True
y0011,True,True,True,True,True
y0012,True,True,True,True,True
y0013,False,True,True,True,True
y0014,True,False,False,True,True
y0015,True,False,True,True,True
y0016,True,True,True,True,True
y0017,True,True,True,True,True
y0018,True,True,True,True,True
y0019,True,True,False,True,True
y0020,True,True,True,True,True
y0021,True,False,True,True,True
y0022,True,True,True,True,True
