features,LR,LGB,XGB,RF,SVM
y0000,False,False,True,True,False
y0001,True,True,True,True,True
y0002,True,True,True,True,True
y0003,False,True,True,False,False
y0004,True,True,True,True,True
y0005,True,True,True,True,True
y0006,False,True,True,True,False
y0007,True,True,True,True,True
y0008,False,True,True,True,False
y0009,False,True,False,True,False
y0010,False,True,True,True,False
y0011,True,True,True,True,True
y0012,True,True,True,True,True
y0013,False,True,True,True,False
y0014,False,True,True,True,False
y0015,False,True,True,True,False
y0016,False,True,True,True,False
y0017,False,True,True,True,False
y0018,True,True,True,True,True
y0019,False,True,True,True,False
y0020,True,True,True,True,True
y0021,True,True,True,True,True
y0022,True,True,True,True,True
y0023,True,True,True,True,True
y0024,False,True,True,True,False
y0025,False,True,True,True,False
y0026,True,True,True,True,True
y0027,False,True,True,True,False
y0028,False,True,True,True,False
y0029,False,True,True,True,False
y0030,False,True,True,True,False
