features,LR,LGB,XGB,RF,SVM
y0000,True,True,True,True,True
y0001,False,True,True,True,False
y0002,False,True,True,True,True
y0003,False,False,True,True,False
y0004,False,True,True,True,False
y0005,True,True,True,True,True
y0006,False,True,True,True,False
y0007,True,True,True,True,True
y0008,True,True,True,True,True
y0009,True,True,True,True,True
y0010,True,True,True,True,False
y0011,False,True,True,True,False
y0012,False,True,True,True,False
y0013,True,True,True,True,True
y0014,True,True,True,True,True
y0015,False,True,True,True,False
y0016,True,True,True,True,True
y0017,False,True,True,True,False
y0018,True,True,True,True,True
y0019,True,True,True,True,True
y0020,True,True,True,True,True
y0021,True,True,True,True,True
y0022,True,True,True,False,True
y0023,True,True,True,True,True
y0024,False,False,False,True,False
y0025,True,True,True,True,True
y0026,True,False,True,True,True
y0027,True,False,True,True,True
y0028,True,True,True,True,True
y0029,False,False,True,False,False
y0030,True,True,True,True,True
y0031,True,True,True,True,True
y0032,True,True,True,True,True
y0033,False,False,True,True,False
y0034,True,True,True,True,True
y0035,True,False,False,True,True
y0036,True,True,True,True,True
y0037,False,True,True,True,False
y0038,False,True,True,True,False
y0039,False,True,True,True,False
y0040,True,True,True,True,True
y0041,True,True,True,True,True
y0042,False,True,True,True,False
y0043,False,True,True,True,False
y0044,True,True,True,True,True
y0045,True,False,True,True,True
y0046,True,False,False,False,True
y0047,True,True,True,True,True
y0048,False,False,True,True,False
y0049,False,True,True,True,False
y0050,True,True,True,True,True
