features,LR,LGB,XGB,RF,SVM
y0000,True,True,True,True,True
y0001,False,False,True,False,False
y0002,True,False,True,False,True
y0003,True,True,True,True,True
y0004,True,True,True,True,True
y0005,True,True,True,False,True
y0006,True,True,True,True,True
y0007,True,True,True,True,True
y0008,False,True,True,True,False
y0009,True,True,True,True,True
y0010,True,True,True,True,True
y0011,True,True,True,True,True
y0012,True,False,True,False,True
y0013,True,False,True,True,True
y0014,True,True,True,True,False
y0015,True,False,True,False,True
y0016,True,True,True,False,True
y0017,True,True,True,True,True
y0018,True,True,True,True,True
y0019,True,True,True,True,True
y0020,True,True,True,True,True
y0021,True,True,True,True,True
y0022,True,True,True,True,True
y0023,True,False,True,False,True
y0024,True,True,True,True,True
y0025,True,False,True,True,True
y0026,True,False,True,True,True
y0027,False,False,True,True,False
y0028,True,False,True,True,True
