x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052,y0053,y0054,y0055,y0056,y0057,y0058,y0059,y0060,y0061,y0062,y0063,y0064,y0065,y0066,y0067,y0068,y0069
691,0,0,0,0,0.72915924,0,0.10901546,0,2.630218,0,0,0,0.7417107,10.782906,0,0,0.30454475,1.874808,0,0,0,0,0,0.82590705,1.8107725,0,0,0,0,2.8831744,5.725466,0,2.5487866,0,0,1.4907058,0,0,0.9562793,1.5194764,0,0,0,0,0,0,0,0,0,8.62232,0.34053585,0.7542753,0,0.43060625,0,0,1.0869855,0.3846779,0,3.2078543,0.6848302,0,0,0,0,0,0.61105096,0,0,0
692,0.90264535,0.001103531,0,1.2482753,0,0,0,0,0,0.36460748,0.3531083,0,2.3416495,0,0,0.94198304,3.262117,0,4.324425,0,0,0.017398197,0.009549523,0,1.0359176,0,0,0,0,0,0,0,0,0,0,0,1.8060853,2.1810696,2.0006218,0.078193516,0.71916556,0,0.27950743,0.6829622,0,0,0,0,0,0,0,0,0.7395477,0,9.179755,0,0,0.5940627,0,6.211321,0.31948373,1.7527087,0,0.90433764,0,0.7464957,0,0,0.2016311,0
693,0.0523718,0,0,0,7.347054,3.7199864,0,0,1.5368747,0,0,0,0,1.0828415,1.7977767,0,0,2.0216088,1.4335967,0,0.030129794,5.6834664,0.49799168,1.0876412,3.007746,0,0.57715374,0,0,0,1.0159135,0,3.3425355,10.003236,0,0.43717575,0,0,0,0,0,0,0.43911967,0.38074043,0,3.8454087,0,5.5216203,0,1.3550732,0,0,1.6673578,0,0,0,1.5698934,0,0,1.5611626,4.13217,0,0,0,0,2.5078962,0.65835977,0,0,0
694,0.88809335,0,6.266219,0,0,0,0,0,0.48284286,0,0.18383661,0,0,5.774988,0,0.114946865,1.6947827,4.870933,0.65610826,0.19059071,0,0,0,0,4.5396056,0,0,7.6543174,0,6.1894794,0,0,0,0,0.30754367,0,0,0,0,0,0,0,0,0.95261014,0,0,0,6.9602723,0,5.4067016,0,0,5.5670514,1.1455054,0,0,1.0205406,0,0,0,0,0,0,0,0,3.2885084,6.5103707,2.983931,1.1919895,0.394971
695,2.6793885,0,1.0290278,0.057627108,3.7164502,0.09602336,0,0,0,0,0,0,1.8941178,1.6491311,0,0,0,0,3.3554251,0,0,0,0,0,3.02099,0,0,0.037143998,4.8059726,0,0,0,0,0,7.2852454,0,0,0,0,0,3.5501146,0,0,0,0.95949554,0,1.5824447,0,0,0.5520807,0.98400044,2.680567,1.5678598,0,0,0,1.2979345,0.029833157,0,0,2.9916377,0,0,2.6603963,0,0,0.2399378,0,0,0
696,0.55470026,0,0,0,0,0,0,0.5769529,0,2.8372746,0,0,0,2.3138306,0,0.16152939,0,0,0,0,0,4.6986003,0,0,0,0,0,4.8981304,0,0,0,0.32467464,0,0.85145843,0,0.33708033,0,0,0,0,0,0,0,1.0166421,0.33324805,0,1.0865855,0,0.8531882,0,0,0.51791084,0,1.0937718,4.903793,0,0,0,4.7337146,0,0,0.44847238,0,0,0,0,0,0,2.8355126,0.50292975
697,0,7.162297,9.074001,1.4124293,0,0,0,2.4933426,0.032733604,0,2.968379,0.09643081,1.1320194,0,0,2.1612213,4.4303036,0,2.499802,0,0,0,2.9395359,0.35131192,0,2.0649898,0,0,0,0,0.3342307,0,3.0156033,0,0,3.6390362,0,3.20916,5.193061,0,0,1.2612592,0,0,0.6168134,0,0,9.010205,5.2567997,0,0,0,3.6337411,0,3.126759,0,0,0,7.3210697,0,0,0,0,3.519393,0,0,0,0,2.4449239,6.4992704
698,0.0646077,3.0634067,0,0.96352834,0,0,1.8116889,0,0,0,0,0,0,0,0,0.051298738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0188477,0,0,0,0,1.702997,1.0407434,8.21893,0.55891526,0,0,0.025752027,0,0,2.4396627,0,8.013336,0,0,0,0,0,0,5.0907173,1.3320407,0,0,0,0,0,0,0,0,0,0.48397544,0,0,0,0
699,0,0,0,0,0,3.9849675,0,0.8830044,1.5531093,4.7688146,1.9240491,0,0,0,0,0,1.4771326,3.0009701,1.8549255,2.43856,0,0,2.613264,0.86739737,0,1.7785248,2.7138686,0.8997962,0,0,4.4214396,0.18840618,6.0765142,0,0,0,0,2.6840494,0,3.3370295,0,2.8180068,0,1.8663571,1.0076696,3.5260553,0,8.31836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6099163,0,0,4.345199,2.0329804,0,1.2827866,3.086319
700,0,1.683269,0,0.71130925,0,0,0,0,0,0.26067472,2.8792999,0,0,0,0,2.0068321,1.3201296,0,0.56534964,0,0,0,1.0141773,0,0,1.4058518,0,0,0,0,0,2.4108295,7.9398074,0,0.65540975,0,0.15394455,2.340196,0,1.1186002,0,2.875665,0,0,2.1691577,0,0.9913933,0,0,0,4.2632046,0,0,0,7.483169,0,0,0,4.6526623,0,0,0,0,6.6570935,0,0,0,0.8402377,0,0.9604785
