x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024
35,0.9745176,1.3536916,0,0,0.7708162,1.3216134,0.27318135,0,0,0,0,0,0.24161445,2.3760269,0,2.6154723,0.66556954,2.3080173,0,0,0,1.4431161,0.684611,0,0
36,0.499156,0,0.9301708,0,0,2.1990528,0.9991186,0,0,0.6242389,0.14183044,0,0,0,0,0,0,0,0.89816475,0,0.5538937,0.26664698,0,0,0
37,0,1.296558,0.032734513,0,0.64312273,0,0,0.43550083,0.013464239,0,0,0,0,0,0,0,0,0.7394773,0.40187025,0,0,0.013649202,0,0.38794437,1.4829369
38,0,0.28377894,0.875021,0,0.034660067,0,0,1.2974017,0,2.2358942,0.94168556,0.37861478,1.5437422,0,0,0,1.951367,2.4929376,0.44428265,1.1243734,0,0,0,0,0
39,0.6616547,0,0.6575472,1.7027487,0,1.2468169,0.608388,0,0.5104664,0,0,0.5633759,0,0,0.5345551,1.4349129,0,0.5135018,0,0,0,0.60552627,0.27090204,1.0932316,0.051936377
40,0,0,1.4481214,0,0,1.0413094,0,1.8559195,0.08762652,0,2.8877852,0.04189567,0,2.4764638,0,0,0,0,0.32073793,0.24112235,0,0,1.1781484,0,2.2659585
41,0,0,0.36530614,0,0,1.7603838,0.4226122,0,0.773566,0,0,0.5405121,0,0.016571423,0,0,1.1180147,1.6252463,0.0748145,0,0,0,0,0.5380937,0
42,0,0.49845055,0,2.211257,0,0,0.82048994,0.005041796,0.06331873,0.6544669,1.2578586,0.29856688,0,0.4911904,0,0,0,0.64628077,0.41996452,0.3693544,0,0.51454645,0.6140577,0,0
43,0,0.66948384,0,0,0.058664545,0.64837605,0,0,1.4179419,0,1.6788607,0,0,2.2296636,1.0586447,0.2581003,0.5317304,0.27604803,0.9164952,0.23520261,0.055939965,0.27025196,0.90216047,0,0
44,0,0,0,0,1.3846833,0,0,0,0,0,0,0,0.640862,0,0.27449346,2.7811666,0,1.2102218,0,0,0,0,0,0,0
45,0,0,0,0,0.033629715,2.6557384,3.667834,0,0,0.085385986,0,0,0.13018234,0,0,0,0,0,0,0.6197536,0,0,0,0.5017634,0.1946527
46,0.23367429,0,0,0.9669744,0.55781597,0,0,3.8910828,0,0,0.24554509,0,0,0,0,0.117643155,0.9317915,5.5528393,0,0.91124827,0,0,0,1.2451545,0.39106083
47,0,0,0.65024847,0,0,0,0,0,0,0,4.017736,0,0.3853416,0.15200499,0,1.9373087,0.73923194,0,0,0.288485,0,0.01000128,0.74907565,0,0.6692576
48,0,0,2.2380242,0.48027733,0.002949015,0,0,0.113728516,0.3125155,0,0,0.40880132,0.012794401,0,0.516762,3.4248948,1.6509758,0,0,0,0.97814626,0,0,0,0
49,1.4593192,0.107316,0.4508306,1.699825,0,0,0,0.18950409,0.20989428,0.014565746,2.8498785,0,0,0,0,0,0,4.9967175,0,0,0.25796568,0,0.74639904,0.863665,1.0451181
50,0.16170998,0.43426087,0.31016108,0,0,0,0,0,0,0.30456176,0,0.31042013,0,0,1.2967433,0,0.4929745,1.1710385,0.62168145,0.43025926,0.0802671,0,0,1.7810848,0
51,0.000942978,0,0.069976725,0,0.09422043,0,0.2568542,0,0,0.004543721,0.59309685,0.6894053,0,1.5312849,0,0,0,1.6009195,0,0,0.21710457,0.73100114,0.32640794,1.028165,0
52,0,0,0,0.3004284,0.24949282,1.3756614,1.6885867,0,0,0.045287505,0.1143093,0,0,0.020812564,0,0,0,0,0,1.6167754,0.31546587,0,0,0,0.5583029
53,0,1.3307521,0,0,1.5962707,0,0.646411,0,0,0,0,0,0,0,0.9236583,0,0,0,0.4482416,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,1.9615333,0,0,1.8931803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077369116,0.10241274,0,0,0,0
56,0,0,0,0,1.0470682,0,1.5581822,0,0.7015983,0,1.5519538,0,1.0191419,0,0,0.5234358,0,0,0,0,0,1.2817954,0,0,0
57,0.20015836,0,0,0,0.5359346,0.9541647,2.4077606,0,0,0,0,0,0.15794145,0,0,0,0.21646076,0,0.98366404,0.12906277,0,0,0,0,0
58,0.7364981,1.2189274,0,0,0.8012329,0.50704926,0.2404198,0,0,0,0,0,0,0,0,0.59773064,0,0.95003676,1.5276762,0.11704667,0.64855254,0,0,0,0.027655147
59,0,0,0,0,0.30303785,0,0.61316675,0,0,0.23289557,0,0,0.5578072,0.18714549,0,0,0,0,0.14640224,0,0.65241605,0,0,0,0.39332357
60,0.855013,0.495478,0,0,4.1238523,2.6298494,3.1109843,0.2794406,0,0,0,0,0.76812774,0,1.8953439,0,0,0,0.12933108,0.48744863,0.577049,0.19580512,0.020759204,0,0
61,0,0,0,0,0,1.1657096,0.14766213,0,0,0,0,0,0,0.7808371,0,0,0.536943,4.6873736,0.1014356,0,2.0775533,0.8715827,0,0,0.9014732
62,0.15885104,1.0307605,0.31904298,0,0,0.41811687,0,0,2.7627747,0,0,1.6065588,0,0.8127708,0.28387037,1.5837913,2.39913,0,0.26785478,0.77093995,0.32117406,0,0.5199575,1.057816,0
63,1.7695445,0,0.36116225,0.074459426,0,1.4904468,1.8923292,1.1723921,0.83809143,0.084219545,3.3363929,0,0.68728477,0,0.21055196,0,0,0,1.8078481,0,1.2126334,0,0.6408456,0,0.37671703
64,0,0,0,0,0,0.001307347,1.8660158,0.7054206,0.22480431,0,0,0.010329791,0.038340546,0,0.9062834,0,0.36288193,1.9572477,0,0,0,0,0,0.81736135,0.9400273
65,0,0,1.2131041,2.2355618,0.57101405,2.3661745,0.5930257,1.0436503,0,0.52451456,0,0,0.25811076,1.7477989,2.3957143,0,0,0,0,0,0,0,0,0.14320952,0
66,0,0,0,0,0,0,0,0.17727883,0.3872142,0,0,1.1715735,0.3103414,0,0,0.45878884,0,1.0415738,0,0,0,0.86255753,0.64685184,0.055742767,0.40895072
67,0,0,0,0,0,0,0,0,0,0.8680113,0.22048533,0.034140524,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,2.3299563,0,0,0,0,1.5723441,0,1.3367757,5.8817368,0,0,0,0,0,0,0,0.46625173,0,0,0,1.0880606,1.1890079,0
69,0,0,0.93685067,2.990175,0,0.56616634,0,0,0.6178377,0.5052711,0,0,0,0,0,0.5626017,1.0595708,0,1.0386369,0,0.9505419,0,0.07971067,0,0
70,0.67994845,1.0425458,0,0,0,1.2043612,0.3799334,0,0,0.49608162,0,0,0.63451076,0,0.4063553,0.778483,0,3.5753396,0,0.7302532,0.068542816,0.47146565,1.3671641,0,0
71,0,0,0.33242482,0,2.427773,0,0.932416,1.3661083,0.2844501,0,0,2.9438074,1.724498,1.604651,0.37422583,1.476691,0.37725005,2.52919,1.1318351,1.5209236,0,0.21378501,0,0,0.01291059
72,0,0,1.4084277,0,0.07334618,0,0,0,0,0,0,0,0,0,0,0,0.79452056,4.037546,0,0.025898391,0.6225644,1.4050364,0.27170742,0.43117478,0
73,0,0.12215986,0.021974267,0,0.051367935,0,0,0,0.5810177,0.4125443,0,0,0,0.27611238,2.1362422,1.0909524,2.6316466,0.06015469,0,0.09396893,0,0,0,0,0
74,0.3740754,0,0.41670096,0,0,0.6795709,0,0,0.6577302,0,0.38169405,0.61878115,1.8963634,0.41444987,0.4877042,2.159054,0,0.9328412,1.8347634,0,0,0.026944252,0,0.4368643,0
75,0,0,0.7981817,1.5803703,0,0,0.8312544,0,0,0,1.3261216,0,0,0,0.4567987,0.35306188,1.7423995,0,0.19618395,0,0.48538074,0,0.015799291,0,0
76,0,0.28119478,0,0.9452354,0,0,0,0,0,0.613266,0.762875,0.4057666,0,1.1894888,0,0,0,0,0,0,0,0.8126943,0.08520186,2.1364698,0
77,0,0,0.111232996,0.2085735,0,0,1.5070107,0,0.5056485,0,0,0,0.16365059,0,0,1.6079496,0,3.3332026,0,0,0.9321914,0,1.2366306,0.21474193,0
78,0.6985124,1.696006,0,0,0,0,0,1.04728,0.14551823,0.37195054,0,0.67385536,0.18639979,0,0,4.216644,0,0,0.8767222,0,0,0.50030386,0.9399353,0,0
79,0,0,0,0.4017526,0.12617914,1.8585032,0.98321766,0,0,0,0,1.8665667,0,1.2209299,0,0,2.0586379,1.593783,0.24882409,0,0,0,0,0,0.39281833
80,0,1.2000947,1.7122167,0.67034376,0,0,0,0,0,0,2.2483773,0,0,0.27026913,0.7413606,0.8566679,0,0,0.001647121,0.41903245,0.958318,0.32548994,1.7630973,0,0.40864643
81,0.6141708,0,0.3774756,0,0.27505627,1.0047272,0,3.080211,1.352017,0,0.041790936,1.286773,0,0,0.6610378,0,1.1063032,0,0,0,0,0,0.042302698,0,0
82,0,0,0,0,0.08263295,0,0,0,0,0,0,0.67345715,0,0.49957913,0.62771815,0,0,0,0.18848492,0,0.5211203,0,0,0,0.90582484
83,0,0,0,0,0,0,0,0,0,0,2.5879338,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0.000647253,0,0,0,0,0,0,1.5741278,0,0.8000258,1.3952649,0,0,0,0,0,0,0,0,0,0,0.027070884,0,0.36309522,0
85,0.8164177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8497278,0,0,0,0,0,0,0.20566303,0.8480522,0.115809664
86,0,0,0,0,0.92118984,0.79678243,1.9306413,0,0,0,0,0,0,0,0,4.6536703,0,0,0,0.92570704,0.515517,0,0,0,0.24561457
87,0,0.22297962,1.125015,0,0,0,0,0.035512917,0,0,0,0.63367414,0.19953008,0.22403538,0,0,0,0.2543778,0,0.34840313,0,0.54609466,0.09786328,0,1.2205296
88,0,0.47923246,1.7605027,0,0.4051436,0.80760926,0,0,1.6143097,1.499875,0,1.4386756,0,0,0.18295377,0,0,2.019713,0,0,1.1497113,0.44326055,0.038958535,0.4123384,0.40657607
89,0,0,0,1.6121355,0,0,0,0,0,0.8890568,0,0,0,0.74334717,0,0,0,0,1.8045713,0,0,0,0.2902054,1.2498896,0.70767105
90,0,1.3304383,0.39776304,1.4968005,0,0.51073086,1.2168859,0,0,0,0,0,0.73598564,0.017908666,0,0,0.07557616,0,1.831886,0,0,0,0.88966084,0,0
91,0,0,1.343289,0.07851627,0,0,0.638258,0,0.21958323,0,0,1.9746864,0.7110266,0,0,0,0.03945278,0,0,1.107809,0,0,0,0.13027038,0
92,0,0,0.74210536,0.13717465,0,1.3344207,0,0,0,0.010143423,4.1077747,0.5133328,0.018646821,1.209627,0.47268465,0,0,0,0,0,0,1.4190136,0.27877876,0,0.083420224
93,0.548044,0,0,0,2.0352912,0,0,0,0,0.69586563,0,0,0.95772576,0.11479588,1.4374211,0.7989499,0,0.17432119,0.48050383,0,0,0.51113087,0,0,0.04845292
94,0.5893633,0.65598994,0.12011963,0,0,0,0,0.18741693,0.29309744,0,0,0,1.9021755,0.25340483,0,0.26305652,2.3848145,1.8406383,0,0,1.7475609,0.33561426,0.28063342,0,0.38060653
95,0,0.36270803,0,0,0,0,0.4055333,0,0.5984496,0,0,0,0,0.3688691,0.001432706,0,0,0,0,0.56103164,0,0.23451827,0.5402541,0.44084764,0
96,0.7136554,0,0,0,0,0,0,0,0,0.072449066,1.1090889,0,1.0322101,0.064659424,0.06554746,0,0,0,0,0.1519269,0,0,1.0485762,0,0
97,0.5117877,0,0,0,0.28244308,0.6460526,0,1.5026159,0,0,0,0,0.23548278,0,1.0827956,1.00158,1.1568085,0.07882676,0,0.22805934,0,1.0549923,0,0,0
98,0,0.6292167,0.07610231,0,0,0.30063,0,1.3920474,0,0,0,0,0.5230258,0,0.64341396,2.8981133,0,0.45850998,0,0,0,0,0.86123544,0,1.2602626
99,0,0,0,0.52438045,0,0,0,0.4125692,0,0,5.0854983,0,0,0,0,0,0,0,0,0,0,0,0.42924276,0,0
100,0,0,0,0,0,0,0,0.71734124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,2.0642028,0,0.45571923,0,0,0,0,0,0,0,0,0,1.1571664,0,1.7441108,0,0,0,0,0.7418308
102,0.106330015,0.34638995,0,0.81032366,1.7232609,0,0.7958329,0,0,0,0.9168635,0.076474406,0.12203585,0.46858966,0,1.5244877,0,0.13506608,0.43310702,0,0,1.327233,0,0.69898826,0
103,0,0,0.83973265,0,0,1.1297705,3.7315826,0,0,0.9008884,1.9366964,0,0,0,0,0,0.5383744,1.6369495,0,0.8127399,0,0,0,0.5019149,0
104,0.07710802,1.174411,0,0.35054135,0.08878421,0,0,0.7530151,0.111057416,0.4428557,2.875279,0,0,1.354447,0.77635986,0,0,0,0,0,0.9965146,0.87288904,0,0,0.6181821
105,0,0,0.02944382,1.832541,0,0,0,0,0.3845897,0,0,0.25862068,0.36352432,0,1.213948,0.42770618,1.1884552,0,0.5938487,0.6573362,0.46291152,0.32369968,0,0,0
106,1.0982348,0,1.5430944,0,0,0,0.16716978,0.41298926,0.74469864,0.15597093,1.4181865,1.3796422,0,0.22268617,0.55015707,0,2.0714867,0,3.4236925,1.0023773,0,0.4021824,0.0505791,0,0
107,0,1.3854232,0,0,0.29543874,1.9019195,0,0,3.0387287,0.45510256,1.5202712,0.1229646,0.41954178,1.4358505,1.8101304,0,0,1.207217,0,0.1119021,0,0,0,0.42799178,0
108,0,0.40355793,0,0,1.101117,0,0,0.62583154,1.3416576,0,0,0,0,0,0,0.6108616,0,2.320282,0,0,0.4166161,0,0.8241483,0.20122936,0.8938031
109,0,1.1416106,1.2792085,0.44186723,0,0,0,0,0,0,0,0.25109285,0,0,0,0.5959584,0.27067217,3.2671206,0.3613155,0,0.3842806,0,0,0,0
110,0,0,1.5537448,0,0,0.049254827,0.16711667,0,0.04328016,0,0,0,0.16556543,0,0.9035645,4.237267,0,1.5207728,0,1.6013746,0,1.2381446,0,0,0
111,0,1.4343603,0,0,0,0.9156037,0,0.2056692,0.70444924,0,1.7106525,0,0.5101811,0,0,0.5477708,1.0983717,0,0,0,0,0,0.054330427,0,0
