x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0025,y0027,y0028,y0029,y0030,y0031,y0032,y0034,y0040,y0042,y0043,y0044,y0046,y0047,y0049,y0050
21,1.852228,0,0,0,1.3721727,0.6088294,0,0,2.7861052,1.1780663,0,2.8087544,4.2534966,0,0,0.29825968,0,0,0,0,0,0,0,0.64360803,0,0,0,1.2607821,0,0,1.2761055,0,0,0,0,0,0,0,0.45342046,0
22,0,0,0.14488421,0,0,1.6581987,0.6559136,2.9228067,0,0,0,0,0.8301183,0.55886203,0,0,0,0,0,0.5434632,0.4026188,4.089266,0,1.0693675,0,3.3049293,2.5999591,0,0,6.9903708,2.1002445,0,0,1.6937605,0.3370962,4.611191,1.5049859,0,1.8058131,0
23,0,0,2.010303,0,0,0,0,0,0,0.5499605,2.4056256,0,0,0,0,0.46902993,2.7146218,0,0,2.1729739,1.1397463,0,0,1.1423856,1.7252499,0,0,0,0.10363938,0,0,0,0,0,0,1.9818045,0,0,0,0
24,0,0,4.3593407,0.24480379,0,1.3607353,0.51894474,0.9209735,0,0.40628934,0,3.8770192,0,0,0,0.26669157,0,0.6805798,0,0,0,0,0.98064065,0,1.6919919,0,0,0,0,0,0,0,0,0.07845513,1.453013,0,2.344031,0,0,3.2520194
25,0.29291221,0,0,0,0,0,0,0.2837551,0,0,0,0,0.8316472,0.493355,0,0.91530937,0,7.6084776,3.457744,0,0,0,2.845162,0,0,0,2.025063,0,3.0716555,0,0,0,1.0689939,0,2.5017028,1.7080569,0,5.3562756,0,0
26,0,0,0,0.9827165,4.404548,0,0,0,0,0.42138657,0.81810594,0,0,0,0.5351119,0.62688977,0,0,0.69923514,0,3.9270103,0.9982718,0,0.45802262,4.6860085,10.306289,0,3.8858445,1.176363,0,0.02680919,1.5092407,2.440427,0,0.75156623,0.41227022,0.071028255,0,0.000469138,0
27,1.8373865,0,0,2.9663093,0,0,0.49237737,7.3943086,0.8115297,0.8808287,0,0.6141981,0.7093639,0.46926734,0,3.9028983,0,0,2.425573,0,2.0576816,1.7122308,2.7354693,0,0.27058068,0,0,0,1.1604006,0,5.7063694,0,0,0.44854006,0.21258731,0,13.727366,0,2.1367605,0
28,0,0,1.3470087,6.1026177,0,0,0,0,0,0,0,3.5983415,0,2.0076506,2.058849,0,4.3399096,5.412407,0,0,0,1.0818849,0,2.2489233,0.06276229,0,0,2.2280362,0.21695404,0,0.46953937,2.7451339,0,0.19408374,0,1.7609637,0,0,0,0
29,0,1.2468754,2.6806674,0,0.18438062,0.07026441,1.7942697,0,0,0,0,0,0,0,0,0,1.1779802,0,0,0,1.0594715,0,0,0,0,5.7929792,0,0,2.9456232,0,0,3.7626612,0,1.7861072,0,0,0,1.5001498,0.41056857,0
30,0,1.042227,0.026682414,0.8258942,0,4.338548,0,0,0,2.4717572,0,2.022467,0,1.0198799,0,0,0,3.830036,0,0,0,0,1.3317953,0,0,0,2.2699459,0,0,4.068771,0,0,2.469686,0,0,0,0,4.227933,0,1.2842597
31,0,0,2.366631,0.40331545,0,0,0,0,0.65850985,0.030930134,0.037994158,0,0,0,0,0,3.7120078,0,0.28412277,1.1141928,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0380578,0,0,1.5263975,0.70052195,0,0
32,1.1234976,0,0,0,0,4.035573,0,0,1.4115018,0.76050514,4.0905886,0,0,0,0,0,0,3.7822437,0,0,1.2853729,0,0,0,2.0424042,0,0,0,0,2.5762498,0,0,0,0,0,0,0,1.7974734,1.6522593,0
33,0,1.3602728,0.5326221,3.0039604,1.3651553,0,0.39541867,2.4443069,0,0,3.6871061,0,1.8442025,1.4948893,1.1776156,0,0,0,0,0.8782556,2.2629194,0,0,0,0,2.8704402,1.8388121,0,0,0,0,0,0.28913105,1.9297229,0,3.6845427,0,3.1799884,0,0.33062705
34,4.015405,0,0,1.3258786,1.3605454,0,4.134948,0,0,0.85355645,0.95137745,0.64094543,0,0,0,0,0,0,1.8677988,0,0.8412504,0,0,0,1.238922,0,0,2.8901098,0,0,0,0,0,0.086874336,0.04159251,0,0,4.707633,0,0.8617494
35,0.6123439,1.5750839,0,1.9447355,0.77940583,8.521242,3.1555789,0,0,1.5269282,1.1545085,0,6.4817653,0,2.5926218,0,0,0.98440623,0,0.767758,0,1.7414097,0,0,0,9.012929,0,0,1.0217506,0,0,1.5171604,2.0688715,0,0.07299408,0,0,0,0,0
36,0,0,0,0,0,0,0,2.5114777,2.281951,2.2773976,0,0,4.542314,0,0,0,0,0,0,0.3563431,0,3.136436,0.11250976,0.91711825,0.60828394,0,0.06515514,1.8612865,0,0.119967036,0.53228366,0.050624747,9.395455,0,0.9560603,0,0,0.27544558,4.2108936,2.0253067
37,0,0,1.7845355,0,0.66311795,0,0,2.19476,0,1.5433389,0,0,0,1.6747948,0,2.019529,0.32876977,0,1.742946,0,0,0,0,0,0,0,0,0.25440165,1.0396031,5.4986024,2.649148,0,7.199476,2.7625093,0,1.6979005,0,0,0,2.773554
38,0,0,0,0,1.3826063,0.85033774,1.3156184,0,0,0,0,0,0.16838443,0,0.55180043,0,0,0.060800903,0,0.36657345,0.63724035,0,0,0.63231266,0,6.1087813,0,0,0,0,0.45937124,0,0,1.3242204,0,0.88484466,7.3110647,0,0,2.9331417
