x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052,y0053,y0054
383,0.60111576,0,0.54100025,0.39283785,0,0,0,0,5.394668,4.6485863,0,1.5973831,0,0.9281552,0,0,0,0,0,0,0,0,1.4895306,0,0.005346236,0.07227192,0,4.2195525,0,0,0,0,0,0.22940522,0,3.0769236,0,0,0,0,0,4.507868,0.046354752,2.746613,2.7800515,0,0,0,0,0,0,10.717407,0,0,3.94906
384,0,0.5482719,0,0,3.306692,2.5583804,0,0,0,6.7230935,0,0,0,0,0,0,0,0,0.41921058,0,0.91211486,0,0.96349645,0,0,0,0.18541364,0,0,0,9.282299,0,0,0.22649129,2.1027515,0,0,1.9943982,0.12770997,1.0738184,0,0,0,0,1.0595077,0,3.2006404,0,0.93195033,1.5348877,1.7057186,8.785969,2.0078526,0,0
385,5.642152,10.36638,3.3661413,0,0,0,0,2.4277136,0,0,0,0.933031,0,5.2252464,0,2.2767293,0.11807854,0,0,0,0,0.8348303,0,0,1.5655985,0,8.371081,0,0,0,3.624668,0,0,0,0,0,4.4032474,0,1.845896,0,0,0,2.5354133,5.195281,0,0,0,6.073485,0,0,1.2576926,0,0,1.1604767,0
386,0,0,0,1.7237984,1.622037,0,0,0,0.5712463,0,3.371232,0.03755756,5.647687,0,2.5382092,4.553413,0,7.9476085,0,1.7988238,1.6467872,0.94331473,0,0,0,0,12.834609,0,1.8640337,1.7636243,0,0,2.9027624,0,8.286569,0,2.656912,0,2.7174716,0,0.5481305,0,0,0,0,0,0,4.1429954,0,0,1.5187293,1.4212829,0,3.2823472,0
387,0,0,0,0,0,0.52073187,0,0,0,0,1.0895925,0,0,6.1826873,0,0.015638966,0,14.798713,0,6.1905475,0,0,0,0,0,0,0,0,0,0,0,4.1676054,0.24867862,0,7.856322,0.6461225,0,0.51101834,0,0.37472442,2.0205204,0,1.9382967,0,5.624731,0,3.2966895,0,0,5.0840945,0,6.409365,0.76625055,0,3.3691204
388,5.2905807,18.429441,0,0,0,0,0,0,0,0,0,0.23999345,4.4477396,0,0,0,0.71000326,3.1071644,0,0,0,0.99943596,1.3212937,6.6255646,0,0,0,0,0,1.627547,0,0,0,1.4208398,0,0,0,0,0,0,3.5025318,0.14336422,0,0,0,0,1.8180882,0,0,0,0,3.9466312,0.4031135,0,0
389,0,0,0,0,0.33805197,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4396582,4.829649,0,0,1.3985215,1.0801232,2.2432168,0,0,0.9946191,0,0,0,0,2.4126322,0,1.7901319,0,0,0.34003794,5.650346,3.240434,2.4324107,0,0,0,0,0,0,0,0,0.7411116,4.1662335,0,0.53872675,0,0
390,1.0912434,0,4.4859853,5.636143,0,4.0391726,0,0.7621285,6.2081017,0,0.16377245,4.568836,0,9.306805,0,0,3.6846907,3.7020457,0,2.3479092,4.074547,1.8816117,0,0.21129148,0.8883953,0,4.040016,0,0,0,7.558982,1.4195548,0,0,0,0.6580153,1.551955,0,0,0,0,0,1.1217351,0,0,1.1440226,0,0,0,0,0,0,0,0,3.885692
391,0,9.186476,0,8.4159,3.9109619,0,0,1.3731068,0,0,0,1.8980061,5.731606,0,1.9784844,0.6117846,0.5262578,0,2.4030545,0,6.9510217,1.6275711,0.002163927,0,2.2812243,0,0,3.150262,0,0,0.8101703,0,0.38450274,1.6743037,0.94963485,0,0,0.74070084,0,0,0,7.3091145,0.18595597,0,0,0.79200095,0,12.245116,0.69098836,2.7198787,2.7584608,3.3813248,0,0.18108416,0.4258965
392,0,0,0,0,0,0,0.6069923,0,1.8650186,4.170283,0,0,0,0,1.8075135,2.4436932,0.79623216,0,0.6146089,14.211073,0,0,0,0,0,3.292086,4.3336325,0,0.676395,0,4.510893,0.33838153,0,0.6344489,0,0,0,2.217141,2.797877,0,0.87886864,0.017726097,0.7174723,3.0803938,0,4.0827975,0,10.330634,0,0,4.957894,0.23603189,2.532599,2.3566597,0.06474187
393,0,0,0,0,0,2.9651299,0,0,4.3045754,1.451262,3.0977554,0,9.57854,0,1.1721478,13.737397,0,0,0,0,0,0,2.035193,4.554337,0,0,13.767953,0,0,0.37482888,3.3084638,0,0.14783987,0,0.6438355,0,2.824673,0.14525656,0,0,0,3.2775428,0.77360445,0,0,0.99055475,0,0,0,0,0,0,0,0,1.1698474
394,0,0,0,0,0,0,2.2701256,0,1.6892456,1.7084419,0,0,3.5920596,0,3.564968,2.9495664,0,0,0,12.105324,2.0661423,1.8951024,0.81970865,0,2.5201626,0,5.092581,0.7823865,0,0,0,1.9124177,0.36275357,0.2876767,0,0,0,0,1.651856,0,0,0,0,1.2704344,1.9131086,0,0,0,0,3.4593081,0.13629626,0,0,0,0
395,0,3.0341265,0,2.493561,0,1.5215747,0,1.0686,0.1900225,0,0,0,2.2659192,0,0,4.0318103,0,0,0,0,2.9292064,0,0,2.8360796,0,0,0,2.1619408,0,0,0,0,1.7555916,0,1.6869069,0.9122408,0,0,0,0,0,2.5940852,2.6478853,0.17301552,0,0,0,0,0,0,0,3.5329573,0.96413946,0,0
396,0.6443146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1617084,4.1987987,2.55187,0,5.7337303,0.16565645,5.5399704,7.712644,5.2011447,0,0,0,0,0,0,0,0,0,0,0,0.63083756,0.78318995,1.0498233,0,2.0251257,0,0,0,0,0,1.9298338,0.6819506,0,0,0.67796654,0
397,0,14.765297,0,0,0,0,0,0.108738884,2.380992,0,0,0,8.255736,3.6386554,0,0,0,0,0,0,0,0,2.725602,0.42949706,0,0,0,0,0,0.20918293,5.465175,0,0,0,2.041797,0,0.47146297,2.0184913,3.1392019,1.7188783,0,2.2679207,0,0,3.2978678,0,0,0,0,1.4847808,0.74581885,0,0,0.2871094,0
398,0,0,1.8347039,0,0,0,2.8459435,2.7100327,0,0,0,0,0,0.7811445,2.286908,0,0,0,0,0,0.11892282,0,0,1.8753555,0.8043102,0,0,1.3477908,0.37882054,0,0,0,0,0,7.0287156,0,0,0,0.386383,0,0,0,0,1.5788771,0,0,0,3.2035007,0.13574846,0,1.5324036,12.858648,3.5521574,0,3.0670712
399,4.3038163,0,0,4.160698,0,0.12046038,0,2.2740827,0,0,1.1233205,4.113332,2.635137,0,0,0,0,0,0,10.430293,2.8375733,3.015553,0,1.5227929,2.1441424,0,0,0.98792756,0,0.7091239,2.9655173,1.5725089,0,0,4.6377583,1.5984805,3.3828485,0,0.58800614,0,0,1.9871045,1.5463775,1.2694789,0,0,0,1.9875741,0,0,1.2961447,0,0,1.8427417,0
400,1.4798099,0,0,0,0,0,0.50082415,0.007938647,9.131481,0,0,0,0,0,0.40383205,2.248174,0.707485,0,0,4.6543136,0,2.9453,2.411817,7.3997087,0,0,4.0061207,3.1119175,0,0,3.8868632,1.9137805,0,1.5841463,0,1.4592568,0,0,0,0,0,0.49625793,0.63995206,1.7490722,0,3.7704995,0,1.6037842,0,0,0,0,0.35743535,0,0
401,0,8.020313,3.5148633,5.04647,0,2.062554,0,0.98621845,2.7988644,0,0,0,3.7924838,0,2.8661754,0,2.1309988,2.974947,1.3683594,0,0,0,0,1.0101503,0,0,0,0.010535966,0,0,0,0.34319815,0,0.010347215,0,1.6893786,0.4948115,0,0,1.8346187,0,5.1700706,0,0,0,0,0,0,1.8949072,0,0,0,0,0,0
402,0,0,4.277002,0,0,0,0,0,4.2471595,0,0.5707944,0,0.7018358,0,3.5633092,7.938149,0,2.979649,1.7233605,0,0.11617733,0,3.605039,12.235486,0,0,0,2.2690916,0,0,0,0,0.69510055,0,0,0,1.9772818,0,0,1.9986457,0,0,0,1.7122008,0,0,0,0,0,0,1.5496259,0,0,1.5093889,0
403,0,10.517852,0,0,0,0.6798428,0.07441951,0,0,1.7768466,0.47107548,0.73204017,7.483761,7.5248528,0,0,0,0,2.8312995,0,2.8455474,0.1760633,1.752053,0,0,0,2.123716,2.1242738,0,0,0,0,1.0305302,1.0367471,0.58782846,1.6631954,0.46443135,0.9987292,1.550256,0,0,4.710257,2.933925,0,7.026515,0,6.170809,16.666626,0,0,3.0907357,2.3299484,0,0,0
404,0,0,0,0,0,0,5.222883,0,0,0,2.6307542,0,3.0055518,3.3033917,0,0,0,0,0,0,6.9550962,4.380862,0,4.9549384,1.1883799,0.6629846,0,3.960345,0,0,0,0.6891666,0,2.708291,0,0,3.8748806,0,0,0,2.669784,0,2.11667,0.9753086,0,0,0,1.8668636,0.51480544,1.2772006,0,0,0,0,0
405,0,0,0,0.09140076,0,0,0,0.15720357,0,0.7051682,3.4737318,0,11.97962,0,0.49212533,6.8944216,0,0,0,4.91068,7.040534,4.7758956,2.203037,0,0,0,0,0,0,0,10.704539,0.69404763,2.0460477,1.0846804,0,1.136827,0,0,0,0,0.15440565,0.28540993,4.211994,2.3919497,0,0,1.0155759,0,0,2.1017716,0,0,0.4265546,0,0
406,0,0,0,6.524212,4.4737005,0,0.61163384,0,0.17183697,0,0.071039826,1.2623208,0,0,0,0,0,0,0,10.416667,0,0,0.022154791,2.8574514,0,2.5868359,0,0,1.4101934,0,0,0,2.3185892,0,5.0514646,0,3.2004886,0,0,0.2620842,0.39627323,1.9778358,0,0,1.6486979,0,2.4378693,0,0,0,0,0,0,0,0
407,0,13.298959,3.442926,0,0,0,1.8737913,0,1.7880654,9.116519,0,7.126703,5.4439893,2.9293716,0,0,0,8.102981,0,7.184934,6.2963905,0.8015469,1.2146925,7.6516376,0,0,0,0,0,0,0,0,0,0,0.3545683,0,0,0,0.53589207,0,0.6584879,0,0,0.83653116,0,0,0,9.946748,0,0,5.9083877,12.776585,0,0,0.9099329
