x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021
39,0,0,0,0.7093033,0.13914365,0.07280376,0,0,0,0,0.41628942,0,0,0.34891915,0,1.9255439,0,0.2209294,0,0.25571346,0,0
40,0,5.851698,0.5541649,0,1.0039451,0,0,0.62515616,0,0,0,0.064085,0.7429528,0.16599806,0,0,0.1348387,0,0,0.117337264,0.9267509,0.57642615
41,0,0,0.31940782,0,0.18555455,0,0,0,0.38399592,0,0.11616818,0,0.31956214,0.09104436,0.92948306,0,0,0,0,0,0.4800581,0.22672762
42,1.4536089,0.26989985,0,0,0,0,0,0,0.021094479,0,0.9453043,0,0,0.46051475,1.550886,0,0,0.5759338,0,0,2.721181,0
43,0,0,0.82677984,0,0,0,0.010391437,0,0,0.5896825,0,0.1017249,0.28628287,0.54204285,0.5751632,0,0.39461324,0,0,0,0,1.8477298
44,1.2058603,0,0,0,0,0,0.74029404,0,0,0.4774798,0,0.70468247,0.64773655,0.5247139,0,0.28861508,2.266357,0,1.4050517,0.9162915,0.8111624,0
45,1.1070032,0,0,0,0,0,1.01838,0,0.76083565,0,0,0,0.09189653,0,0,0,0.29249775,0.635324,0,0,0.60611254,0.46154246
46,0.07024115,0.82032096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2305062,0.65257466,0,0,0
47,0,3.1656048,0,0,0,0,0.26975664,0,0,0,0,0.64788413,0,0,0,1.6547121,0,0,0,0,0,0
48,0,0,0,0,0.6112964,0,0,0,0,0,0.61344564,0.15270182,0,0,1.2018144,0,0.659995,0,0.3939764,0,0,0
49,0,0,1.6055902,0,0,0,1.4686948,0,0,0,0,0,0,0,0,1.291948,0,0.43467167,0.4199394,0.578391,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0.49001825,0.13677686,0,0,1.7792296,0,0,0.17022417,1.2954104,0.7849864,0.15133095
51,0,0,0.17117205,0.69163674,0,0.64278424,0,0,0,0,0.48365018,0,0,0,0.48773453,0,1.9325753,0,0.45752266,0,0,0
52,0,0,0,0.38489804,0,0.59415287,1.66299,0.9768684,0,0,0,0,1.6471797,0,0,0.043276086,0,0,0,0,0.2363151,0.1825475
53,0,2.0838747,0.9294974,0.7729015,0,0,0,0.17988513,0,0.6119455,0,0.4625048,0.67344457,0,0,0.21169846,0.14414926,0.45775917,0,0,0.51692045,0.01820375
54,4.462362,0,1.0225083,0,0.8370917,0.46764147,0.10942832,0,0.43926817,0.30052522,0.55952656,0.85246,0.69656587,0,0,0,0.77620953,0,0,0.10193201,0.18826939,0
55,0,0,0,0,0,0,0,0,1.7929686,0,0,0,0,0,0.28497973,0,1.3322843,0.38456482,0,0,0,0
56,0.8067194,1.5388787,0,0,1.5038737,0,0,0.35245177,0,1.1149434,0.23539439,0,0.019369978,0,0,0.23612472,0,0,0.75055516,0.8602321,0,0
57,0,0,0.71872795,0,0.011384622,0.2868853,0,0,0,0,0,0,0,1.1404631,0,0.060786426,0,0,0,0,0,0
58,1.3672489,8.719024,0.7151658,0.39847457,0,0,0,1.254712,0,0.03329418,0.5256635,0.3296716,0,0.26414984,2.1168118,0.66931194,0,0,0.030831233,0,0.12623687,0.12012205
59,0,3.7977014,0,0.96065235,0,0,0,0.46293753,0,0.40039402,0,0,0.7175676,0.036730908,0,0,0,0,0,0.5413854,2.623008,1.8425863
60,0.3378781,0,0.028069258,0,0,0,0.15833694,0,0.5457646,0,0,0,1.3944241,0,0,0,0,0,0.4478109,0.5895896,0,0.5320119
61,3.0419347,0,0.9470868,0,0.40058517,0,0,0,0,0.01765201,0,0.40398654,0,0,0,1.7780215,0,0,0,0,0,0.7613384
62,0,0,0,0,0.079428166,0,0,0,1.1767055,0,0,0,0,0.30153602,0.8037903,0.06594299,0,0,0,0,0,0
63,1.9321909,3.5962236,0.2186417,0,0.3250124,0.33950472,0,0,0,0,0,0,0,0.22293448,0,0.4884994,0,0.88025,0.11489558,0,0,0.34907678
64,0,0,0.21991959,0,0,0,0,0,0,0,0,0,0,0,0,1.0100526,0,1.4922266,0,1.0486856,0,0
65,0,2.8609092,0,0,0.3331705,0,0,0.4175057,0,0.5339408,0,0,0,0,0,0,0.4958468,0.67145824,0,0,0,0
66,0.051570624,0,0,0,0,0,1.7150888,0,0,0.4129837,0,0,0,0,1.8795758,0.15163328,0,0,0,0,0,0
67,2.8626375,0,0,0.031824484,0.8689424,0.5545852,0,0.5800964,1.3969728,0,0.4936029,0.18607186,0,0,0,0,0,2.9033406,0,0,0,0.56433064
68,0,0.59240496,0,0.35466564,0,0,0,0,0.76167333,0,0,1.1626599,0,0.31230438,0,0,0,0,0.9305428,0,0.21882538,0
69,0,0,0.16722345,0.6383902,0.40276965,0,0.49649495,0,0.37183946,0,0,0.51977414,0,0.01732131,0,2.8602245,0.8740648,0,0,0,0,0.413494
70,0,0,0,0,0,0,0.9454932,0,0,0,0.28512526,0.54429466,0,0,1.3584138,2.055099,0.8347785,0,0.18595633,0,0,0
71,0,0.81005174,1.0643988,0.5978367,0.16483799,0,0,1.5345159,0,0,0.039324693,0.5625261,0.62291473,1.1957095,0,0,0,0,0,0.37556452,0.6614953,0
72,0,1.7918537,0.31798145,0,0,1.0377754,0.9535194,1.5356405,0.4098311,0,0,0,0,0,0,0,0,0,0.05288667,0.47364745,1.0074439,0.082541384
73,1.4571642,0,0,0.75444734,0,1.0714289,0.29578093,0,0,0,0,0.272347,0,0.51801455,0.14344056,0,0,0,0,0.23771976,0,0.50051075
74,1.0220721,0,0,0,0,0,0,0,0,0,0,0,0,1.0928342,0.4764706,0.3162591,0,0.22402498,0,1.2058891,2.8950057,0
75,0,0,0.8188045,0,0.9338955,0,2.1653585,0,0.003975776,0.1735314,0,0,0.28769758,0.579751,0,0,0.24922155,0,0,0,0,0
76,0,2.8861885,0,0,0.10795149,0,0.54997176,0.26599994,0.077366635,0,0,0,0,0.06891322,0.21823676,0,0,0,0.7795266,0,0.78800315,0.37298688
77,0,1.1239276,0,0,0,0,0,0.046673294,0,0.17150012,0,0.34534222,0.9590516,1.8569447,0,2.9071348,1.3389382,0,0,0,1.6743459,0
78,2.4574177,0,0.1524712,0.024304945,0.15122178,1.4205912,0.36190012,0.34897065,0.9948784,0.29974443,0,0,0,0.30508718,0,0.97900385,0,1.1285567,0,1.0552273,0,0
79,0,0,0,0,0,0,0,0,0,0,0.48228437,0.30761394,0.35710943,0,0,0,0,0.40977535,0,0,0,0
80,2.2688956,0,0.647883,0,0,0,0,0.250094,0,0.23840605,0,0.10097077,0,0,0,0,0,1.3037289,0,0,0,0.29333264
81,0,2.6878104,0.83000207,0,0,0,0,0,0.30714372,0,0.11259333,0,0,0,0.092296176,0,0,0,0,0,0,0
82,0.6089214,0,0.42483392,0.07376076,1.3019009,0.18094654,0.06975062,0,0.44504786,0.0069445,0,0,0,0,0,1.5718752,0,0,0,0,0,0
83,0,0,0,0,0.4739074,0.14718159,0,0,1.3147103,0,0,0.2737815,0.3418421,0.651309,0,3.3155956,0,0,0.47512287,0,0,0.50610834
84,0,0,0,0.2343757,0,0,0,0,0,0.19988471,0,0,0.52577335,0,0,0,0.777667,0,0,0.6534294,2.5575023,0.6539395
85,1.8845155,0,0,0.42235708,0,0,0,0,0,0.3775843,0,0,0,0.04462764,0,0,0,0,0,0,1.0528619,0
86,0,4.5014544,0,0.31774884,0.4259201,0.65974784,0,0,0.5126146,0,0.058490384,0,0,0,0.9634072,0,0,0.28021422,1.6268466,0,0,0.97343975
87,0,0,0,0,0,0.15691866,0.01270955,0,0,0.66365254,0.6136204,0.398833,0,0,0.023872826,0,0,0.011569611,0,0,0,0.55772436
88,0.36822334,0,0,0,0,0,1.3254918,0,0,0,0,0,0,1.0575798,0,1.8990312,0.8039402,0,0,0,0,0
89,0,3.2693646,0,0,0,0,0,0,0,0,0,0,0,12.20767,0.45150083,0,0,0,0.759483,0,0,0
90,1.0987653,0.835382,0.8539234,0.17604326,1.8310868,0,0,0,0.98742986,0.5590525,1.048641,0,0,8.866403,0,0.098707065,0,0,1.6329149,0.18472473,0,1.5314505
