x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034
621,0,0,0,0,0.9679662,3.3611677,0,9.4728565,0,7.884893,12.524261,1.799959,0.26321527,0,0,0,0,0.40056017,0,0,0,0,6.2287846,1.0873646,0.32566828,0,0,0.88450307,0.70268786,0,3.2258053,0,4.3305798,0,0.25509292
622,2.3533747,0,0,14.773361,1.9203755,0,0,0,7.471736,12.326481,2.7852018,0,0,0,4.127879,4.330626,0.37048972,0,0,0,0,7.2185745,0,1.9493353,0,2.9538116,0,0,0,0,0,2.2388394,0,0,1.7586933
623,3.257286,5.2622895,0,11.614829,0,2.8210592,0,5.87367,19.302269,0,0.5641317,10.082247,0,0,0,0,0,0,0,6.014503,0.7151667,4.9108257,0,0,0,3.1984332,0,0,2.857543,1.1930238,0,0,0,0,0
624,0,0,5.729548,0,0,0,0,4.329327,2.911345,0,0,0,0,0.24361058,0,5.311449,0.007402442,0,0,0,0,0,4.752328,1.1172091,0,0,0,1.9624753,0,2.5101957,1.6963044,0,2.2785552,0.8334672,0
625,0.44565842,0,0,0,0,2.4781442,0,8.835367,0,0,0,3.9045825,0,0,0,0,1.426336,0,1.5243275,0.32299086,0.080574,2.180519,0,2.7401502,16.7047,0,1.9535532,0,0,3.0118937,1.2158599,2.5143301,0.001080363,0.7983998,0
626,0,0,1.4238216,0,1.1019734,0,0,0,0,0,0,0,7.369471,11.477695,0,0,0,1.4787647,4.4231563,1.2042657,0,0,0,0,5.991703,0,0,0,0,1.9232091,5.3722777,0,0,0,0
627,0,0,1.9739316,0,0,0,0,0,0,0,0,0,3.1467528,4.1237993,0,0,0,0.21607253,5.0656033,4.4311876,0,0,0,0,0,0,0,2.4609258,0,0.015169828,0,3.8703241,0,9.642927,0
628,0,0,7.140377,0,0,0,0,0,0,0,0,0,4.818594,1.3060269,0,0,0,5.750351,4.2328324,0.3868052,0,0,0,13.1705265,0,0,2.348595,0.08464448,0.7043554,1.4250838,0,0.4675044,0,0,2.1196866
629,0,1.7742393,0.035683826,0,0,0,5.8099976,0,0,0,0,0,2.8021843,1.5996816,0,8.040736,0.57124144,0,6.784437,0,0,0,0,5.3513203,0,4.8127294,0.15632233,0.55071384,0,3.932363,0,3.2543142,0,7.831687,0.75024676
630,0,0.26256397,0,0,0,0,0,0,0,0,8.937803,0,3.1768694,1.8531339,0,0,0,3.9540665,3.263532,0,0,0,0,5.2338552,19.27654,0,0,1.4044813,6.230664,0,0,0,0,0,5.45222
631,0.20043494,0,5.193791,0,0,0,10.20315,0,0,0,0,0,3.177034,4.8210554,0,0,0,4.977983,4.8465285,0,0,0,0,2.1319141,0,0,0,0,0,1.4968778,5.447746,3.0859466,0,1.9807508,1.2694747
632,0,0.30624232,0,0,0,0,0,0,1.1846756,0,0,0,0,1.083973,0,5.433451,0,0,0,0,2.082167,0.40888575,2.3670256,0,0,5.214407,0,0,0,0,0,0,0,0,1.2782148
633,0,0,0,0,5.3597445,0,0,20.418276,0,8.340131,0,7.1408896,0,0,1.1243622,0,1.4549264,0,1.9666418,0.7417197,0,0,14.346477,0,0,15.992798,0.46464404,0,1.6678556,0,3.7920463,0,1.7729368,0,0
634,5.968494,3.9388142,0,0,1.1343687,0,6.854365,0,5.1496816,8.922493,29.09453,1.5355504,0,0,3.817481,0,2.5106323,0,0,0,0.27107087,5.9714913,0,0,0,9.30513,0,0,3.960667,0,0,0,0,0,3.1801102
635,2.040177,1.4815366,0,0,0,0,0,6.2111735,16.574514,3.2271388,7.935106,2.1037095,0,0,3.4335945,0,0,0,0,0,1.0698993,3.6281679,0,0.41482943,10.264181,0.5374065,0.16846955,0,0,0.1658947,1.6257172,0,0.29366013,2.0960307,0
636,2.9084241,0,0,0.50401145,0,5.2409635,3.2185483,7.0121393,22.284521,11.057737,0,2.0901954,0,0,2.5188644,7.051531,0,2.5912704,0,0,0.8588442,0.13845317,2.686579,0,7.5368185,27.379923,0,0.034348726,2.5994241,0,0,0,0.5240436,1.785338,0.61950755
637,5.338679,0,0,15.402319,0,5.8931847,1.2044996,0,0.65227693,9.941304,6.679151,0,0,0,8.58,0.9561287,0,0,0,0,2.359106,7.7413397,3.5552797,0,0,7.751741,1.3688188,0,0,0,0,0,1.5088105,0,0
638,2.3803616,0,0.1410918,14.099901,0,0,0.73675954,0,0,0,0,0.15998194,0,3.839005,0,1.1665481,0,0,0,8.578694,1.7315606,0,3.9738655,1.8587809,1.9251896,0.874087,0.8458208,0,0,0,0,1.2364123,0.22512077,0,0
639,0,0,0,0.74759775,0,0,0,8.016059,0,7.457327,0,8.081458,0,0.5895408,0,0,1.1410247,0,0,0.34697518,0,3.1352541,0,0,9.869902,0,0,0,0,0,0,0,2.2945337,0,0
640,0.5141516,4.254621,0,0,0.043505542,0.4478774,0,1.9623553,18.469604,9.538717,0,0,0,0,0.83847,0,0,0,0,1.6816819,2.4349685,0,8.974047,3.0942037,1.7118424,9.394644,1.237672,0,2.275812,0,0,0,0,0,17.720657
641,10.085394,5.208806,0,0,0,0,5.8584085,0,0,0,0,15.425191,0,0,0,2.773175,1.0801859,0.015996464,0,0,2.0466557,0,3.5939558,0,1.1134573,0,0,0,0,0,0,0.7894256,1.9548867,0.69720834,0
