Trial,Behavior,Start,End
,walk,25.59,49.59
1,valve opened,90.59,95.59
,walk,95.59,101.59
,cont reach,102.59,106.59
,walk,107.59,110.59
,cont in vain,120.59,124.59
,cont in vain,125.59,130.59
2,valve opened,211.59,216.59
,cont reach,217.59,233.59
,cont in vain,234.59,238.59
,both in vain,239.59,242.59
,walk,243.59,246.59
,both in vain,247.59,251.59
,both in vain,252.59,256.59
,both in vain,257.59,260.59
,both in vain,261.59,263.59
,walk,267.59,278.59
3,valve opened,331.59,336.59
,cont reach,337.59,339.59
,cont in vain,340.59,351.59
,cont in vain,352.59,367.59
,walk,449.59,457.59
4,valve opened,451.59,456.59
,cont reach,458.59,463.59
,cont in vain,464.59,479.59
,cont in vain,480.59,487.59
,walk,488.59,495.59
5,valve opened,572.59,577.59
,walk,576.59,582.59
,cont reach,583.59,602.59
,cont in vain,603.59,619.59
6,valve opened,694.59,699.59
,cont reach,701.59,704.59
,cont in vain,705.59,707.59
,cont in vain,708.59,722.59
,cont in vain,727.59,729.59
7,valve opened,815.59,820.59
,walk,819.59,821.59
,cont reach,822.59,825.59
,cont in vain,826.59,842.59
,cont in vain,843.59,851.59
,cont in vain,855.59,863.59
8,valve opened,936.59,940.59
,walk,939.59,947.59
,cont reach,948.59,955.59
,cont in vain,956.59,971.59
,cont in vain,972.59,977.59
,both licking,995.59,999.59
,walk,1000.59,1002.59
,both licking,1003.59,1010.59
,both in vain,1011.59,1013.59
,both in vain,1014.59,1015.59
,walk,1016.59,1020.59
,both in vain,1021.59,1024.59
,walk,1025.59,1045.59
,both licking,1046.59,1058.59
,walk,1059.59,1061.59
,both in vain,1062.59,1065.59
9,valve opened,1063.59,1068.59
,both reach,1066.59,1072.59
,walk,1073.59,1076.59
,cont in vain,1077.59,1083.59
,cont in vain,1084.59,1091.59
,cont in vain,1100.59,1112.59
,walk,1122.59,1129.59
,both in vain,1130.59,1131.59
,both in vain,1132.59,1133.59
,both in vain,1134.59,1135.59
,both in vain,1136.59,1142.59
,both in vain,1155.59,1158.59
,walk,1159.59,1160.59
,both in vain,1161.59,1163.59
10,valve opened,1190.59,1195.59
,walk,1195.59,1197.59
,cont reach,1198.59,1206.59
,cont in vain,1207.59,1227.59
,both in vain,1267.59,1270.59
,both in vain,1271.59,1273.59
,both in vain,1275.59,1276.59
,both in vain,1279.59,1281.59
,both in vain,1282.59,1285.59
,both in vain,1286.59,1288.59
,both in vain,1290.59,1291.59
,walk,1292.59,1300.59
11,valve opened,1308.59,1313.59
,walk,1312.59,1315.59
,cont reach,1316.59,1321.59
,cont in vain,1322.59,1327.59
12,valve opened,1430.59,1435.59
,walk,1434.59,1435.59
,cont reach,1436.59,1444.59
,both in vain,1445.59,1458.59
,both in vain,1459.59,1461.59
,both in vain,1462.59,1464.59
,walk,1465.59,1473.59
,both in vain,1524.59,1529.59
,walk,1530.59,1537.59
13,valve opened,1547.59,1552.59
,walk,1551.59,1555.59
,cont reach,1556.59,1559.59
,cont in vain,1560.59,1574.59
,walk,1575.59,1580.59
14,valve opened,1670.59,1675.59
,walk,1674.59,1681.59
,cont reach,1682.59,1689.59
,cont in vain,1690.59,1692.59
,cont in vain,1693.59,1699.59
,walk,1703.59,1716.59
15,valve opened,1796.59,1801.59
,walk,1800.59,1804.59
,cont reach,1805.59,1820.59
,walk,1821.59,1823.59
,cont in vain,1824.59,1826.59
16,valve opened,1917.59,1922.59
,walk,1921.59,1923.59
,cont reach,1924.59,1929.59
,cont in vain,1930.59,1945.59
,walk,1946.59,1954.59
,walk,2000.59,2005.59
,both in vain,2028.59,2030.59
,both in vain,2031.59,2032.59
,both in vain,2037.59,2038.59
,both in vain,2039.59,2042.59
17,valve opened,2038.59,2043.59
,cont reach,2043.59,2052.59
,walk,2053.59,2055.59
,cont in vain,2056.59,2070.59
,walk,2071.59,2074.59
,both in vain,2075.59,2078.59
,both in vain,2098.59,2102.59
,walk,2103.59,2105.59
,both in vain,2106.59,2107.59
,walk,2108.59,2113.59
,both in vain,2114.59,2117.59
,both in vain,2118.59,2124.59
,both in vain,2125.59,2128.59
,both in vain,2129.59,2134.59
,both in vain,2135.59,2137.59
,both in vain,2138.59,2139.59
,walk,2140.59,2148.59
,both in vain,2149.59,2150.59
,both in vain,2151.59,2153.59
,both in vain,2155.59,2159.59
18,valve opened,2156.59,2161.59
,cont reach,2160.59,2164.59
,walk,2243.59,2251.59
,both licking,2252.59,2257.59
,walk,2258.59,2261.59
,both in vain,2262.59,2263.59
,walk,2264.59,2268.59
,both licking,2269.59,2270.59
,both in vain,2271.59,2277.59
19,valve opened,2274.59,2279.59
,both reach,2278.59,2279.59
,walk,2280.59,2282.59
,both in vain,2283.59,2292.59
,both in vain,2293.59,2297.59
,walk,2298.59,2300.59
,both in vain,2301.59,2308.59
,both in vain,2309.59,2318.59
,both in vain,2319.59,2325.59
,both in vain,2326.59,2327.59
,both in vain,2328.59,2329.59
,both in vain,2330.59,2332.59
,both in vain,2333.59,2336.59
,both in vain,2337.59,2339.59
,both in vain,2340.59,2342.59
,both in vain,2343.59,2344.59
,both in vain,2345.59,2352.59
,walk,2353.59,2371.59
20,valve opened,2392.59,2397.59
,cont reach,2396.59,2402.59
,cont in vain,2403.59,2405.59
,cont in vain,2407.59,2420.59
,walk,2421.59,2426.59
21,valve opened,2511.59,2516.59
,cont reach,2516.59,2525.59
,cont in vain,2526.59,2539.59
,walk,2547.59,2552.59
,both in vain,2554.59,2556.59
,walk,2557.59,2559.59
,both in vain,2560.59,2563.59
,walk,2564.59,2567.59
,both in vain,2568.59,2571.59
,walk,2572.59,2592.59
22,valve opened,2629.59,2634.59
,cont reach,2634.59,2639.59
,cont in vain,2640.59,2652.59
,cont in vain,2653.59,2666.59
,both licking,2686.59,2687.59
,both in vain,2688.59,2691.59
,both in vain,2692.59,2696.59
,walk,2697.59,2704.59
,both in vain,2705.59,2707.59
,walk,2708.59,2730.59
23,valve opened,2746.59,2751.59
,noise generation,2786.59,2821.89
24,valve opened,2899.59,2904.59
,walk,2905.59,2922.59
,spout moved after whisker detection,2939.59,2944.59
,walk,2967.59,2980.59
25,valve opened,3017.59,3022.59
,spout moved after whisker detection,3057.59,3062.59
26,valve opened,3134.59,3139.59
,spout moved after whisker detection,3175.59,3180.59
27,valve opened,3252.59,3257.59
,cont reach,3259.59,3268.59
,cont in vain,3269.59,3281.59
,walk,3282.59,3288.59
,both licking,3306.59,3334.59
,cont in vain,3337.59,3343.59
,both in vain,3345.59,3352.59
,both in vain,3353.59,3360.59
,both in vain,3361.59,3366.59
,both in vain,3367.59,3373.59
28,valve opened,3370.59,3375.59
,cont reach,3374.59,3380.59
,cont in vain,3381.59,3386.59
,both licking,3398.59,3401.59
,both in vain,3402.59,3405.59
,both in vain,3406.59,3412.59
,cont in vain,3413.59,3418.59
,both in vain,3422.59,3430.59
,both in vain,3432.59,3436.59
,both in vain,3437.59,3443.59
,both in vain,3445.59,3450.59
,both in vain,3451.59,3452.59
,both in vain,3453.59,3455.59
,both in vain,3458.59,3459.59
,both in vain,3460.59,3462.59
,both in vain,3463.59,3464.59
,both in vain,3465.59,3469.59
,both in vain,3470.59,3473.59
,both in vain,3474.59,3475.59
,both in vain,3476.59,3477.59
,both in vain,3478.59,3480.59
,both in vain,3484.59,3490.59
29,valve opened,3487.59,3492.59
,cont reach,3491.59,3500.59
,both licking,3527.59,3529.59
,both in vain,3530.59,3533.59
,both in vain,3534.59,3535.59
,both in vain,3536.59,3537.59
,both in vain,3540.59,3541.59
,both in vain,3542.59,3544.59
